stack=rr30a_s0;stackdb=rr30a_s0_db2;saveTime=3590469145.375000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,694,695,85.3,51,0.35,57,0,0,,,,
,1,1,NaN,695,1123,429,57,25,0.35,57,0,0,,,,
,2,2,NaN,1124,1681,558,72.6,37,0.35,57,0,0,,,,
,3,3,NaN,1682,1871,190,23.7,11,0.3,57,0,0,,,,
,4,4,NaN,1872,2120,249,32,15,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d
NaN,NaN,42.480000,28.799999,31.000000,31.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-41.397926,NaN,NaN,NaN,0.000000,-42.242516,
NaN,NaN,42.599998,28.799999,31.000000,31.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.119999,-41.277927,NaN,NaN,NaN,0.119999,-42.122517,
NaN,NaN,42.720001,28.799999,31.000000,31.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.240002,-41.157925,NaN,NaN,NaN,0.240002,-42.002514,
NaN,NaN,42.840000,28.799999,31.000000,31.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.360001,-41.037926,NaN,NaN,NaN,0.360001,-41.882515,
NaN,NaN,42.959999,28.799999,31.000000,31.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.480000,-40.917927,NaN,NaN,NaN,0.480000,-41.762516,
NaN,NaN,43.080002,28.799999,31.000000,31.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.600002,-40.797924,NaN,NaN,NaN,0.600002,-41.642513,
NaN,NaN,43.200001,28.680000,31.000000,31.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.769706,-40.628220,NaN,NaN,NaN,0.769706,-41.472809,
NaN,NaN,43.320000,28.559999,31.000000,31.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.939412,-40.458515,NaN,NaN,NaN,0.939412,-41.303104,
NaN,NaN,43.439999,28.440001,31.000000,31.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.109116,-40.288811,NaN,NaN,NaN,1.109116,-41.133400,
NaN,NaN,43.560001,28.320000,31.000000,31.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.278824,-40.119102,NaN,NaN,NaN,1.278824,-40.963692,
