stack=rr30a_s5;stackdb=rr30a_s5_db2;saveTime=3590469147.596000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,684,685,83.5,52,0.35,57,0,0,,,,
,1,1,NaN,685,1093,409,54.2,20,0.35,57,0,0,,,,
,2,2,NaN,1094,1626,533,67.9,35,0.35,57,0,0,,,,
,3,3,NaN,1627,1846,220,28.4,11,0.3,57,0,0,,,,
,4,4,NaN,1847,2071,225,29.6,17,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d
NaN,NaN,43.560001,31.200001,32.000000,32.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,
NaN,NaN,43.680000,31.200001,32.000000,32.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.119999,0.119999,NaN,NaN,NaN,0.119999,0.119999,
NaN,NaN,43.799999,31.080000,32.000000,32.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.289704,0.289704,NaN,NaN,NaN,0.289704,0.289704,
NaN,NaN,43.919998,31.080000,32.000000,32.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.409703,0.409703,NaN,NaN,NaN,0.409703,0.409703,
NaN,NaN,44.040001,31.080000,32.000000,32.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.529706,0.529706,NaN,NaN,NaN,0.529706,0.529706,
NaN,NaN,44.160000,31.080000,32.000000,32.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.649705,0.649705,NaN,NaN,NaN,0.649705,0.649705,
NaN,NaN,44.279999,31.080000,32.000000,32.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.769704,0.769704,NaN,NaN,NaN,0.769704,0.769704,
NaN,NaN,44.400002,31.080000,32.000000,32.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.889707,0.889707,NaN,NaN,NaN,0.889707,0.889707,
NaN,NaN,44.520000,31.080000,32.000000,32.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.009706,1.009706,NaN,NaN,NaN,1.009706,1.009706,
NaN,NaN,44.639999,30.959999,32.000000,32.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.179411,1.179411,NaN,NaN,NaN,1.179411,1.179411,
NaN,NaN,44.759998,30.840000,31.000000,31.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.349115,1.349115,NaN,NaN,NaN,2.193709,2.193709,
NaN,NaN,44.880001,30.719999,32.000000,32.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.518823,1.518823,NaN,NaN,NaN,3.208007,3.208007,
NaN,NaN,45.000000,30.719999,32.000000,32.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.638822,1.638822,NaN,NaN,NaN,3.328006,3.328006,
NaN,NaN,45.119999,30.719999,32.000000,32.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.758821,1.758821,NaN,NaN,NaN,3.448005,3.448005,
