Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,414869,NaN,414869
23,215950,NaN,215950
24,319459,NaN,319459
25,497127,NaN,497127
26,325963,NaN,325963
27,NaN,NaN,NaN
28,288850,NaN,288850
29,310932,NaN,310932
30,218276,NaN,218276
31,480860,NaN,480860
32,300085,NaN,300085
33,230907,NaN,230907
34,463297,NaN,463297
35,401313,NaN,401313
36,477495,NaN,477495
37,235153,NaN,235153
38,218533,NaN,218533
39,277616,NaN,277616
40,292950,NaN,292950
41,435020,NaN,435020
42,135101,NaN,135101
43,163368,NaN,163368
44,215366,NaN,215366
45,NaN,NaN,NaN
46,NaN,NaN,NaN
47,NaN,NaN,NaN
48,NaN,NaN,NaN
49,NaN,NaN,NaN
50,NaN,NaN,NaN
51,NaN,NaN,NaN
52,NaN,NaN,NaN
53,NaN,NaN,NaN
54,NaN,NaN,NaN
55,NaN,NaN,NaN
56,NaN,NaN,NaN
57,NaN,NaN,NaN
58,NaN,NaN,NaN
59,NaN,NaN,NaN
60,NaN,NaN,NaN
61,NaN,NaN,NaN
62,NaN,NaN,NaN
63,NaN,NaN,NaN
64,NaN,NaN,NaN
65,269651,NaN,269651
66,443675,NaN,443675
67,424536,NaN,424536
68,330873,NaN,330873
69,NaN,4158.5,NaN
70,165917,NaN,165917
71,342946,NaN,342946
72,228341,NaN,228341
73,186894,NaN,186894
74,215881,NaN,215881
75,247380,NaN,247380
