stack=rr50b_s4;stackdb=rr50b_s4_db2;saveTime=3583986375.363000;version=20151224;numHeaderRow=4;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,435,436,58.3,18,0.3,57,0,0,,,,
,1,1,NaN,436,925,490,69,26,0.3,57,0,0,,,,
,2,2,NaN,926,1945,1020,133.9,73,0.3,57,0,0,,,,
,3,3,NaN,1946,2463,518,75.6,33,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,0.840000,43.439999,7.000000,7.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-26.398605,NaN,NaN,NaN,0.000000,-57.194786,
NaN,NaN,1.080000,43.560001,6.000000,6.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.268329,-26.130276,NaN,NaN,NaN,1.035375,-56.159412,
NaN,NaN,1.200000,43.560001,6.000000,6.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.388329,-26.010277,NaN,NaN,NaN,1.155375,-56.039410,
NaN,NaN,1.320000,43.680000,7.000000,7.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.558034,-25.840570,NaN,NaN,NaN,2.169672,-55.025112,
NaN,NaN,1.440000,43.680000,7.000000,7.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.678034,-25.720572,NaN,NaN,NaN,2.289672,-54.905113,
NaN,NaN,1.560000,43.680000,7.000000,7.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.798034,-25.600571,NaN,NaN,NaN,2.409672,-54.785114,
NaN,NaN,1.680000,43.560001,6.000000,6.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.967739,-25.430866,NaN,NaN,NaN,3.423970,-53.770817,
NaN,NaN,1.800000,43.560001,6.000000,6.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.087739,-25.310865,NaN,NaN,NaN,3.543970,-53.650818,
NaN,NaN,1.920000,43.560001,6.000000,6.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.207739,-25.190866,NaN,NaN,NaN,3.663970,-53.530815,
NaN,NaN,2.040000,43.560001,6.000000,6.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.327739,-25.070866,NaN,NaN,NaN,3.783970,-53.410816,
NaN,NaN,2.160000,43.560001,6.000000,6.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.447739,-24.950867,NaN,NaN,NaN,3.903970,-53.290817,
NaN,NaN,2.280000,43.560001,6.000000,6.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.567739,-24.830866,NaN,NaN,NaN,4.023970,-53.170815,
