stack=rr50b_s7;stackdb=rr50b_s7_db2;saveTime=3583986376.602000;version=20151224;numHeaderRow=4;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,494,495,69.4,27,0.3,57,0,0,,,,
,1,1,NaN,495,948,454,60.6,13,0.3,57,0,0,,,,
,2,2,NaN,949,1971,1023,136.9,61,0.3,57,0,0,,,,
,3,3,NaN,1972,2458,487,72.1,30,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,25.799999,0.840000,9.000000,9.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-48.293484,NaN,NaN,NaN,0.000000,-114.476791,
NaN,NaN,26.040001,1.080000,9.000000,9.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.339412,-47.954071,NaN,NaN,NaN,0.339412,-114.137383,
NaN,NaN,26.280001,1.320000,9.000000,9.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.678824,-47.614658,NaN,NaN,NaN,0.678824,-113.797966,
NaN,NaN,26.400000,1.440000,10.000000,10.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.848528,-47.444954,NaN,NaN,NaN,1.693121,-112.783669,
NaN,NaN,26.520000,1.560000,11.000000,11.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,1.018235,-47.275249,NaN,NaN,NaN,2.707419,-111.769371,
NaN,NaN,26.520000,1.680000,11.000000,11.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,1.138235,-47.155251,NaN,NaN,NaN,2.827419,-111.649376,
NaN,NaN,26.639999,1.800000,11.000000,11.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.307940,-46.985542,NaN,NaN,NaN,2.997124,-111.479668,
NaN,NaN,26.639999,1.920000,11.000000,11.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.427940,-46.865543,NaN,NaN,NaN,3.117124,-111.359665,
NaN,NaN,26.760000,2.040000,11.000000,11.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.597646,-46.695839,NaN,NaN,NaN,3.286830,-111.189964,
NaN,NaN,26.879999,2.160000,10.000000,10.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.767351,-46.526134,NaN,NaN,NaN,4.301128,-110.175667,
NaN,NaN,26.879999,2.280000,10.000000,10.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.887351,-46.406132,NaN,NaN,NaN,4.421128,-110.055664,
NaN,NaN,27.000000,2.400000,9.000000,9.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,2.057057,-46.236427,NaN,NaN,NaN,5.435426,-109.041367,
NaN,NaN,27.120001,2.520000,9.000000,9.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,2.226763,-46.066719,NaN,NaN,NaN,5.605132,-108.871658,
NaN,NaN,27.120001,2.640000,10.000000,10.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.346763,-45.946720,NaN,NaN,NaN,6.612306,-107.864487,
NaN,NaN,27.240000,2.760000,10.000000,10.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.516468,-45.777016,NaN,NaN,NaN,6.782011,-107.694778,
NaN,NaN,27.360001,2.880000,10.000000,10.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.686174,-45.607311,NaN,NaN,NaN,6.951717,-107.525070,
NaN,NaN,27.480000,3.000000,10.000000,10.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.855879,-45.437603,NaN,NaN,NaN,7.121422,-107.355370,
NaN,NaN,27.600000,3.120000,9.000000,9.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,3.025585,-45.267899,NaN,NaN,NaN,8.135720,-106.341072,
NaN,NaN,27.719999,3.240000,10.000000,10.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,3.195290,-45.098194,NaN,NaN,NaN,9.150018,-105.326775,
NaN,NaN,27.719999,3.360000,10.000000,10.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,3.315290,-44.978195,NaN,NaN,NaN,9.270018,-105.206772,
NaN,NaN,27.719999,3.480000,10.000000,10.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,3.435290,-44.858192,NaN,NaN,NaN,9.390018,-105.086777,
NaN,NaN,27.840000,3.600000,10.000000,10.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.604996,-44.688488,NaN,NaN,NaN,9.559724,-104.917068,
NaN,NaN,27.840000,3.720000,10.000000,10.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.724996,-44.568489,NaN,NaN,NaN,9.679724,-104.797066,
NaN,NaN,27.959999,3.840000,11.000000,11.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.894701,-44.398781,NaN,NaN,NaN,10.694021,-103.782768,
NaN,NaN,28.080000,3.960000,11.000000,11.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,4.064407,-44.229076,NaN,NaN,NaN,10.863728,-103.613068,
NaN,NaN,28.200001,4.080000,11.000000,11.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,4.234114,-44.059372,NaN,NaN,NaN,11.033434,-103.443359,
NaN,NaN,28.320000,4.200000,10.000000,10.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,4.403819,-43.889664,NaN,NaN,NaN,12.047731,-102.429062,
NaN,NaN,28.440001,4.320000,9.000000,9.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,4.573525,-43.719959,NaN,NaN,NaN,13.062030,-101.414764,
NaN,NaN,28.559999,4.320000,9.000000,9.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,4.693524,-43.599960,NaN,NaN,NaN,13.182029,-101.294762,
NaN,NaN,28.680000,4.440000,9.000000,9.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.863230,-43.430252,NaN,NaN,NaN,13.351734,-101.125061,
NaN,NaN,28.799999,4.560000,9.000000,9.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,5.032935,-43.260548,NaN,NaN,NaN,13.521440,-100.955353,
NaN,NaN,28.799999,4.680000,10.000000,10.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,5.152935,-43.140549,NaN,NaN,NaN,14.528614,-99.948181,
NaN,NaN,28.799999,4.800000,10.000000,10.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,5.272935,-43.020550,NaN,NaN,NaN,14.648614,-99.828178,
NaN,NaN,28.920000,4.920000,10.000000,10.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,5.442641,-42.850842,NaN,NaN,NaN,14.818320,-99.658470,
NaN,NaN,28.920000,5.040000,10.000000,10.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,5.562641,-42.730843,NaN,NaN,NaN,14.938320,-99.538467,
NaN,NaN,29.040001,5.160000,10.000000,10.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,5.732347,-42.561138,NaN,NaN,NaN,15.108027,-99.368767,
NaN,NaN,29.160000,5.280000,9.000000,9.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,5.902052,-42.391430,NaN,NaN,NaN,16.122324,-98.354469,
NaN,NaN,29.280001,5.280000,9.000000,9.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,6.022053,-42.271431,NaN,NaN,NaN,16.242325,-98.234467,
NaN,NaN,29.400000,5.400000,9.000000,9.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,6.191758,-42.101727,NaN,NaN,NaN,16.412029,-98.064758,
NaN,NaN,29.400000,5.520000,9.000000,9.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,6.311758,-41.981728,NaN,NaN,NaN,16.532030,-97.944763,
NaN,NaN,29.520000,5.640000,9.000000,9.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,6.481464,-41.812019,NaN,NaN,NaN,16.701736,-97.775055,
NaN,NaN,29.639999,5.760000,9.000000,9.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,6.651169,-41.642315,NaN,NaN,NaN,16.871441,-97.605347,
NaN,NaN,29.639999,5.760000,9.000000,9.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,6.651169,-41.642315,NaN,NaN,NaN,16.871441,-97.605347,
NaN,NaN,29.760000,5.880000,9.000000,9.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,6.820875,-41.472610,NaN,NaN,NaN,17.041147,-97.435646,
NaN,NaN,29.760000,6.000000,9.000000,9.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,6.940875,-41.352608,NaN,NaN,NaN,17.161146,-97.315643,
NaN,NaN,29.760000,6.120000,9.000000,9.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,7.060875,-41.232609,NaN,NaN,NaN,17.281147,-97.195648,
NaN,NaN,29.879999,6.240000,10.000000,10.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,7.230580,-41.062904,NaN,NaN,NaN,18.295444,-96.181351,
NaN,NaN,29.879999,6.360000,10.000000,10.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,7.350580,-40.942902,NaN,NaN,NaN,18.415445,-96.061348,
NaN,NaN,29.879999,6.480000,10.000000,10.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,7.470580,-40.822903,NaN,NaN,NaN,18.535444,-95.941345,
NaN,NaN,29.879999,6.600000,10.000000,10.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,7.590580,-40.702904,NaN,NaN,NaN,18.655445,-95.821350,
NaN,NaN,30.000000,6.720000,10.000000,10.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,7.760286,-40.533199,NaN,NaN,NaN,18.825150,-95.651642,
NaN,NaN,30.000000,6.840000,10.000000,10.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,7.880286,-40.413197,NaN,NaN,NaN,18.945150,-95.531639,
NaN,NaN,29.879999,6.960000,9.000000,9.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,8.049993,-40.243492,NaN,NaN,NaN,19.959448,-94.517342,
NaN,NaN,29.879999,7.080000,9.000000,9.000000,NaN,NaN,54.000000,0.000000,NaN,NaN,NaN,NaN,8.169992,-40.123489,NaN,NaN,NaN,20.079449,-94.397339,
NaN,NaN,29.760000,7.200000,9.000000,9.000000,NaN,NaN,55.000000,0.000000,NaN,NaN,NaN,NaN,8.339697,-39.953789,NaN,NaN,NaN,20.249153,-94.227638,
NaN,NaN,29.879999,7.320000,9.000000,9.000000,NaN,NaN,56.000000,0.000000,NaN,NaN,NaN,NaN,8.509402,-39.784081,NaN,NaN,NaN,20.418858,-94.057938,
NaN,NaN,30.000000,7.440000,9.000000,9.000000,NaN,NaN,57.000000,0.000000,NaN,NaN,NaN,NaN,8.679109,-39.614376,NaN,NaN,NaN,20.588564,-93.888229,
NaN,NaN,30.000000,7.560000,9.000000,9.000000,NaN,NaN,58.000000,0.000000,NaN,NaN,NaN,NaN,8.799109,-39.494377,NaN,NaN,NaN,20.708565,-93.768227,
NaN,NaN,29.879999,7.680000,9.000000,9.000000,NaN,NaN,59.000000,0.000000,NaN,NaN,NaN,NaN,8.968815,-39.324669,NaN,NaN,NaN,20.878271,-93.598518,
NaN,NaN,29.879999,7.800000,9.000000,9.000000,NaN,NaN,60.000000,0.000000,NaN,NaN,NaN,NaN,9.088815,-39.204670,NaN,NaN,NaN,20.998272,-93.478516,
NaN,NaN,30.000000,7.920000,9.000000,9.000000,NaN,NaN,61.000000,0.000000,NaN,NaN,NaN,NaN,9.258521,-39.034962,NaN,NaN,NaN,21.167976,-93.308815,
NaN,NaN,30.000000,8.040000,9.000000,9.000000,NaN,NaN,62.000000,0.000000,NaN,NaN,NaN,NaN,9.378521,-38.914963,NaN,NaN,NaN,21.287977,-93.188812,
NaN,NaN,30.000000,8.160000,9.000000,9.000000,NaN,NaN,63.000000,0.000000,NaN,NaN,NaN,NaN,9.498521,-38.794964,NaN,NaN,NaN,21.407976,-93.068817,
NaN,NaN,30.000000,8.280000,9.000000,9.000000,NaN,NaN,64.000000,0.000000,NaN,NaN,NaN,NaN,9.618521,-38.674965,NaN,NaN,NaN,21.527977,-92.948814,
NaN,NaN,30.000000,8.400000,10.000000,10.000000,NaN,NaN,65.000000,0.000000,NaN,NaN,NaN,NaN,9.738521,-38.554962,NaN,NaN,NaN,22.535151,-91.941643,
NaN,NaN,30.000000,8.520000,10.000000,10.000000,NaN,NaN,66.000000,0.000000,NaN,NaN,NaN,NaN,9.858521,-38.434963,NaN,NaN,NaN,22.655151,-91.821640,
NaN,NaN,30.120001,8.640000,9.000000,9.000000,NaN,NaN,67.000000,0.000000,NaN,NaN,NaN,NaN,10.028228,-38.265255,NaN,NaN,NaN,23.669449,-90.807343,
NaN,NaN,30.240000,8.760000,10.000000,10.000000,NaN,NaN,68.000000,0.000000,NaN,NaN,NaN,NaN,10.197932,-38.095551,NaN,NaN,NaN,24.683748,-89.793045,
NaN,NaN,30.360001,8.880000,9.000000,9.000000,NaN,NaN,69.000000,0.000000,NaN,NaN,NaN,NaN,10.367639,-37.925846,NaN,NaN,NaN,25.698046,-88.778748,
NaN,NaN,30.480000,9.000000,9.000000,9.000000,NaN,NaN,70.000000,0.000000,NaN,NaN,NaN,NaN,10.537343,-37.756142,NaN,NaN,NaN,25.867750,-88.609039,
NaN,NaN,30.600000,9.120000,9.000000,9.000000,NaN,NaN,71.000000,0.000000,NaN,NaN,NaN,NaN,10.707049,-37.586433,NaN,NaN,NaN,26.037457,-88.439331,
NaN,NaN,30.719999,9.120000,9.000000,9.000000,NaN,NaN,72.000000,0.000000,NaN,NaN,NaN,NaN,10.827048,-37.466434,NaN,NaN,NaN,26.157455,-88.319336,
NaN,NaN,30.840000,9.120000,9.000000,9.000000,NaN,NaN,73.000000,0.000000,NaN,NaN,NaN,NaN,10.947049,-37.346436,NaN,NaN,NaN,26.277456,-88.199333,
NaN,NaN,30.959999,9.240000,9.000000,9.000000,NaN,NaN,74.000000,0.000000,NaN,NaN,NaN,NaN,11.116754,-37.176731,NaN,NaN,NaN,26.447161,-88.029633,
NaN,NaN,30.959999,9.360000,9.000000,9.000000,NaN,NaN,75.000000,0.000000,NaN,NaN,NaN,NaN,11.236753,-37.056732,NaN,NaN,NaN,26.567162,-87.909630,
NaN,NaN,30.959999,9.480000,9.000000,9.000000,NaN,NaN,76.000000,0.000000,NaN,NaN,NaN,NaN,11.356753,-36.936729,NaN,NaN,NaN,26.687160,-87.789627,
NaN,NaN,31.080000,9.600000,8.000000,8.000000,NaN,NaN,77.000000,0.000000,NaN,NaN,NaN,NaN,11.526461,-36.767021,NaN,NaN,NaN,27.701458,-86.775330,
NaN,NaN,30.959999,9.720000,9.000000,9.000000,NaN,NaN,78.000000,0.000000,NaN,NaN,NaN,NaN,11.696167,-36.597317,NaN,NaN,NaN,28.715757,-85.761032,
NaN,NaN,31.080000,9.840000,8.000000,8.000000,NaN,NaN,79.000000,0.000000,NaN,NaN,NaN,NaN,11.865872,-36.427612,NaN,NaN,NaN,29.730055,-84.746735,
NaN,NaN,31.200001,9.960000,9.000000,9.000000,NaN,NaN,80.000000,0.000000,NaN,NaN,NaN,NaN,12.035579,-36.257904,NaN,NaN,NaN,30.744352,-83.732437,
NaN,NaN,31.200001,9.960000,9.000000,9.000000,NaN,NaN,81.000000,0.000000,NaN,NaN,NaN,NaN,12.035579,-36.257904,NaN,NaN,NaN,30.744352,-83.732437,
