originalFile=C:MapManager:MapManagerMaps:Nancy:rr50b:raw:rr50b_s0_ch1.tif;stack=rr50b_s0;stackdb=rr50b_s0_db2;saveTime=3583986373.360000;version=20151224;numObjects=223;numSpines=145;condStr=None;pixelx=1024;pixely=1024;pixelz=50;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-10-23,19:35:09,2015-10-23,19:35:09,3528473709.162000,3528473709.162000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,25.56,48.84,12,1,,0,210,,0,,,,,,,,2015-10-28,15:16:47,2015-10-28,15:17:50,3528890207.269000,3528890270.675000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,1.0247,41.573,11,1,,0,0,0,-27.881,,,center,0,1.08,41.52,11,2015-10-28,15:17:03,2015-10-28,15:17:03,3528890223.010000,3528890223.011000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,4.4417,41.475,11,1,,0,28,3.6582,-24.222,,,center,0,4.44,41.52,11,2015-10-28,15:17:04,2015-10-28,15:17:04,3528890224.185000,3528890224.186000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,9.0302,42.939,11,1,,0,67,8.8147,-19.066,,,center,0,9,42.96,11,2015-10-28,15:17:05,2015-10-28,15:17:05,3528890225.674000,3528890225.675000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,12.74,44.208,11,1,,0,99,13.032,-14.849,,,center,0,12.72,44.16,11,2015-10-28,15:17:06,2015-10-28,15:17:06,3528890226.603000,3528890226.604000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,17.231,46.063,11,1,,0,138,18.387,-9.4935,,,center,0,17.28,46.08,11,2015-10-28,15:17:07,2015-10-28,15:17:07,3528890227.459000,3528890227.460000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,22.015,47.723,11,1,,0,179,23.833,-4.0474,,,center,0,21.96,47.76,11,2015-10-28,15:17:08,2015-10-28,15:17:08,3528890228.440000,3528890228.441000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,25.529,48.895,12,1,,0,210,27.881,0,,,center,0,25.56,48.84,12,2015-10-28,15:17:10,2015-10-28,15:17:10,3528890230.590000,3528890230.591000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,29.434,50.359,12,1,,0,243,32.367,4.4862,,,center,0,29.4,50.4,12,2015-10-28,15:17:11,2015-10-28,15:17:11,3528890231.481000,3528890231.482000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,33.827,50.945,13,1,,0,281,37.155,9.2741,,,center,0,33.84,51,13,2015-10-28,15:17:15,2015-10-28,15:17:15,3528890235.896000,3528890235.898000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,38.025,51.433,13,1,,0,317,41.752,13.872,,,center,0,38.04,51.48,13,2015-10-28,15:17:16,2015-10-28,15:17:16,3528890236.629000,3528890236.630000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,42.126,52.019,14,1,,0,352,46.23,18.349,,,center,0,42.12,51.96,14,2015-10-28,15:17:18,2015-10-28,15:17:18,3528890238.198000,3528890238.199000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,46.324,53.288,15,1,,0,388,51.076,23.196,,,center,0,46.32,53.28,15,2015-10-28,15:17:20,2015-10-28,15:17:20,3528890240.161000,3528890240.162000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,48.862,54.069,16,1,,0,410,53.944,26.064,,,center,0,48.84,54.12,16,2015-10-28,15:17:21,2015-10-28,15:17:21,3528890241.563000,3528890241.564000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,51.498,55.143,18,1,,0,433,57.031,29.151,,,center,0,51.48,55.2,18,2015-10-28,15:17:23,2015-10-28,15:17:23,3528890243.814000,3528890243.815000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
