originalFile=C:Users:Richard:Desktop:MapManagerMaps:Nancy:rr52c:raw:rr52c_s12_ch1.tif;stack=rr52c_s12;stackdb=rr52c_s12_db2;saveTime=3583986381.955000;version=20151224;numObjects=155;numSpines=82;condStr=None;pixelx=1024;pixely=1024;pixelz=60;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-10-16,09:10:10,2015-10-16,09:10:10,3527831410.193000,3527831410.193000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,33.12,70.56,32,1,,0,614,,0,,,,,,,,2015-10-23,14:21:51,2015-10-23,14:23:30,3528454911.191000,3528455010.260000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,23.696,0.7233,24,1,,0,0,0,-81.651,,,center,0,23.64,0.72,24,2015-10-23,14:22:12,2015-10-23,14:22:12,3528454932.138000,3528454932.138000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,24.889,6.5062,24,1,,0,60,8.2523,-73.399,,,center,0,24.84,6.48,24,2015-10-23,14:22:13,2015-10-23,14:22:13,3528454933.170000,3528454933.171000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,27.001,11.279,24,1,,0,103,14.386,-67.266,,,center,0,27,11.28,24,2015-10-23,14:22:16,2015-10-23,14:22:16,3528454936.057000,3528454936.058000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,30.397,17.43,24,1,,0,157,22.138,-59.514,,,center,0,30.36,17.4,24,2015-10-23,14:22:18,2015-10-23,14:22:18,3528454938.183000,3528454938.183000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,32.141,21.836,25,1,,0,196,27.493,-54.159,,,center,0,32.16,21.84,25,2015-10-23,14:22:20,2015-10-23,14:22:20,3528454940.019000,3528454940.020000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,32.783,28.133,28,1,,0,249,34.379,-47.272,,,center,0,32.76,28.08,28,2015-10-23,14:22:25,2015-10-23,14:22:25,3528454945.120000,3528454945.122000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,33.885,32.722,28,1,,0,291,39.676,-41.975,,,center,0,33.84,32.76,28,2015-10-23,14:22:26,2015-10-23,14:22:26,3528454946.087000,3528454946.087000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,34.803,37.679,29,1,,0,333,45.193,-36.459,,,center,0,34.8,37.68,29,2015-10-23,14:22:28,2015-10-23,14:22:28,3528454948.462000,3528454948.462000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
