stack=rr58c_s8;stackdb=rr58c_s8_db2;saveTime=3583986389.760000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,599,600,81.4,29,0.3,57,0,0,,,,
,1,1,NaN,600,1063,464,66.9,50,0.3,57,0,0,,,,
,2,2,NaN,1064,1287,224,31.2,20,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,5.280000,76.320000,97.000000,97.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-56.853886,NaN,NaN,NaN,0.000000,-178.842407,
NaN,NaN,5.520000,76.199997,98.000000,98.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.268329,-56.585556,NaN,NaN,NaN,1.035375,-177.807037,
NaN,NaN,5.640000,76.199997,98.000000,98.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.388329,-56.465557,NaN,NaN,NaN,1.155375,-177.687027,
NaN,NaN,5.760000,76.320000,97.000000,97.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.558037,-56.295849,NaN,NaN,NaN,2.169673,-176.672729,
NaN,NaN,5.880000,76.440002,97.000000,97.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.727744,-56.126141,NaN,NaN,NaN,2.339380,-176.503021,
NaN,NaN,6.000000,76.559998,96.000000,96.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.897446,-55.956440,NaN,NaN,NaN,3.353677,-175.488724,
NaN,NaN,6.120000,76.559998,96.000000,96.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,1.017446,-55.836441,NaN,NaN,NaN,3.473677,-175.368729,
NaN,NaN,6.240000,76.680000,97.000000,97.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.187154,-55.666733,NaN,NaN,NaN,4.487975,-174.354431,
NaN,NaN,6.360000,76.680000,98.000000,98.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.307154,-55.546730,NaN,NaN,NaN,5.495150,-173.347260,
NaN,NaN,6.480000,76.680000,98.000000,98.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.427154,-55.426731,NaN,NaN,NaN,5.615149,-173.227264,
