originalFile=C:MapManager:MapManagerMaps:Nancy:rr58c:raw:rr58c_s7_ch1.tif;stack=rr58c_s7;stackdb=rr58c_s7_db2;saveTime=3583986389.454000;version=20151224;numObjects=148;numSpines=105;condStr=None;pixelx=1024;pixely=1024;pixelz=110;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-11-06,08:53:50,2015-11-06,08:53:50,3529644830.240000,3529644830.240000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,52.56,75,96,1,,0,427,,0,,,,,,,,2015-11-18,15:28:25,2015-11-18,15:30:06,3530705305.186000,3530705406.989000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,3.3327,78.185,97,1,,0,0,0,-57.906,,,center,0,3.36,78.24,97,2015-11-18,15:28:28,2015-11-18,15:28:28,3530705308.770000,3530705308.771000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,9.482,78.185,97,1,,0,50,7.1141,-50.791,,,center,0,9.48,78.24,97,2015-11-18,15:28:29,2015-11-18,15:28:29,3530705309.912000,3530705309.913000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,16.161,76.594,97,1,,0,114,15.946,-41.96,,,center,0,16.2,76.56,97,2015-11-18,15:28:30,2015-11-18,15:28:30,3530705310.760000,3530705310.761000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,24.325,76.488,97,1,,0,183,25.348,-32.557,,,center,0,24.36,76.44,97,2015-11-18,15:28:31,2015-11-18,15:28:31,3530705311.919000,3530705311.920000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,31.959,75.64,97,1,,0,250,34.362,-23.544,,,center,0,31.92,75.6,97,2015-11-18,15:28:33,2015-11-18,15:28:33,3530705313.094000,3530705313.095000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,37.684,75.322,97,1,,0,299,40.818,-17.088,,,center,0,37.68,75.36,97,2015-11-18,15:28:33,2015-11-18,15:28:33,3530705313.979000,3530705313.980000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,43.409,74.58,97,1,,0,348,47.671,-10.234,,,center,0,43.44,74.64,97,2015-11-18,15:28:35,2015-11-18,15:28:35,3530705315.160000,3530705315.161000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,48.604,74.474,97,1,,0,393,53.349,-4.5565,,,center,0,48.6,74.52,97,2015-11-18,15:28:36,2015-11-18,15:28:36,3530705316.684000,3530705316.684000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,53.587,74.686,96,1,,0,436,59.135,1.2291,,,center,0,53.64,74.64,96,2015-11-18,15:28:39,2015-11-18,15:28:39,3530705319.630000,3530705319.631000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,56.768,75.958,96,1,,0,465,63.141,5.2353,,,center,0,56.76,75.96,96,2015-11-18,15:28:40,2015-11-18,15:28:40,3530705320.815000,3530705320.816000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
