originalFile=NGDG450-SCx-NG2-dnGluA2-roi1-zs-dps58-zm-2_ch1;stack=BD_NGDG450_s11;stackdb=BD_NGDG450_s11_db2;saveTime=3585745925.361000;version=20151224;numObjects=125;numSpines=0;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.25946;voxely=0.25946;voxelz=3;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,66.454,157.4,26,1,,NaN,,,,,,,,,,,2017-06-22,11:04:36,2017-06-22,11:04:36,3580974276.463000,3580974276.463000,Default User,,,,,,,,,,,,,,,,,,,,,,,,,
1,otherROI,4,153.5,3.1183,25,1,,NaN,,,,,,,,,,,2017-06-23,19:38:36,2017-08-16,15:29:03,3581091516.620000,3585742143.556000,Default User,new cell -- moves into fov from the top,,,,,,,0,,,,,,3,,,,,,3,,,,,
2,otherROI,4,83.669,46.317,20,1,,NaN,,,,,,,,,,,2017-06-23,19:38:44,2017-08-16,15:29:03,3581091524.859000,3585742143.557000,Default User,cell does not appear in next timepoint (dies),,,,,,,0,,,,,,1,,,,,,1,,,,,
3,otherROI,4,170.07,125.24,19,1,,NaN,,,,,,,,,,,2017-06-23,19:39:09,2017-08-16,15:29:03,3581091549.223000,3585742143.557000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
4,otherROI,4,262.31,86.917,33,1,,NaN,,,,,,,,,,,2017-06-23,19:39:20,2017-08-16,15:29:03,3581091560.056000,3585742143.557000,Default User,new cell -- moves into fov from the right,,,,,,,0,,,,,,3,,,,,,3,,,,,
5,otherROI,4,103.16,87.891,40,1,,NaN,,,,,,,,,,,2017-06-23,19:39:26,2017-08-16,15:29:03,3581091566.289000,3585742143.557000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
6,otherROI,4,139.21,87.566,42,1,,NaN,,,,,,,,,,,2017-06-23,19:39:33,2017-08-16,15:29:03,3581091573.737000,3585742143.557000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
7,otherROI,4,100.23,24.88,41,1,,NaN,,,,,,,,,,,2017-06-23,19:39:38,2017-08-16,15:29:03,3581091578.458000,3585742143.557000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
8,otherROI,4,19.358,82.694,25,1,,NaN,,,,,,,,,,,2017-06-23,19:39:46,2017-08-16,15:29:03,3581091586.859000,3585742143.558000,Default User,,,,,,,,0,,,,,,3,,,1,,,3,,,,,
9,otherROI,4,159.67,86.592,48,1,,NaN,,,,,,,,,,,2017-06-23,19:40:09,2017-08-16,15:29:03,3581091609.470000,3585742143.558000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
10,otherROI,4,159.02,151.55,60,1,,NaN,,,,,,,,,,,2017-06-23,19:40:22,2017-08-16,15:29:03,3581091622.152000,3585742143.558000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
12,otherROI,4,98.61,84.643,71,1,,NaN,,,,,,,,,,,2017-06-23,19:40:29,2017-08-16,15:29:03,3581091629.616000,3585742143.558000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
13,otherROI,4,178.84,8.3151,71,1,,NaN,,,,,,,,,,,2017-06-23,19:40:31,2017-08-16,15:29:03,3581091631.552000,3585742143.558000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
14,otherROI,4,82.694,28.778,77,1,,NaN,,,,,,,,,,,2017-06-23,19:40:38,2017-08-16,15:29:03,3581091638.211000,3585742143.558000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
15,otherROI,4,156.1,150.9,65,1,,NaN,,,,,,,,,,,2017-06-23,19:40:41,2017-08-16,15:29:03,3581091641.738000,3585742143.559000,Default User,,,,1,,,,0,,,,,,2,,,,,,2,,,,,
