originalFile=NGDG450-SCx-NG2-dnGluA2-roi1-zs-dps-91-zm-2_ch1;stack=BD_NGDG450_s22;stackdb=BD_NGDG450_s22_db2;saveTime=3585745926.115000;version=20151224;numObjects=94;numSpines=0;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.25946;voxely=0.25946;voxelz=3;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,45.692,168.52,35,1,,NaN,,,,,,,,,,,2017-06-22,11:05:17,2017-06-22,11:05:17,3580974317.653000,3580974317.654000,Default User,,,,,,,,,,,,,,,,,,,,,,,,,
1,otherROI,4,252.32,86.065,38,2,,NaN,,,,,,,,,,,2017-06-26,16:17:36,2017-08-16,15:29:03,3581338656.202000,3585742143.762000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
2,otherROI,4,231.01,129.97,40,2,,NaN,,,,,,,,,,,2017-06-26,16:17:41,2017-08-16,15:29:03,3581338661.099000,3585742143.762000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
3,otherROI,4,60.239,40.224,29,2,,NaN,,,,,,,,,,,2017-06-26,16:17:56,2017-08-16,15:29:03,3581338676.406000,3585742143.762000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
4,otherROI,4,78.963,131.91,34,2,,NaN,,,,,,,,,,,2017-06-26,16:18:00,2017-08-16,15:29:03,3581338680.574000,3585742143.763000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
5,otherROI,4,45.692,168.52,35,2,,NaN,,,,,,,,,,,2017-06-26,16:18:04,2017-08-16,15:29:03,3581338684.125000,3585742143.763000,Default User,,,,1,,,,0,,,,,,3,,,1,,,3,,,,,
6,otherROI,4,101.56,175.49,35,2,,NaN,,,,,,,,,,,2017-06-26,16:18:08,2017-08-16,15:29:03,3581338688.863000,3585742143.763000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
7,otherROI,4,148.37,133.2,32,2,,NaN,,,,,,,,,,,2017-06-26,16:18:20,2017-08-16,15:29:03,3581338700.401000,3585742143.763000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
8,otherROI,4,209.39,200.67,36,2,,NaN,,,,,,,,,,,2017-06-26,16:18:25,2017-08-16,15:29:03,3581338705.255000,3585742143.763000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
9,otherROI,4,118.35,123.84,54,2,,NaN,,,,,,,,,,,2017-06-26,16:18:46,2017-08-16,15:29:03,3581338726.380000,3585742143.763000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
