stack=THet2a_s11;stackdb=THet2a_s11_db2;saveTime=3576577618.925000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,727,728,89.8,19,0.3,62,0,0,,,,
,1,1,NaN,728,1707,980,129,31,0.3,62,0,0,,,,
,2,2,NaN,1708,2487,780,91.3,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,40.175999,92.987999,11.000000,11.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-28.426489,-39.676823,NaN,NaN,NaN,
NaN,NaN,40.284000,92.879997,12.000000,12.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.152737,0.765395,-28.273752,-38.911427,NaN,NaN,NaN,
NaN,NaN,40.391998,92.772003,13.000000,13.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.305467,1.530787,-28.121021,-38.146034,NaN,NaN,NaN,
NaN,NaN,40.391998,92.664001,14.000000,14.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.413469,2.288524,-28.013020,-37.388298,NaN,NaN,NaN,
NaN,NaN,40.391998,92.556000,14.000000,14.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.521470,2.396525,-27.905018,-37.280296,NaN,NaN,NaN,
NaN,NaN,40.391998,92.447998,14.000000,14.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.629472,2.504527,-27.797016,-37.172295,NaN,NaN,NaN,
NaN,NaN,40.391998,92.339996,14.000000,14.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.737474,2.612529,-27.689014,-37.064293,NaN,NaN,NaN,
NaN,NaN,40.500000,92.232002,14.000000,14.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.890206,2.765261,-27.536283,-36.911560,NaN,NaN,NaN,
NaN,NaN,40.500000,92.124001,14.000000,14.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.998208,2.873263,-27.428282,-36.803558,NaN,NaN,NaN,
NaN,NaN,40.500000,92.015999,14.000000,14.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.106209,2.981264,-27.320280,-36.695557,NaN,NaN,NaN,
NaN,NaN,40.608002,91.907997,14.000000,14.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.258947,3.134002,-27.167542,-36.542820,NaN,NaN,NaN,
NaN,NaN,40.608002,91.800003,13.000000,13.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.366941,3.891737,-27.059547,-35.785088,NaN,NaN,NaN,
NaN,NaN,40.608002,91.692001,13.000000,13.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.474942,3.999739,-26.951546,-35.677086,NaN,NaN,NaN,
NaN,NaN,40.608002,91.584000,13.000000,13.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.582944,4.107740,-26.843544,-35.569084,NaN,NaN,NaN,
NaN,NaN,40.608002,91.475998,13.000000,13.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.690946,4.215742,-26.735542,-35.461082,NaN,NaN,NaN,
NaN,NaN,40.608002,91.367996,13.000000,13.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.798948,4.323744,-26.627541,-35.353081,NaN,NaN,NaN,
NaN,NaN,40.608002,91.260002,14.000000,14.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,1.906942,5.081479,-26.519547,-34.595345,NaN,NaN,NaN,
NaN,NaN,40.608002,91.152000,14.000000,14.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.014943,5.189481,-26.411545,-34.487343,NaN,NaN,NaN,
NaN,NaN,40.608002,91.043999,14.000000,14.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.122945,5.297482,-26.303543,-34.379341,NaN,NaN,NaN,
NaN,NaN,40.608002,90.935997,14.000000,14.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.230947,5.405484,-26.195541,-34.271339,NaN,NaN,NaN,
NaN,NaN,40.608002,90.828003,14.000000,14.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.338941,5.513478,-26.087547,-34.163345,NaN,NaN,NaN,
NaN,NaN,40.608002,90.720001,14.000000,14.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.446943,5.621480,-25.979546,-34.055344,NaN,NaN,NaN,
NaN,NaN,40.608002,90.612000,14.000000,14.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,2.554944,5.729482,-25.871544,-33.947342,NaN,NaN,NaN,
NaN,NaN,40.716000,90.503998,13.000000,13.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,2.707679,6.494876,-25.718809,-33.181946,NaN,NaN,NaN,
NaN,NaN,40.716000,90.396004,13.000000,13.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,2.815673,6.602870,-25.610815,-33.073952,NaN,NaN,NaN,
NaN,NaN,40.716000,90.288002,13.000000,13.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,2.923675,6.710872,-25.502813,-32.965950,NaN,NaN,NaN,
NaN,NaN,40.716000,90.180000,13.000000,13.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.031677,6.818873,-25.394812,-32.857948,NaN,NaN,NaN,
NaN,NaN,40.716000,90.071999,13.000000,13.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.139678,6.926875,-25.286810,-32.749947,NaN,NaN,NaN,
NaN,NaN,40.824001,89.963997,13.000000,13.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.292416,7.079612,-25.134073,-32.597210,NaN,NaN,NaN,
NaN,NaN,40.931999,89.856003,12.000000,12.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.445145,7.845006,-24.981344,-31.831818,NaN,NaN,NaN,
NaN,NaN,40.931999,89.748001,11.000000,11.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.553147,8.602741,-24.873343,-31.074081,NaN,NaN,NaN,
NaN,NaN,40.931999,89.639999,11.000000,11.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,3.661149,8.710743,-24.765341,-30.966080,NaN,NaN,NaN,
NaN,NaN,40.931999,89.531998,11.000000,11.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,3.769150,8.818745,-24.657339,-30.858078,NaN,NaN,NaN,
NaN,NaN,40.931999,89.424004,11.000000,11.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,3.877144,8.926739,-24.549345,-30.750084,NaN,NaN,NaN,
NaN,NaN,40.931999,89.316002,11.000000,11.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,3.985146,9.034740,-24.441343,-30.642082,NaN,NaN,NaN,
NaN,NaN,41.040001,89.208000,11.000000,11.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.137884,9.187478,-24.288605,-30.489346,NaN,NaN,NaN,
NaN,NaN,41.040001,89.099998,11.000000,11.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.245885,9.295480,-24.180603,-30.381344,NaN,NaN,NaN,
NaN,NaN,41.040001,88.991997,11.000000,11.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.353887,9.403481,-24.072601,-30.273342,NaN,NaN,NaN,
NaN,NaN,41.040001,88.884003,11.000000,11.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,4.461881,9.511476,-23.964607,-30.165348,NaN,NaN,NaN,
NaN,NaN,41.040001,88.776001,11.000000,11.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,4.569883,9.619477,-23.856606,-30.057346,NaN,NaN,NaN,
NaN,NaN,40.931999,88.667999,11.000000,11.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,4.722620,9.772215,-23.703869,-29.904608,NaN,NaN,NaN,
NaN,NaN,41.040001,88.559998,11.000000,11.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,4.875358,9.924953,-23.551132,-29.751869,NaN,NaN,NaN,
NaN,NaN,41.040001,88.452003,11.000000,11.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,4.983352,10.032947,-23.443138,-29.643875,NaN,NaN,NaN,
NaN,NaN,41.040001,88.344002,11.000000,11.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,5.091353,10.140948,-23.335136,-29.535873,NaN,NaN,NaN,
NaN,NaN,41.040001,88.236000,11.000000,11.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,5.199355,10.248950,-23.227135,-29.427872,NaN,NaN,NaN,
NaN,NaN,41.147999,88.127998,12.000000,12.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,5.352090,11.014344,-23.074398,-28.662479,NaN,NaN,NaN,
NaN,NaN,41.256001,88.019997,12.000000,12.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,5.504827,11.167082,-22.921661,-28.509741,NaN,NaN,NaN,
NaN,NaN,41.256001,87.912003,12.000000,12.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,5.612822,11.275076,-22.813667,-28.401747,NaN,NaN,NaN,
NaN,NaN,41.256001,87.804001,12.000000,12.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,5.720823,11.383078,-22.705666,-28.293745,NaN,NaN,NaN,
NaN,NaN,41.256001,87.695999,12.000000,12.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,5.828825,11.491079,-22.597664,-28.185743,NaN,NaN,NaN,
NaN,NaN,41.256001,87.587997,12.000000,12.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,5.936827,11.599081,-22.489662,-28.077742,NaN,NaN,NaN,
NaN,NaN,41.256001,87.480003,12.000000,12.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,6.044821,11.707075,-22.381668,-27.969748,NaN,NaN,NaN,
NaN,NaN,41.363998,87.372002,12.000000,12.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,6.197556,11.859810,-22.228933,-27.817013,NaN,NaN,NaN,
NaN,NaN,41.363998,87.264000,12.000000,12.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,6.305557,11.967812,-22.120932,-27.709011,NaN,NaN,NaN,
NaN,NaN,41.363998,87.155998,12.000000,12.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,6.413559,12.075813,-22.012930,-27.601009,NaN,NaN,NaN,
NaN,NaN,41.363998,87.047997,12.000000,12.000000,NaN,NaN,54.000000,0.000000,NaN,NaN,NaN,NaN,6.521561,12.183815,-21.904928,-27.493008,NaN,NaN,NaN,
NaN,NaN,41.363998,86.940002,12.000000,12.000000,NaN,NaN,55.000000,0.000000,NaN,NaN,NaN,NaN,6.629555,12.291809,-21.796934,-27.385014,NaN,NaN,NaN,
NaN,NaN,41.363998,86.832001,12.000000,12.000000,NaN,NaN,56.000000,0.000000,NaN,NaN,NaN,NaN,6.737556,12.399811,-21.688932,-27.277012,NaN,NaN,NaN,
NaN,NaN,41.363998,86.723999,12.000000,12.000000,NaN,NaN,57.000000,0.000000,NaN,NaN,NaN,NaN,6.845558,12.507812,-21.580931,-27.169010,NaN,NaN,NaN,
NaN,NaN,41.363998,86.615997,12.000000,12.000000,NaN,NaN,58.000000,0.000000,NaN,NaN,NaN,NaN,6.953560,12.615814,-21.472929,-27.061008,NaN,NaN,NaN,
NaN,NaN,41.363998,86.508003,12.000000,12.000000,NaN,NaN,59.000000,0.000000,NaN,NaN,NaN,NaN,7.061554,12.723808,-21.364935,-26.953014,NaN,NaN,NaN,
NaN,NaN,41.363998,86.400002,12.000000,12.000000,NaN,NaN,60.000000,0.000000,NaN,NaN,NaN,NaN,7.169556,12.831810,-21.256933,-26.845013,NaN,NaN,NaN,
NaN,NaN,41.363998,86.292000,12.000000,12.000000,NaN,NaN,61.000000,0.000000,NaN,NaN,NaN,NaN,7.277557,12.939812,-21.148932,-26.737011,NaN,NaN,NaN,
NaN,NaN,41.363998,86.183998,12.000000,12.000000,NaN,NaN,62.000000,0.000000,NaN,NaN,NaN,NaN,7.385559,13.047813,-21.040930,-26.629009,NaN,NaN,NaN,
