stack=THet2a_s12;stackdb=THet2a_s12_db2;saveTime=3576677183.907000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,716,717,88.3,0,0.3,62,0,0,,,,
,1,1,NaN,717,1702,986,130.5,0,0.3,62,0,0,,,,
,2,2,NaN,1703,2498,796,92.2,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,42.228001,93.311996,11.000000,11.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-29.730150,-34.055840,NaN,NaN,NaN,
NaN,NaN,42.119999,93.096001,11.000000,11.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.260734,0.260734,-29.469416,-33.795105,NaN,NaN,NaN,
NaN,NaN,42.119999,92.879997,11.000000,11.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.476737,0.476737,-29.253412,-33.579102,NaN,NaN,NaN,
NaN,NaN,42.119999,92.772003,11.000000,11.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.584731,0.584731,-29.145418,-33.471107,NaN,NaN,NaN,
NaN,NaN,42.228001,92.664001,11.000000,11.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.737469,0.737469,-28.992682,-33.318371,NaN,NaN,NaN,
NaN,NaN,42.228001,92.556000,11.000000,11.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.845470,0.845470,-28.884680,-33.210369,NaN,NaN,NaN,
NaN,NaN,42.335999,92.447998,11.000000,11.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.998205,0.998205,-28.731945,-33.057632,NaN,NaN,NaN,
NaN,NaN,42.335999,92.339996,11.000000,11.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.106207,1.106207,-28.623943,-32.949631,NaN,NaN,NaN,
NaN,NaN,42.444000,92.232002,11.000000,11.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.258939,1.258939,-28.471210,-32.796902,NaN,NaN,NaN,
NaN,NaN,42.551998,92.124001,11.000000,11.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.411674,1.411674,-28.318476,-32.644165,NaN,NaN,NaN,
NaN,NaN,42.660000,92.015999,11.000000,11.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.564411,1.564411,-28.165739,-32.491428,NaN,NaN,NaN,
NaN,NaN,42.768002,91.907997,11.000000,11.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.717149,1.717149,-28.013000,-32.338692,NaN,NaN,NaN,
