stack=THet2a_s1;stackdb=THet2a_s1_db2;saveTime=3574254041.401000;version=20151224;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,732,733,91.2,2,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,101.195999,109.835999,22.000000,22.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-29.808769,-41.671757,NaN,NaN,NaN,
NaN,NaN,101.195999,109.727997,22.000000,22.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.108002,0.108002,-29.700768,-41.563755,NaN,NaN,NaN,
NaN,NaN,101.304001,109.620003,22.000000,22.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.260734,0.260734,-29.548035,-41.411022,NaN,NaN,NaN,
NaN,NaN,101.412003,109.512001,22.000000,22.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.413471,0.413471,-29.395298,-41.258286,NaN,NaN,NaN,
NaN,NaN,101.519997,109.403999,22.000000,22.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.566203,0.566203,-29.242565,-41.105553,NaN,NaN,NaN,
NaN,NaN,101.627998,109.295998,22.000000,22.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.718941,0.718941,-29.089828,-40.952816,NaN,NaN,NaN,
NaN,NaN,101.736000,109.188004,22.000000,22.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.871673,0.871673,-28.937096,-40.800083,NaN,NaN,NaN,
NaN,NaN,101.736000,109.080002,22.000000,22.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.979675,0.979675,-28.829094,-40.692081,NaN,NaN,NaN,
NaN,NaN,101.736000,108.972000,22.000000,22.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.087676,1.087676,-28.721092,-40.584080,NaN,NaN,NaN,
NaN,NaN,101.736000,108.863998,22.000000,22.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.195678,1.195678,-28.613091,-40.476078,NaN,NaN,NaN,
NaN,NaN,101.736000,108.755997,22.000000,22.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.303680,1.303680,-28.505089,-40.368076,NaN,NaN,NaN,
NaN,NaN,101.736000,108.648003,22.000000,22.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.411674,1.411674,-28.397095,-40.260082,NaN,NaN,NaN,
NaN,NaN,101.736000,108.540001,22.000000,22.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.519676,1.519676,-28.289093,-40.152081,NaN,NaN,NaN,
NaN,NaN,101.736000,108.431999,22.000000,22.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.627677,1.627677,-28.181091,-40.044079,NaN,NaN,NaN,
NaN,NaN,101.736000,108.323997,22.000000,22.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.735679,1.735679,-28.073090,-39.936077,NaN,NaN,NaN,
NaN,NaN,101.844002,108.216003,22.000000,22.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.888411,1.888411,-27.920359,-39.783344,NaN,NaN,NaN,
NaN,NaN,101.844002,108.108002,22.000000,22.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,1.996413,1.996413,-27.812357,-39.675343,NaN,NaN,NaN,
NaN,NaN,101.844002,108.000000,22.000000,22.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.104414,2.104414,-27.704355,-39.567341,NaN,NaN,NaN,
NaN,NaN,101.952003,107.891998,22.000000,22.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.257152,2.257152,-27.551617,-39.414604,NaN,NaN,NaN,
