stack=THet2a_s5;stackdb=THet2a_s5_db2;saveTime=3574341881.691000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,730,731,90.4,29,0.3,62,0,0,,,,
,1,1,NaN,731,1648,918,122,31,0.3,62,0,0,,,,
,2,2,NaN,1649,2436,788,91.3,26,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID,
NaN,NaN,45.576000,95.363998,12.000000,12.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-31.697180,-34.834637,NaN,NaN,NaN,
NaN,NaN,45.683998,95.148003,12.000000,12.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.260731,0.260731,-31.436449,-34.573906,NaN,NaN,NaN,
NaN,NaN,45.900002,94.931999,12.000000,12.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.566206,0.566206,-31.130974,-34.268429,NaN,NaN,NaN,
NaN,NaN,46.007999,94.823997,12.000000,12.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.718941,0.718941,-30.978239,-34.115696,NaN,NaN,NaN,
NaN,NaN,46.116001,94.716003,12.000000,12.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.871673,0.871673,-30.825506,-33.962963,NaN,NaN,NaN,
NaN,NaN,46.116001,94.608002,12.000000,12.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.979675,0.979675,-30.717505,-33.854961,NaN,NaN,NaN,
NaN,NaN,46.223999,94.500000,12.000000,12.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.132409,1.132409,-30.564770,-33.702229,NaN,NaN,NaN,
NaN,NaN,46.332001,94.391998,12.000000,12.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.285147,1.285147,-30.412033,-33.549488,NaN,NaN,NaN,
NaN,NaN,46.332001,94.283997,12.000000,12.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.393149,1.393149,-30.304031,-33.441486,NaN,NaN,NaN,
NaN,NaN,46.332001,94.176003,12.000000,12.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.501143,1.501143,-30.196037,-33.333492,NaN,NaN,NaN,
NaN,NaN,46.332001,94.068001,12.000000,12.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.609144,1.609144,-30.088036,-33.225491,NaN,NaN,NaN,
NaN,NaN,46.332001,93.959999,12.000000,12.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.717146,1.717146,-29.980034,-33.117489,NaN,NaN,NaN,
NaN,NaN,46.332001,93.851997,12.000000,12.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.825148,1.825148,-29.872032,-33.009487,NaN,NaN,NaN,
NaN,NaN,46.439999,93.744003,12.000000,12.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.977877,1.977877,-29.719303,-32.856758,NaN,NaN,NaN,
NaN,NaN,46.439999,93.636002,12.000000,12.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.085879,2.085879,-29.611301,-32.748756,NaN,NaN,NaN,
NaN,NaN,46.548000,93.528000,12.000000,12.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.238616,2.238616,-29.458563,-32.596020,NaN,NaN,NaN,
NaN,NaN,46.548000,93.419998,12.000000,12.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.346618,2.346618,-29.350561,-32.488018,NaN,NaN,NaN,
NaN,NaN,46.655998,93.311996,12.000000,12.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.499353,2.499353,-29.197826,-32.335285,NaN,NaN,NaN,
NaN,NaN,46.655998,93.204002,12.000000,12.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.607347,2.607347,-29.089832,-32.227291,NaN,NaN,NaN,
NaN,NaN,46.655998,93.096001,12.000000,12.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.715349,2.715349,-28.981831,-32.119289,NaN,NaN,NaN,
NaN,NaN,46.655998,92.987999,12.000000,12.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,2.823350,2.823350,-28.873829,-32.011288,NaN,NaN,NaN,
NaN,NaN,46.655998,92.879997,12.000000,12.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,2.931352,2.931352,-28.765827,-31.903284,NaN,NaN,NaN,
NaN,NaN,46.764000,92.772003,12.000000,12.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.084084,3.084084,-28.613096,-31.750553,NaN,NaN,NaN,
NaN,NaN,46.764000,92.664001,12.000000,12.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.192086,3.192086,-28.505095,-31.642551,NaN,NaN,NaN,
NaN,NaN,46.872002,92.556000,12.000000,12.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.344823,3.344823,-28.352356,-31.489813,NaN,NaN,NaN,
NaN,NaN,46.872002,92.447998,12.000000,12.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.452825,3.452825,-28.244354,-31.381811,NaN,NaN,NaN,
NaN,NaN,46.980000,92.339996,12.000000,12.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.605560,3.605560,-28.091619,-31.229076,NaN,NaN,NaN,
NaN,NaN,46.980000,92.232002,12.000000,12.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.713554,3.713554,-27.983625,-31.121082,NaN,NaN,NaN,
NaN,NaN,47.088001,92.124001,12.000000,12.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.866292,3.866292,-27.830889,-30.968346,NaN,NaN,NaN,
NaN,NaN,47.088001,92.015999,12.000000,12.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,3.974293,3.974293,-27.722887,-30.860344,NaN,NaN,NaN,
NaN,NaN,47.088001,91.907997,12.000000,12.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.082295,4.082295,-27.614885,-30.752342,NaN,NaN,NaN,
NaN,NaN,47.088001,91.800003,12.000000,12.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.190289,4.190289,-27.506891,-30.644348,NaN,NaN,NaN,
NaN,NaN,47.088001,91.800003,12.000000,12.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.190289,4.190289,-27.506891,-30.644348,NaN,NaN,NaN,
