stack=THet2a_s6;stackdb=THet2a_s6_db2;saveTime=3574334762.174000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,763,764,94.7,21,0.3,62,0,0,,,,
,1,1,NaN,764,1740,977,130.9,0,0.3,62,0,0,,,,
,2,2,NaN,1741,2428,688,82.3,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID,
NaN,NaN,40.716000,100.440002,10.000000,10.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-33.938976,-56.365444,NaN,NaN,NaN,
NaN,NaN,40.931999,100.440002,10.000000,10.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.216000,0.216000,-33.722977,-56.149445,NaN,NaN,NaN,
NaN,NaN,41.147999,100.223999,11.000000,11.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.521472,1.134129,-33.417503,-55.231316,NaN,NaN,NaN,
NaN,NaN,41.256001,100.115997,11.000000,11.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.674209,1.286866,-33.264767,-55.078579,NaN,NaN,NaN,
NaN,NaN,41.363998,100.115997,11.000000,11.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.782207,1.394864,-33.156769,-54.970581,NaN,NaN,NaN,
NaN,NaN,41.472000,100.008003,11.000000,11.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.934939,1.547596,-33.004036,-54.817848,NaN,NaN,NaN,
NaN,NaN,41.580002,99.900002,11.000000,11.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.087677,1.700334,-32.851299,-54.665112,NaN,NaN,NaN,
NaN,NaN,41.688000,99.792000,11.000000,11.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.240412,1.853069,-32.698566,-54.512375,NaN,NaN,NaN,
NaN,NaN,41.688000,99.683998,11.000000,11.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.348413,1.961070,-32.590565,-54.404373,NaN,NaN,NaN,
NaN,NaN,41.688000,99.575996,10.000000,10.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.456415,2.718807,-32.482563,-53.646637,NaN,NaN,NaN,
NaN,NaN,41.688000,99.468002,10.000000,10.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.564409,2.826801,-32.374569,-53.538643,NaN,NaN,NaN,
NaN,NaN,41.796001,99.360001,9.000000,9.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.717147,3.592195,-32.221828,-52.773251,NaN,NaN,NaN,
NaN,NaN,41.903999,99.251999,9.000000,9.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.869881,3.744930,-32.069096,-52.620514,NaN,NaN,NaN,
NaN,NaN,42.012001,99.143997,9.000000,9.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.022619,3.897667,-31.916357,-52.467777,NaN,NaN,NaN,
NaN,NaN,42.119999,99.036003,10.000000,10.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.175348,4.663060,-31.763628,-51.702385,NaN,NaN,NaN,
NaN,NaN,42.119999,98.928001,10.000000,10.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.283350,4.771062,-31.655626,-51.594383,NaN,NaN,NaN,
NaN,NaN,42.119999,98.820000,11.000000,11.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.391352,5.528799,-31.547625,-50.836647,NaN,NaN,NaN,
NaN,NaN,42.228001,98.711998,11.000000,11.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.544089,5.681536,-31.394888,-50.683907,NaN,NaN,NaN,
NaN,NaN,42.228001,98.603996,11.000000,11.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.652091,5.789537,-31.286886,-50.575905,NaN,NaN,NaN,
NaN,NaN,42.228001,98.496002,11.000000,11.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.760085,5.897532,-31.178892,-50.467911,NaN,NaN,NaN,
NaN,NaN,42.335999,98.388000,11.000000,11.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,2.912820,6.050267,-31.026157,-50.315178,NaN,NaN,NaN,
NaN,NaN,42.444000,98.279999,11.000000,11.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.065557,6.203004,-30.873419,-50.162441,NaN,NaN,NaN,
NaN,NaN,42.551998,98.171997,11.000000,11.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.218292,6.355739,-30.720684,-50.009705,NaN,NaN,NaN,
NaN,NaN,42.551998,98.064003,11.000000,11.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.326286,6.463733,-30.612690,-49.901711,NaN,NaN,NaN,
NaN,NaN,42.551998,97.956001,11.000000,11.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.434288,6.571734,-30.504688,-49.793709,NaN,NaN,NaN,
NaN,NaN,42.551998,97.848000,11.000000,11.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.542289,6.679736,-30.396687,-49.685707,NaN,NaN,NaN,
NaN,NaN,42.551998,97.739998,11.000000,11.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.650291,6.787738,-30.288685,-49.577705,NaN,NaN,NaN,
NaN,NaN,42.551998,97.632004,11.000000,11.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.758285,6.895732,-30.180691,-49.469711,NaN,NaN,NaN,
NaN,NaN,42.444000,97.524002,10.000000,10.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.911020,7.661126,-30.027956,-48.704319,NaN,NaN,NaN,
NaN,NaN,42.444000,97.416000,10.000000,10.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.019022,7.769128,-29.919954,-48.596317,NaN,NaN,NaN,
NaN,NaN,42.551998,97.307999,10.000000,10.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.171757,7.921863,-29.767220,-48.443581,NaN,NaN,NaN,
NaN,NaN,42.660000,97.199997,10.000000,10.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.324494,8.074600,-29.614483,-48.290844,NaN,NaN,NaN,
NaN,NaN,42.768002,97.092003,10.000000,10.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.477226,8.227332,-29.461750,-48.138111,NaN,NaN,NaN,
NaN,NaN,42.875999,96.984001,10.000000,10.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.629961,8.380067,-29.309015,-47.985378,NaN,NaN,NaN,
NaN,NaN,42.984001,96.875999,10.000000,10.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.782698,8.532804,-29.156279,-47.832642,NaN,NaN,NaN,
NaN,NaN,42.984001,96.767998,10.000000,10.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.890700,8.640806,-29.048277,-47.724640,NaN,NaN,NaN,
NaN,NaN,43.091999,96.660004,10.000000,10.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,5.043429,8.793535,-28.895546,-47.571907,NaN,NaN,NaN,
NaN,NaN,43.091999,96.552002,10.000000,10.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,5.151431,8.901537,-28.787544,-47.463905,NaN,NaN,NaN,
NaN,NaN,43.091999,96.444000,10.000000,10.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.259433,9.009539,-28.679543,-47.355904,NaN,NaN,NaN,
NaN,NaN,43.091999,96.335999,10.000000,10.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.367435,9.117540,-28.571541,-47.247902,NaN,NaN,NaN,
NaN,NaN,43.091999,96.227997,10.000000,10.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,5.475436,9.225542,-28.463539,-47.139900,NaN,NaN,NaN,
NaN,NaN,43.091999,96.120003,10.000000,10.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,5.583430,9.333536,-28.355545,-47.031906,NaN,NaN,NaN,
NaN,NaN,43.091999,96.012001,10.000000,10.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,5.691432,9.441538,-28.247543,-46.923904,NaN,NaN,NaN,
NaN,NaN,43.091999,95.903999,10.000000,10.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,5.799434,9.549540,-28.139542,-46.815903,NaN,NaN,NaN,
NaN,NaN,43.200001,95.795998,10.000000,10.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,5.952171,9.702277,-27.986805,-46.663166,NaN,NaN,NaN,
NaN,NaN,43.307999,95.795998,10.000000,10.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,6.060169,9.810275,-27.878807,-46.555168,NaN,NaN,NaN,
NaN,NaN,43.416000,95.795998,10.000000,10.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,6.168171,9.918277,-27.770805,-46.447166,NaN,NaN,NaN,
NaN,NaN,43.523998,95.795998,10.000000,10.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,6.276169,10.026275,-27.662807,-46.339169,NaN,NaN,NaN,
NaN,NaN,43.632000,95.688004,10.000000,10.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,6.428901,10.179007,-27.510075,-46.186440,NaN,NaN,NaN,
NaN,NaN,43.632000,95.580002,10.000000,10.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,6.536902,10.287008,-27.402073,-46.078438,NaN,NaN,NaN,
NaN,NaN,43.632000,95.472000,10.000000,10.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,6.644904,10.395010,-27.294071,-45.970436,NaN,NaN,NaN,
NaN,NaN,43.632000,95.363998,11.000000,11.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,6.752906,11.152746,-27.186069,-45.212700,NaN,NaN,NaN,
NaN,NaN,43.632000,95.255997,11.000000,11.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,6.860908,11.260748,-27.078068,-45.104698,NaN,NaN,NaN,
