stack=THet2a_s8;stackdb=THet2a_s8_db2;saveTime=3574417517.574000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,699,700,87.4,17,0.3,62,0,0,,,,
,1,1,NaN,700,1685,986,130.5,0,0.3,62,0,0,,,,
,2,2,NaN,1686,2522,837,95,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,39.743999,95.903999,16.000000,16.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-32.263367,-50.902660,NaN,NaN,NaN,
NaN,NaN,39.852001,95.795998,17.000000,17.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.152737,0.765395,-32.110630,-50.137264,NaN,NaN,NaN,
NaN,NaN,39.959999,95.688004,17.000000,17.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.305467,0.918124,-31.957899,-49.984535,NaN,NaN,NaN,
NaN,NaN,39.959999,95.580002,17.000000,17.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.413469,1.026126,-31.849897,-49.876534,NaN,NaN,NaN,
NaN,NaN,39.959999,95.472000,17.000000,17.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.521470,1.134127,-31.741896,-49.768532,NaN,NaN,NaN,
NaN,NaN,39.959999,95.363998,17.000000,17.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.629472,1.242129,-31.633894,-49.660530,NaN,NaN,NaN,
NaN,NaN,39.959999,95.255997,16.000000,16.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.737474,1.999865,-31.525892,-48.902794,NaN,NaN,NaN,
NaN,NaN,40.068001,95.148003,16.000000,16.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.890206,2.152597,-31.373161,-48.750061,NaN,NaN,NaN,
NaN,NaN,40.175999,95.040001,16.000000,16.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.042941,2.305332,-31.220427,-48.597328,NaN,NaN,NaN,
NaN,NaN,40.284000,94.931999,15.000000,15.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.195678,3.070727,-31.067688,-47.831932,NaN,NaN,NaN,
NaN,NaN,40.391998,94.823997,15.000000,15.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.348413,3.223462,-30.914953,-47.679199,NaN,NaN,NaN,
NaN,NaN,40.391998,94.716003,15.000000,15.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.456407,3.331456,-30.806959,-47.571205,NaN,NaN,NaN,
NaN,NaN,40.500000,94.608002,15.000000,15.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.609144,3.484193,-30.654222,-47.418468,NaN,NaN,NaN,
NaN,NaN,40.608002,94.500000,16.000000,16.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.761882,4.249588,-30.501484,-46.653072,NaN,NaN,NaN,
NaN,NaN,40.716000,94.391998,17.000000,17.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.914617,5.014982,-30.348749,-45.887680,NaN,NaN,NaN,
NaN,NaN,40.824001,94.283997,17.000000,17.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.067354,5.167719,-30.196012,-45.734940,NaN,NaN,NaN,
NaN,NaN,40.824001,94.176003,17.000000,17.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.175348,5.275713,-30.088018,-45.626945,NaN,NaN,NaN,
