originalFile=3 weeks_005;stack=THet2a_s11;stackdb=THet2a_s11_db2;saveTime=3576578759.459000;version=20151224;numObjects=153;numSpines=77;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-05-02,13:13:20,2017-05-02,13:13:20,3576575600.192000,3576575600.195000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,34.02,69.228,11,1,,0,232,,0,,,,,,,,2017-05-02,13:19:48,2017-05-02,13:20:20,3576575988.316000,3576576020.289000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,40.214,93.03,11,1,,0,0,0,-28.426,,,center,0,40.176,92.988,11,2017-05-02,13:19:51,2017-05-02,13:19:51,3576575991.859000,3576575991.860000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,41.187,84.568,11,1,,0,78,9.095,-19.331,,,center,0,41.148,84.564,11,2017-05-02,13:19:53,2017-05-02,13:19:53,3576575993.121000,3576575993.123000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,39.436,81.358,11,1,,0,109,13.14,-15.286,,,center,0,39.42,81.324,11,2017-05-02,13:19:53,2017-05-02,13:19:53,3576575993.737000,3576575993.740000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,38.853,75.522,11,1,,0,164,19.554,-8.8727,,,center,0,38.88,75.492,11,2017-05-02,13:19:54,2017-05-02,13:19:54,3576575994.526000,3576575994.527000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,35.059,70.756,11,1,,0,217,26.467,-1.9594,,,center,0,35.1,70.74,11,2017-05-02,13:19:55,2017-05-02,13:19:55,3576575995.468000,3576575995.470000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,33.308,68.227,11,1,,0,241,29.712,1.2851,,,center,0,33.264,68.256,11,2017-05-02,13:19:56,2017-05-02,13:19:56,3576575996.019000,3576575996.022000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,34.184,64.92,11,1,,0,273,33.462,5.0358,,,center,0,34.236,64.908,11,2017-05-02,13:19:56,2017-05-02,13:19:56,3576575996.564000,3576575996.566000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,36.324,60.64,11,1,,0,314,38.632,10.206,,,center,0,36.288,60.588,11,2017-05-02,13:19:57,2017-05-02,13:19:57,3576575997.834000,3576575997.836000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,36.324,56.069,11,1,,0,357,43.347,14.921,,,center,0,36.288,56.052,11,2017-05-02,13:19:58,2017-05-02,13:19:58,3576575998.797000,3576575998.800000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,35.837,51.595,11,1,,0,399,48.044,19.617,,,center,0,35.856,51.624,11,2017-05-02,13:19:59,2017-05-02,13:19:59,3576575999.595000,3576575999.596000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,34.67,49.26,11,1,,0,422,50.912,22.485,,,center,0,34.668,49.248,11,2017-05-02,13:20:00,2017-05-02,13:20:00,3576576000.175000,3576576000.178000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,32.822,46.926,11,1,,0,445,54.003,25.577,,,center,0,32.832,46.98,11,2017-05-02,13:20:00,2017-05-02,13:20:00,3576576000.874000,3576576000.877000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,32.336,45.078,11,1,,0,464,56.171,27.745,,,center,0,32.292,45.036,11,2017-05-02,13:20:01,2017-05-02,13:20:01,3576576001.514000,3576576001.516000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,31.169,42.841,13,1,,0,486,58.842,30.415,,,center,0,31.212,42.876,13,2017-05-02,13:20:03,2017-05-02,13:20:03,3576576003.775000,3576576003.777000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,27.472,39.339,15,1,,0,529,64.541,36.114,,,center,0,27.432,39.312,15,2017-05-02,13:20:05,2017-05-02,13:20:05,3576576005.719000,3576576005.720000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,23.776,37.102,16,1,,0,565,69.171,40.744,,,center,0,23.76,37.152,16,2017-05-02,13:20:07,2017-05-02,13:20:07,3576576007.042000,3576576007.044000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,20.177,34.476,18,1,,0,599,73.853,45.427,,,center,0,20.196,34.452,18,2017-05-02,13:20:08,2017-05-02,13:20:08,3576576008.562000,3576576008.565000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,18.427,32.238,18,1,,0,620,76.729,48.302,,,center,0,18.468,32.292,18,2017-05-02,13:20:09,2017-05-02,13:20:09,3576576009.460000,3576576009.463000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,16.968,28.251,18,1,,0,659,81.593,53.167,,,center,0,16.956,28.296,18,2017-05-02,13:20:10,2017-05-02,13:20:10,3576576010.614000,3576576010.616000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,13.855,26.889,18,1,,0,689,85.396,56.97,,,center,0,13.824,26.892,18,2017-05-02,13:20:11,2017-05-02,13:20:11,3576576011.329000,3576576011.332000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
22,controlPnt,2,13.855,22.901,21,1,,0,727,89.84,61.413,,,center,0,13.824,22.896,21,2017-05-02,13:20:14,2017-05-02,13:20:14,3576576014.103000,3576576014.105000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
23,pivotPnt,3,32.508,38.34,20,1,,1,1529,,0,,,,,,,,2017-05-02,13:31:03,2017-05-02,13:31:44,3576576663.559000,3576576704.611000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
24,controlPnt,2,104.41,100.13,21,1,,1,728,0,-105.78,,,center,0,104.44,100.12,21,2017-05-02,13:31:06,2017-05-02,13:31:06,3576576666.349000,3576576666.351000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,102.66,96.823,21,1,,1,758,3.9558,-101.82,,,center,0,102.71,96.876,21,2017-05-02,13:31:07,2017-05-02,13:31:07,3576576667.200000,3576576667.203000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,101.69,94.294,21,1,,1,783,6.9504,-98.826,,,center,0,101.74,94.284,21,2017-05-02,13:31:07,2017-05-02,13:31:07,3576576667.812000,3576576667.814000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,100.03,92.252,21,1,,1,806,9.9079,-95.868,,,center,0,100.01,92.232,21,2017-05-02,13:31:08,2017-05-02,13:31:08,3576576668.340000,3576576668.343000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,99.352,90.112,21,1,,1,827,12.336,-93.44,,,center,0,99.36,90.072,21,2017-05-02,13:31:08,2017-05-02,13:31:08,3576576668.858000,3576576668.861000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,95.17,86.416,21,1,,1,871,18.322,-87.454,,,center,0,95.148,86.4,21,2017-05-02,13:31:10,2017-05-02,13:31:10,3576576670.092000,3576576670.095000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
30,controlPnt,2,88.069,84.665,21,1,,1,938,26.435,-79.342,,,center,0,88.02,84.672,21,2017-05-02,13:31:10,2017-05-02,13:31:10,3576576670.820000,3576576670.822000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
31,controlPnt,2,81.066,83.692,21,1,,1,1003,34.018,-71.759,,,center,0,81.108,83.7,21,2017-05-02,13:31:11,2017-05-02,13:31:11,3576576671.744000,3576576671.746000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
32,controlPnt,2,75.522,81.261,21,1,,1,1056,40.662,-65.114,,,center,0,75.492,81.216,21,2017-05-02,13:31:12,2017-05-02,13:31:12,3576576672.580000,3576576672.582000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
33,controlPnt,2,69.297,76.106,21,1,,1,1114,48.921,-56.855,,,center,0,69.336,76.14,21,2017-05-02,13:31:14,2017-05-02,13:31:14,3576576674.530000,3576576674.533000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
34,controlPnt,2,64.628,73.09,21,1,,1,1159,54.926,-50.85,,,center,0,64.584,73.116,21,2017-05-02,13:31:15,2017-05-02,13:31:15,3576576675.331000,3576576675.333000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
35,controlPnt,2,59.862,68.324,22,1,,1,1210,62.026,-43.751,,,center,0,59.832,68.364,22,2017-05-02,13:31:18,2017-05-02,13:31:18,3576576678.043000,3576576678.045000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
36,controlPnt,2,56.166,66.282,22,1,,1,1245,66.637,-39.139,,,center,0,56.16,66.312,22,2017-05-02,13:31:18,2017-05-02,13:31:18,3576576678.858000,3576576678.859000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
37,controlPnt,2,52.178,62.586,22,1,,1,1284,72.217,-33.559,,,center,0,52.164,62.64,22,2017-05-02,13:31:19,2017-05-02,13:31:19,3576576679.919000,3576576679.921000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
38,controlPnt,2,48.677,59.376,22,1,,1,1320,77.205,-28.571,,,center,0,48.708,59.4,22,2017-05-02,13:31:23,2017-05-02,13:31:23,3576576683.318000,3576576683.321000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
39,controlPnt,2,45.369,55.582,22,1,,1,1358,82.588,-23.188,,,center,0,45.36,55.62,22,2017-05-02,13:31:24,2017-05-02,13:31:24,3576576684.046000,3576576684.047000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
40,controlPnt,2,44.008,53.248,22,1,,1,1381,85.635,-20.141,,,center,0,43.956,53.244,22,2017-05-02,13:31:24,2017-05-02,13:31:24,3576576684.681000,3576576684.682000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
41,controlPnt,2,41.868,50.427,21,1,,1,1408,89.293,-16.483,,,center,0,41.904,50.436,21,2017-05-02,13:31:26,2017-05-02,13:31:26,3576576686.558000,3576576686.561000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
42,controlPnt,2,37.977,46.634,21,1,,1,1448,95.026,-10.75,,,center,0,38.016,46.656,21,2017-05-02,13:31:27,2017-05-02,13:31:27,3576576687.484000,3576576687.487000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
43,controlPnt,2,36.226,42.646,20,1,,1,1486,99.782,-5.9937,,,center,0,36.18,42.66,20,2017-05-02,13:31:29,2017-05-02,13:31:29,3576576689.214000,3576576689.216000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
44,controlPnt,2,32.628,39.047,20,1,,1,1521,104.89,-0.89021,,,center,0,32.616,39.096,20,2017-05-02,13:31:31,2017-05-02,13:31:31,3576576691.333000,3576576691.335000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
45,controlPnt,2,30.682,35.837,20,1,,1,1554,109.15,3.371,,,center,0,30.672,35.856,20,2017-05-02,13:31:32,2017-05-02,13:31:32,3576576692.258000,3576576692.261000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
46,controlPnt,2,27.667,33.697,20,1,,1,1584,113.13,7.353,,,center,0,27.648,33.696,20,2017-05-02,13:31:32,2017-05-02,13:31:32,3576576692.986000,3576576692.987000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
47,controlPnt,2,26.111,29.612,20,1,,1,1623,117.86,12.083,,,center,0,26.136,29.592,20,2017-05-02,13:31:34,2017-05-02,13:31:34,3576576694.126000,3576576694.127000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
48,controlPnt,2,24.068,27.181,22,1,,1,1646,121.09,15.309,,,center,0,24.084,27.216,22,2017-05-02,13:31:37,2017-05-02,13:31:37,3576576697.699000,3576576697.701000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
49,controlPnt,2,21.345,24.749,22,1,,1,1674,124.94,19.165,,,center,0,21.384,24.732,22,2017-05-02,13:31:38,2017-05-02,13:31:38,3576576698.463000,3576576698.465000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
50,controlPnt,2,17.94,23.193,22,1,,1,1707,129.02,23.247,,,center,0,17.928,23.22,22,2017-05-02,13:31:39,2017-05-02,13:31:39,3576576699.049000,3576576699.050000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
51,pivotPnt,3,64.476,17.496,14,1,,2,1950,,0,,,,,,,,2017-05-02,13:32:17,2017-05-02,13:32:52,3576576737.165000,3576576772.572000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
52,controlPnt,2,89.042,14.341,20,1,,2,1708,0,-28.377,,,center,0,88.992,14.364,20,2017-05-02,13:32:20,2017-05-02,13:32:20,3576576740.458000,3576576740.460000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
53,controlPnt,2,87.291,15.898,20,1,,2,1729,2.7601,-25.617,,,center,0,87.264,15.876,20,2017-05-02,13:32:21,2017-05-02,13:32:21,3576576741.134000,3576576741.136000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
54,controlPnt,2,84.276,17.065,20,1,,2,1760,6.4027,-21.975,,,center,0,84.24,17.064,20,2017-05-02,13:32:21,2017-05-02,13:32:21,3576576741.864000,3576576741.866000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
55,controlPnt,2,80.677,18.913,20,1,,2,1794,10.817,-17.561,,,center,0,80.676,18.9,20,2017-05-02,13:32:22,2017-05-02,13:32:22,3576576742.532000,3576576742.534000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
56,controlPnt,2,75.522,19.691,17,1,,2,1844,16.377,-12,,,center,0,75.492,19.656,17,2017-05-02,13:32:24,2017-05-02,13:32:24,3576576744.701000,3576576744.704000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
57,controlPnt,2,72.507,19.399,14,1,,2,1873,19.58,-8.7972,,,center,0,72.468,19.44,14,2017-05-02,13:32:26,2017-05-02,13:32:26,3576576746.392000,3576576746.394000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
58,controlPnt,2,68.422,18.524,14,1,,2,1911,23.934,-4.4434,,,center,0,68.472,18.576,14,2017-05-02,13:32:27,2017-05-02,13:32:27,3576576747.031000,3576576747.033000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
59,controlPnt,2,64.92,17.454,14,1,,2,1945,27.945,-0.432,,,center,0,64.908,17.496,14,2017-05-02,13:32:27,2017-05-02,13:32:27,3576576747.578000,3576576747.581000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
60,controlPnt,2,61.613,17.357,14,1,,2,1977,31.427,3.0502,,,center,0,61.56,17.388,14,2017-05-02,13:32:28,2017-05-02,13:32:28,3576576748.131000,3576576748.132000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
61,controlPnt,2,57.236,16.287,14,1,,2,2018,36.195,7.8176,,,center,0,57.24,16.308,14,2017-05-02,13:32:28,2017-05-02,13:32:28,3576576748.837000,3576576748.840000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
62,controlPnt,2,54.61,15.411,14,1,,2,2043,39.145,10.767,,,center,0,54.648,15.444,14,2017-05-02,13:32:29,2017-05-02,13:32:29,3576576749.418000,3576576749.419000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
