originalFile=4wk050317_011;stack=THet2a_s12;stackdb=THet2a_s12_db2;saveTime=3577360338.751000;version=20151224;numObjects=170;numSpines=78;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-05-03,17:16:06,2017-05-03,17:16:06,3576676566.738000,3576676566.739000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,36.612,67.608,8,1,,0,244,,0,,,,,,,,2017-05-03,17:16:34,2017-05-03,17:17:13,3576676594.219000,3576676633.174000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,35.208,37.152,20,1,,1,1517,,0,,,,,,,,2017-05-03,17:16:34,2017-05-03,17:20:49,3576676594.385000,3576676849.471000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,66.636,16.956,14,1,,2,1961,,0,,,,,,,,2017-05-03,17:16:34,2017-05-03,17:21:47,3576676594.575000,3576676907.512000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,42.184,93.285,11,1,,0,0,0,-29.73,,,center,0,42.228,93.312,11,2017-05-03,17:16:44,2017-05-03,17:16:44,3576676604.116000,3576676604.117000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,43.41,89.985,11,1,,0,29,3.9296,-25.801,,,center,0,43.416,89.964,11,2017-05-03,17:16:44,2017-05-03,17:16:44,3576676604.745000,3576676604.747000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,43.787,85.836,11,1,,0,68,8.2572,-21.473,,,center,0,43.74,85.86,11,2017-05-03,17:16:45,2017-05-03,17:16:45,3576676605.518000,3576676605.520000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,43.881,83.762,11,1,,0,88,10.354,-19.376,,,center,0,43.848,83.808,11,2017-05-03,17:16:46,2017-05-03,17:16:46,3576676606.056000,3576676606.059000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,42.184,79.897,11,1,,0,125,14.913,-14.817,,,center,0,42.228,79.92,11,2017-05-03,17:16:46,2017-05-03,17:16:46,3576676606.778000,3576676606.780000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,41.713,77.54,8,1,,0,148,17.513,-12.217,,,center,0,41.688,77.544,8,2017-05-03,17:16:48,2017-05-03,17:16:48,3576676608.217000,3576676608.220000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,41.43,74.9,8,1,,0,173,20.194,-9.536,,,center,0,41.472,74.952,8,2017-05-03,17:16:48,2017-05-03,17:16:48,3576676608.636000,3576676608.639000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,38.036,71.317,8,1,,0,208,25.387,-4.343,,,center,0,38.016,71.28,8,2017-05-03,17:16:49,2017-05-03,17:16:49,3576676609.379000,3576676609.382000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,37.281,69.054,8,1,,0,230,27.968,-1.7619,,,center,0,37.26,69.012,8,2017-05-03,17:16:50,2017-05-03,17:16:50,3576676610.010000,3576676610.013000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,35.773,66.32,8,1,,0,256,31.384,1.6539,,,center,0,35.748,66.312,8,2017-05-03,17:16:50,2017-05-03,17:16:50,3576676610.813000,3576676610.815000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,35.961,63.492,8,1,,0,283,34.282,4.5514,,,center,0,35.964,63.504,8,2017-05-03,17:16:51,2017-05-03,17:16:51,3576676611.529000,3576676611.530000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,38.13,59.626,8,1,,0,320,39.154,9.4235,,,center,0,38.124,59.616,8,2017-05-03,17:16:52,2017-05-03,17:16:52,3576676612.483000,3576676612.486000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,38.224,56.986,8,1,,0,345,41.79,12.06,,,center,0,38.232,57.024,8,2017-05-03,17:16:53,2017-05-03,17:16:53,3576676613.150000,3576676613.151000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,38.319,54.063,8,1,,0,373,44.751,15.021,,,center,0,38.34,54.108,8,2017-05-03,17:16:53,2017-05-03,17:16:53,3576676613.898000,3576676613.899000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,38.884,51.424,10,1,,0,399,47.675,17.945,,,center,0,38.88,51.408,10,2017-05-03,17:16:56,2017-05-03,17:16:56,3576676616.599000,3576676616.601000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,37.564,48.029,12,1,,0,431,51.56,21.829,,,center,0,37.584,48.06,12,2017-05-03,17:16:57,2017-05-03,17:16:57,3576676617.930000,3576676617.932000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,34.736,43.975,12,1,,0,470,56.916,27.186,,,center,0,34.776,43.956,12,2017-05-03,17:16:58,2017-05-03,17:16:58,3576676618.724000,3576676618.726000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,32.567,39.45,12,1,,0,513,62.347,32.617,,,center,0,32.616,39.42,12,2017-05-03,17:16:59,2017-05-03,17:16:59,3576676619.526000,3576676619.528000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
22,controlPnt,2,30.21,37.847,13,1,,0,536,65.483,35.753,,,center,0,30.24,37.8,13,2017-05-03,17:17:01,2017-05-03,17:17:01,3576676621.400000,3576676621.400000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,27.853,37.187,13,1,,0,559,68.128,38.398,,,center,0,27.864,37.152,13,2017-05-03,17:17:02,2017-05-03,17:17:02,3576676622.062000,3576676622.064000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,26.533,36.339,13,1,,0,572,69.871,40.141,,,center,0,26.568,36.288,13,2017-05-03,17:17:02,2017-05-03,17:17:02,3576676622.717000,3576676622.718000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,23.705,34.264,15,1,,0,600,73.727,43.996,,,center,0,23.652,34.236,15,2017-05-03,17:17:04,2017-05-03,17:17:04,3576676624.138000,3576676624.140000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,21.159,32.002,15,1,,0,624,77.24,47.509,,,center,0,21.168,31.968,15,2017-05-03,17:17:04,2017-05-03,17:17:04,3576676624.890000,3576676624.892000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,20.405,29.55,15,1,,0,647,79.929,50.199,,,center,0,20.412,29.592,15,2017-05-03,17:17:05,2017-05-03,17:17:05,3576676625.509000,3576676625.511000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,18.237,28.042,15,1,,0,668,82.804,53.074,,,center,0,18.252,28.08,15,2017-05-03,17:17:06,2017-05-03,17:17:06,3576676626.048000,3576676626.050000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,17.199,25.685,18,1,,0,691,85.628,55.898,,,center,0,17.172,25.704,18,2017-05-03,17:17:07,2017-05-03,17:17:07,3576676627.611000,3576676627.612000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
30,controlPnt,2,17.011,23.139,20,1,,0,716,88.265,58.534,,,center,0,17.064,23.112,20,2017-05-03,17:17:08,2017-05-03,17:17:08,3576676628.728000,3576676628.730000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
31,controlPnt,2,105.92,97.244,21,1,,1,717,0,-104.71,,,center,0,105.95,97.2,21,2017-05-03,17:20:15,2017-05-03,17:20:15,3576676815.647000,3576676815.649000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
