originalFile=torpor2_014;stack=THet2a_s4;stackdb=THet2a_s4_db2;saveTime=3578304075.711000;version=20151224;numObjects=186;numSpines=76;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-05,15:41:49,2017-04-05,15:41:49,3574251709.403000,3574251709.405000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,35.316,72.252,5,1,,0,275,,0,,,,,,,,2017-04-05,16:13:59,2017-04-05,16:14:50,3574253639.814000,3574253690.430000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,36.072,42.768,18,1,,1,1579,,0,,,,,,,,2017-04-05,16:13:59,2017-04-06,15:40:30,3574253639.992000,3574338030.385000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,66.528,21.816,11,1,,2,2012,,0,,,,,,,,2017-04-05,16:14:00,2017-04-06,15:41:55,3574253640.206000,3574338115.743000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,39.152,100.62,6,1,,0,0,0,-33.63,,,center,0,39.204,100.66,6,2017-04-05,16:14:02,2017-04-05,16:14:02,3574253642.994000,3574253642.997000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,41.914,96.02,6,1,,0,41,5.7624,-27.868,,,center,0,41.904,96.012,6,2017-04-05,16:14:04,2017-04-05,16:14:04,3574253644.777000,3574253644.779000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,41.52,95.033,6,1,,0,51,6.9133,-26.717,,,center,0,41.472,95.04,6,2017-04-05,16:14:05,2017-04-05,16:14:05,3574253645.187000,3574253645.188000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,42.638,93.652,6,1,,0,65,8.8094,-24.821,,,center,0,42.66,93.636,6,2017-04-05,16:14:06,2017-04-05,16:14:06,3574253646.916000,3574253646.919000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,42.243,90.56,6,1,,0,94,12.012,-21.618,,,center,0,42.228,90.612,6,2017-04-05,16:14:07,2017-04-05,16:14:07,3574253647.490000,3574253647.492000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,40.928,89.047,5,1,,0,109,14.061,-19.569,,,center,0,40.932,89.1,5,2017-04-05,16:14:09,2017-04-05,16:14:09,3574253649.084000,3574253649.085000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,40.27,86.943,5,1,,0,130,16.579,-17.051,,,center,0,40.284,86.94,5,2017-04-05,16:14:09,2017-04-05,16:14:09,3574253649.626000,3574253649.629000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,39.612,84.64,5,1,,0,152,19.294,-14.336,,,center,0,39.636,84.672,5,2017-04-05,16:14:10,2017-04-05,16:14:10,3574253650.166000,3574253650.167000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,38.626,82.733,5,1,,0,171,21.641,-11.989,,,center,0,38.664,82.728,5,2017-04-05,16:14:10,2017-04-05,16:14:10,3574253650.725000,3574253650.727000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,37.902,80.233,3,1,,0,195,24.438,-9.1922,,,center,0,37.908,80.244,3,2017-04-05,16:14:12,2017-04-05,16:14:12,3574253652.633000,3574253652.635000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,36.652,78.26,4,1,,0,215,26.982,-6.6481,,,center,0,36.612,78.3,4,2017-04-05,16:14:15,2017-04-05,16:14:15,3574253655.310000,3574253655.313000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,36.192,75.695,4,1,,0,240,29.753,-3.8771,,,center,0,36.18,75.708,4,2017-04-05,16:14:16,2017-04-05,16:14:16,3574253656.270000,3574253656.272000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,35.403,72.275,4,1,,0,273,33.522,-0.108,,,center,0,35.424,72.252,4,2017-04-05,16:14:17,2017-04-05,16:14:17,3574253657.069000,3574253657.071000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,35.534,70.17,4,1,,0,294,35.861,2.2309,,,center,0,35.532,70.2,4,2017-04-05,16:14:19,2017-04-05,16:14:19,3574253659.099000,3574253659.102000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,36.784,68.065,6,1,,0,315,38.648,5.0172,,,center,0,36.828,68.04,6,2017-04-05,16:14:20,2017-04-05,16:14:20,3574253660.952000,3574253660.954000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,37.573,64.447,7,1,,0,349,42.525,8.8944,,,center,0,37.584,64.476,7,2017-04-05,16:14:23,2017-04-05,16:14:23,3574253663.653000,3574253663.655000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,37.77,61.093,7,1,,0,381,45.962,12.332,,,center,0,37.8,61.128,7,2017-04-05,16:14:24,2017-04-05,16:14:24,3574253664.140000,3574253664.143000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,38.494,58.527,9,1,,0,406,48.823,15.192,,,center,0,38.448,58.536,9,2017-04-05,16:14:25,2017-04-05,16:14:25,3574253665.583000,3574253665.585000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
22,controlPnt,2,37.705,55.699,10,1,,0,433,51.944,18.313,,,center,0,37.692,55.728,10,2017-04-05,16:14:26,2017-04-05,16:14:26,3574253666.930000,3574253666.932000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,35.534,51.292,10,1,,0,475,57.266,23.636,,,center,0,35.532,51.3,10,2017-04-05,16:14:27,2017-04-05,16:14:27,3574253667.526000,3574253667.528000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
