stack=rr30a_s3;stackdb=rr30a_s3_db2;saveTime=3590469146.712000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,698,699,84.4,59,0.35,57,0,0,,,,
,1,1,NaN,699,1115,417,55.1,24,0.35,57,0,0,,,,
,2,2,NaN,1116,1643,528,67.5,40,0.35,57,0,0,,,,
,3,3,NaN,1644,1854,211,26.8,14,0.3,57,0,0,,,,
,4,4,NaN,1855,2100,246,32.3,19,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d
NaN,NaN,43.200001,29.160000,29.000000,29.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,
NaN,NaN,43.320000,29.160000,29.000000,29.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.119999,0.119999,NaN,NaN,NaN,0.119999,0.119999,
NaN,NaN,43.439999,29.160000,29.000000,29.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.239998,0.239998,NaN,NaN,NaN,0.239998,0.239998,
NaN,NaN,43.560001,29.160000,29.000000,29.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.360001,0.360001,NaN,NaN,NaN,0.360001,0.360001,
NaN,NaN,43.680000,29.160000,29.000000,29.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.480000,0.480000,NaN,NaN,NaN,0.480000,0.480000,
NaN,NaN,43.799999,29.160000,29.000000,29.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.599998,0.599998,NaN,NaN,NaN,0.599998,0.599998,
NaN,NaN,43.919998,29.160000,29.000000,29.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.719997,0.719997,NaN,NaN,NaN,0.719997,0.719997,
NaN,NaN,44.040001,29.160000,29.000000,29.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.840000,0.840000,NaN,NaN,NaN,0.840000,0.840000,
NaN,NaN,44.160000,29.160000,29.000000,29.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.959999,0.959999,NaN,NaN,NaN,0.959999,0.959999,
NaN,NaN,44.279999,29.160000,29.000000,29.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.079998,1.079998,NaN,NaN,NaN,1.079998,1.079998,
NaN,NaN,44.400002,29.160000,29.000000,29.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.200001,1.200001,NaN,NaN,NaN,1.200001,1.200001,
NaN,NaN,44.520000,29.160000,29.000000,29.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.320000,1.320000,NaN,NaN,NaN,1.320000,1.320000,
NaN,NaN,44.639999,29.160000,29.000000,29.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.439999,1.439999,NaN,NaN,NaN,1.439999,1.439999,
NaN,NaN,44.759998,29.160000,29.000000,29.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.559998,1.559998,NaN,NaN,NaN,1.559998,1.559998,
NaN,NaN,44.880001,29.160000,29.000000,29.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.680000,1.680000,NaN,NaN,NaN,1.680000,1.680000,
NaN,NaN,45.000000,29.160000,29.000000,29.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.799999,1.799999,NaN,NaN,NaN,1.799999,1.799999,
NaN,NaN,45.119999,29.040001,29.000000,29.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,1.969703,1.969703,NaN,NaN,NaN,1.969703,1.969703,
NaN,NaN,45.240002,29.040001,29.000000,29.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.089706,2.089706,NaN,NaN,NaN,2.089706,2.089706,
NaN,NaN,45.360001,29.040001,29.000000,29.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.209705,2.209705,NaN,NaN,NaN,2.209705,2.209705,
NaN,NaN,45.480000,28.920000,29.000000,29.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.379411,2.379411,NaN,NaN,NaN,2.379411,2.379411,
NaN,NaN,45.599998,28.799999,29.000000,29.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.549116,2.549116,NaN,NaN,NaN,2.549116,2.549116,
NaN,NaN,45.720001,28.680000,29.000000,29.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.718823,2.718823,NaN,NaN,NaN,2.718823,2.718823,
NaN,NaN,45.840000,28.559999,29.000000,29.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,2.888528,2.888528,NaN,NaN,NaN,2.888528,2.888528,
NaN,NaN,45.959999,28.440001,29.000000,29.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.058232,3.058232,NaN,NaN,NaN,3.058232,3.058232,
NaN,NaN,46.080002,28.440001,29.000000,29.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.178235,3.178235,NaN,NaN,NaN,3.178235,3.178235,
NaN,NaN,46.200001,28.440001,29.000000,29.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.298234,3.298234,NaN,NaN,NaN,3.298234,3.298234,
NaN,NaN,46.320000,28.440001,29.000000,29.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.418233,3.418233,NaN,NaN,NaN,3.418233,3.418233,
NaN,NaN,46.439999,28.440001,29.000000,29.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.538232,3.538232,NaN,NaN,NaN,3.538232,3.538232,
NaN,NaN,46.560001,28.440001,29.000000,29.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.658235,3.658235,NaN,NaN,NaN,3.658235,3.658235,
NaN,NaN,46.680000,28.440001,29.000000,29.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.778234,3.778234,NaN,NaN,NaN,3.778234,3.778234,
NaN,NaN,46.799999,28.440001,29.000000,29.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.898232,3.898232,NaN,NaN,NaN,3.898232,3.898232,
NaN,NaN,46.919998,28.440001,29.000000,29.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.018231,4.018231,NaN,NaN,NaN,4.018231,4.018231,
NaN,NaN,47.040001,28.440001,29.000000,29.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.138234,4.138234,NaN,NaN,NaN,4.138234,4.138234,
NaN,NaN,47.160000,28.440001,29.000000,29.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.258233,4.258233,NaN,NaN,NaN,4.258233,4.258233,
NaN,NaN,47.160000,28.440001,29.000000,29.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.258233,4.258233,NaN,NaN,NaN,4.258233,4.258233,
