stack=rr30a_s8;stackdb=rr30a_s8_db2;saveTime=3590469148.930000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,695,696,84,57,0.35,57,0,0,,,,
,1,1,NaN,696,1107,412,54.2,19,0.35,57,0,0,,,,
,2,2,NaN,1108,1632,525,68.2,39,0.35,57,0,0,,,,
,3,3,NaN,1633,1842,210,26.6,12,0.3,57,0,0,,,,
,4,4,NaN,1843,2080,238,31.6,20,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d
NaN,NaN,43.200001,28.559999,29.000000,29.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,
NaN,NaN,43.320000,28.440001,29.000000,29.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.169704,0.169704,NaN,NaN,NaN,0.169704,0.169704,
NaN,NaN,43.439999,28.440001,30.000000,30.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.289703,0.289703,NaN,NaN,NaN,1.176878,1.176878,
NaN,NaN,43.560001,28.440001,30.000000,30.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.409706,0.409706,NaN,NaN,NaN,1.296881,1.296881,
NaN,NaN,43.680000,28.440001,30.000000,30.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.529705,0.529705,NaN,NaN,NaN,1.416880,1.416880,
NaN,NaN,43.799999,28.440001,30.000000,30.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.649704,0.649704,NaN,NaN,NaN,1.536879,1.536879,
NaN,NaN,43.919998,28.440001,30.000000,30.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.769703,0.769703,NaN,NaN,NaN,1.656878,1.656878,
NaN,NaN,44.040001,28.440001,30.000000,30.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.889705,0.889705,NaN,NaN,NaN,1.776881,1.776881,
NaN,NaN,44.160000,28.440001,30.000000,30.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.009704,1.009704,NaN,NaN,NaN,1.896879,1.896879,
NaN,NaN,44.279999,28.320000,30.000000,30.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.179410,1.179410,NaN,NaN,NaN,2.066585,2.066585,
