Idx,myNewStat,yyy,newstat2
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,NaN,NaN,NaN
5,NaN,NaN,NaN
6,NaN,NaN,NaN
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,451427,-3963.6,451427
25,203680,NaN,203680
26,303280,NaN,303280
27,445021,NaN,445021
28,286328,NaN,286328
29,372730,NaN,372730
30,399053,NaN,399053
31,371738,NaN,371738
32,296807,NaN,296807
33,452820,NaN,452820
34,528589,NaN,528589
35,418526,NaN,418526
36,466911,NaN,466911
37,523527,NaN,523527
38,239533,NaN,239533
39,172807,NaN,172807
40,482052,NaN,482052
41,465746,NaN,465746
42,198095,NaN,198095
43,513282,NaN,513282
44,744424,NaN,744424
45,560559,NaN,560559
46,326331,NaN,326331
47,300614,NaN,300614
48,190265,NaN,190265
49,407168,NaN,407168
50,218885,NaN,218885
51,NaN,4191.2,NaN
52,347326,NaN,347326
53,225590,NaN,225590
54,304665,NaN,304665
55,371754,NaN,371754
56,409964,NaN,409964
57,480663,NaN,480663
58,503772,NaN,503772
59,490643,NaN,490643
60,576159,NaN,576159
61,646007,NaN,646007
62,397508,NaN,397508
63,269647,NaN,269647
64,543694,NaN,543694
65,355701,NaN,355701
66,486208,NaN,486208
67,309205,NaN,309205
68,285805,NaN,285805
69,310464,NaN,310464
70,440669,NaN,440669
71,197446,-4009.5,197446
72,NaN,NaN,NaN
73,NaN,NaN,NaN
74,NaN,NaN,NaN
75,NaN,NaN,NaN
76,NaN,NaN,NaN
77,NaN,NaN,NaN
