originalFile=C:Users:Richard:Desktop:MapManagerMaps:Nancy:rr49c:raw:rr49c_s0_ch1.tif;stack=rr49c_s0;stackdb=rr49c_s0_db2;saveTime=3583986369.906000;version=20151224;numObjects=226;numSpines=152;condStr=None;pixelx=1024;pixely=1024;pixelz=60;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-10-16,20:09:32,2015-10-16,20:09:32,3527870972.552000,3527870972.553000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,61.44,84.48,30,1,,0,546,,0,,,,,,,,2015-10-17,17:59:55,2015-10-21,11:57:46,3527949595.920000,3528273466.268000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,0.7233,117.43,26,1,,0,0,0,-77.4,,,center,0,0.72,117.48,26,2015-10-17,18:00:13,2015-10-17,18:00:13,3527949613.211000,3527949613.213000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,6.0473,114.67,26,1,,0,44,6.6632,-70.758,,,center,0,6,114.72,26,2015-10-17,18:00:14,2015-10-17,18:00:14,3527949614.256000,3527949614.258000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,11.922,112.47,26,1,,0,96,13.657,-63.764,,,center,0,11.88,112.44,26,2015-10-17,18:00:15,2015-10-17,18:00:15,3527949615.095000,3527949615.096000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,16.328,110.27,28,1,,0,135,19.162,-58.26,,,center,0,16.32,110.28,28,2015-10-17,18:00:17,2015-10-17,18:00:17,3527949617.406000,3527949617.406000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,20.918,108.89,29,1,,0,176,24.459,-52.963,,,center,0,20.88,108.84,29,2015-10-17,18:00:19,2015-10-17,18:00:19,3527949619.085000,3527949619.086000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,25.783,107.33,30,1,,0,218,30.124,-47.297,,,center,0,25.8,107.28,30,2015-10-17,18:00:20,2015-10-17,18:00:20,3527949620.164000,3527949620.164000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,31.199,106.05,30,1,,0,266,36.46,-40.961,,,center,0,31.2,106.08,30,2015-10-17,18:00:21,2015-10-17,18:00:21,3527949621.116000,3527949621.116000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,36.614,102.83,31,1,,0,312,43.202,-34.219,,,center,0,36.6,102.84,31,2015-10-17,18:00:23,2015-10-17,18:00:23,3527949623.054000,3527949623.054000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,42.214,100.72,31,1,,0,360,49.836,-27.585,,,center,0,42.24,100.68,31,2015-10-17,18:00:24,2015-10-17,18:00:24,3527949624.180000,3527949624.180000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,46.803,97.234,34,1,,0,401,55.978,-21.443,,,center,0,46.8,97.2,34,2015-10-17,18:00:27,2015-10-17,18:00:27,3527949627.160000,3527949627.160000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,50.934,96.316,34,1,,0,436,60.605,-16.816,,,center,0,50.88,96.36,34,2015-10-17,18:00:29,2015-10-17,18:00:29,3527949629.698000,3527949629.698000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,54.33,92.645,34,1,,0,471,65.978,-11.444,,,center,0,54.36,92.64,34,2015-10-17,18:00:30,2015-10-17,18:00:30,3527949630.547000,3527949630.547000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,57.91,88.973,33,1,,0,508,71.54,-5.8815,,,center,0,57.96,88.92,33,2015-10-17,18:00:33,2015-10-17,18:00:33,3527949633.220000,3527949633.220000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,61.215,84.016,33,1,,0,551,78.071,0.64971,,,center,0,61.2,84,33,2015-10-17,18:00:34,2015-10-17,18:00:34,3527949634.057000,3527949634.057000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,63.877,80.62,30,1,,0,588,83.187,5.765,,,center,0,63.84,80.64,30,2015-10-17,18:00:39,2015-10-17,18:00:39,3527949639.214000,3527949639.214000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
