stack=rr50b_s9;stackdb=rr50b_s9_db2;saveTime=3583986377.437000;version=20151224;numHeaderRow=4;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,445,446,61.4,10,0.3,57,0,0,,,,
,1,1,NaN,446,905,460,64.4,22,0.3,57,0,0,,,,
,2,2,NaN,906,1899,994,131.5,67,0.3,57,0,0,,,,
,3,3,NaN,1900,2422,523,76.9,32,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,2.040000,38.639999,9.000000,9.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-26.203985,NaN,NaN,NaN,0.000000,-69.122528,
NaN,NaN,2.280000,38.520000,9.000000,9.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.268328,-25.935658,NaN,NaN,NaN,0.268328,-68.854202,
NaN,NaN,2.520000,38.400002,10.000000,10.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.536655,-25.667330,NaN,NaN,NaN,1.303702,-67.818825,
NaN,NaN,2.640000,38.400002,11.000000,11.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.656655,-25.547329,NaN,NaN,NaN,2.310876,-66.811653,
NaN,NaN,2.760000,38.400002,11.000000,11.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.776655,-25.427330,NaN,NaN,NaN,2.430876,-66.691650,
NaN,NaN,2.880000,38.400002,11.000000,11.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.896655,-25.307329,NaN,NaN,NaN,2.550876,-66.571655,
NaN,NaN,3.000000,38.400002,10.000000,10.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.016655,-25.187330,NaN,NaN,NaN,3.558050,-65.564476,
NaN,NaN,3.120000,38.400002,10.000000,10.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.136655,-25.067329,NaN,NaN,NaN,3.678050,-65.444481,
NaN,NaN,3.240000,38.400002,10.000000,10.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.256655,-24.947330,NaN,NaN,NaN,3.798050,-65.324478,
NaN,NaN,3.360000,38.279999,10.000000,10.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.426363,-24.777622,NaN,NaN,NaN,3.967758,-65.154770,
NaN,NaN,3.480000,38.279999,10.000000,10.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.546363,-24.657621,NaN,NaN,NaN,4.087758,-65.034767,
NaN,NaN,3.600000,38.279999,10.000000,10.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.666363,-24.537622,NaN,NaN,NaN,4.207758,-64.914772,
NaN,NaN,3.720000,38.279999,10.000000,10.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.786363,-24.417622,NaN,NaN,NaN,4.327758,-64.794769,
NaN,NaN,3.840000,38.400002,9.000000,9.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.956071,-24.247915,NaN,NaN,NaN,5.342056,-63.780472,
NaN,NaN,3.960000,38.520000,9.000000,9.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.125776,-24.078209,NaN,NaN,NaN,5.511761,-63.610767,
