stack=rr52c_s10;stackdb=rr52c_s10_db2;saveTime=3583986381.342000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,1079,1080,145.8,38,0.35,57,0,0,,,,
,1,1,NaN,1080,1589,510,72,24,0.35,57,0,0,,,,
,2,2,NaN,1590,2357,768,111,28,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,18.480000,0.960000,28.000000,28.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-86.219940,NaN,NaN,NaN,0.000000,-218.704269,
NaN,NaN,18.480000,1.080000,28.000000,28.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.120000,-86.099937,NaN,NaN,NaN,0.120000,-218.584274,
NaN,NaN,18.600000,1.200000,28.000000,28.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.289706,-85.930237,NaN,NaN,NaN,0.289706,-218.414566,
NaN,NaN,18.600000,1.320000,28.000000,28.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.409706,-85.810234,NaN,NaN,NaN,0.409706,-218.294556,
NaN,NaN,18.480000,1.440000,29.000000,29.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.579413,-85.640526,NaN,NaN,NaN,1.424004,-217.280258,
NaN,NaN,18.600000,1.560000,29.000000,29.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.749119,-85.470825,NaN,NaN,NaN,1.593710,-217.110565,
NaN,NaN,18.600000,1.680000,29.000000,29.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.869119,-85.350822,NaN,NaN,NaN,1.713710,-216.990555,
NaN,NaN,18.719999,1.800000,29.000000,29.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,1.038823,-85.181114,NaN,NaN,NaN,1.883415,-216.820862,
NaN,NaN,18.600000,1.920000,29.000000,29.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.208528,-85.011414,NaN,NaN,NaN,2.053120,-216.651154,
NaN,NaN,18.719999,2.040000,29.000000,29.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.378233,-84.841705,NaN,NaN,NaN,2.222825,-216.481445,
NaN,NaN,18.719999,2.160000,29.000000,29.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.498233,-84.721710,NaN,NaN,NaN,2.342825,-216.361450,
NaN,NaN,18.719999,2.280000,29.000000,29.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.618233,-84.601707,NaN,NaN,NaN,2.462825,-216.241440,
NaN,NaN,18.840000,2.400000,29.000000,29.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.787940,-84.431999,NaN,NaN,NaN,2.632531,-216.071732,
NaN,NaN,18.959999,2.520000,28.000000,28.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.957644,-84.262299,NaN,NaN,NaN,3.646829,-215.057434,
NaN,NaN,19.080000,2.640000,28.000000,28.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,2.127351,-84.092590,NaN,NaN,NaN,3.816535,-214.887741,
NaN,NaN,19.080000,2.760000,29.000000,29.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.247351,-83.972588,NaN,NaN,NaN,4.823709,-213.880554,
NaN,NaN,19.080000,2.760000,30.000000,30.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.247351,-83.972588,NaN,NaN,NaN,5.823709,-212.880554,
NaN,NaN,19.200001,2.880000,31.000000,31.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.417057,-83.802887,NaN,NaN,NaN,6.838007,-211.866257,
NaN,NaN,19.320000,3.000000,31.000000,31.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.586762,-83.633179,NaN,NaN,NaN,7.007712,-211.696564,
NaN,NaN,19.440001,3.120000,32.000000,32.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.756468,-83.463470,NaN,NaN,NaN,8.022010,-210.682266,
NaN,NaN,19.559999,3.240000,32.000000,32.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.926173,-83.293770,NaN,NaN,NaN,8.191715,-210.512558,
NaN,NaN,19.680000,3.240000,32.000000,32.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,3.046174,-83.173767,NaN,NaN,NaN,8.311716,-210.392548,
NaN,NaN,19.799999,3.360000,32.000000,32.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,3.215878,-83.004059,NaN,NaN,NaN,8.481421,-210.222855,
NaN,NaN,19.920000,3.480000,32.000000,32.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.385585,-82.834358,NaN,NaN,NaN,8.651127,-210.053146,
NaN,NaN,19.799999,3.600000,33.000000,33.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.555291,-82.664650,NaN,NaN,NaN,9.665424,-209.038849,
NaN,NaN,19.680000,3.720000,33.000000,33.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.724996,-82.494942,NaN,NaN,NaN,9.835130,-208.869141,
NaN,NaN,19.559999,3.840000,32.000000,32.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.894702,-82.325241,NaN,NaN,NaN,10.849427,-207.854843,
NaN,NaN,19.559999,3.960000,31.000000,31.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,4.014702,-82.205238,NaN,NaN,NaN,11.856602,-206.847672,
NaN,NaN,19.559999,4.080000,31.000000,31.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,4.134702,-82.085236,NaN,NaN,NaN,11.976602,-206.727661,
NaN,NaN,19.559999,4.200000,32.000000,32.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,4.254702,-81.965240,NaN,NaN,NaN,12.983776,-205.720490,
NaN,NaN,19.440001,4.320000,31.000000,31.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,4.424407,-81.795532,NaN,NaN,NaN,13.998074,-204.706192,
NaN,NaN,19.559999,4.440000,32.000000,32.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.594112,-81.625832,NaN,NaN,NaN,15.012371,-203.691895,
NaN,NaN,19.559999,4.560000,33.000000,33.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.714112,-81.505829,NaN,NaN,NaN,16.019547,-202.684723,
NaN,NaN,19.559999,4.680000,32.000000,32.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.834112,-81.385826,NaN,NaN,NaN,17.026720,-201.677551,
NaN,NaN,19.559999,4.680000,31.000000,31.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.834112,-81.385826,NaN,NaN,NaN,18.026720,-200.677551,
NaN,NaN,19.440001,4.800000,30.000000,30.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,5.003817,-81.216125,NaN,NaN,NaN,19.041018,-199.663254,
NaN,NaN,19.320000,4.920000,29.000000,29.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,5.173523,-81.046417,NaN,NaN,NaN,20.055315,-198.648956,
NaN,NaN,19.320000,5.040000,30.000000,30.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,5.293523,-80.926414,NaN,NaN,NaN,21.062490,-197.641785,
NaN,NaN,19.320000,5.160000,30.000000,30.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,5.413523,-80.806419,NaN,NaN,NaN,21.182489,-197.521774,
NaN,NaN,19.440001,5.280000,30.000000,30.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,5.583229,-80.636711,NaN,NaN,NaN,21.352196,-197.352081,
NaN,NaN,19.559999,5.400000,30.000000,30.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.752934,-80.467003,NaN,NaN,NaN,21.521900,-197.182373,
