stack=rr58b_s1;stackdb=rr58b_s1_db2;saveTime=3583986382.999000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,912,913,124.9,99,0.35,57,0,0,,,,
,1,1,NaN,913,1428,516,71,63,0.35,57,0,0,,,,
,2,2,NaN,1429,1941,513,69.9,61,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,91.440002,1.560000,32.000000,32.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-65.459824,NaN,NaN,NaN,0.000000,-166.469421,
NaN,NaN,91.320000,1.800000,32.000000,32.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.268329,-65.191498,NaN,NaN,NaN,0.268329,-166.201096,
NaN,NaN,91.440002,2.040000,32.000000,32.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.536659,-64.923164,NaN,NaN,NaN,0.536659,-165.932770,
NaN,NaN,91.559998,2.160000,31.000000,31.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.706361,-64.753464,NaN,NaN,NaN,1.550956,-164.918472,
NaN,NaN,91.680000,2.280000,31.000000,31.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.876069,-64.583755,NaN,NaN,NaN,1.720664,-164.748764,
NaN,NaN,91.800003,2.400000,32.000000,32.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,1.045776,-64.414047,NaN,NaN,NaN,2.734962,-163.734467,
NaN,NaN,91.919998,2.520000,33.000000,33.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.215478,-64.244347,NaN,NaN,NaN,3.749259,-162.720169,
NaN,NaN,92.040001,2.640000,32.000000,32.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.385186,-64.074638,NaN,NaN,NaN,4.763557,-161.705872,
NaN,NaN,92.160004,2.640000,32.000000,32.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.505189,-63.954636,NaN,NaN,NaN,4.883560,-161.585861,
NaN,NaN,92.279999,2.760000,31.000000,31.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.674891,-63.784931,NaN,NaN,NaN,5.897857,-160.571564,
NaN,NaN,92.400002,2.760000,31.000000,31.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.794894,-63.664928,NaN,NaN,NaN,6.017859,-160.451569,
NaN,NaN,92.519997,2.880000,30.000000,30.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.964596,-63.495228,NaN,NaN,NaN,7.032157,-159.437271,
NaN,NaN,92.639999,3.000000,29.000000,29.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,2.134303,-63.325520,NaN,NaN,NaN,8.046455,-158.422974,
NaN,NaN,92.639999,3.120000,29.000000,29.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.254303,-63.205521,NaN,NaN,NaN,8.166455,-158.302963,
NaN,NaN,92.639999,3.240000,29.000000,29.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.374303,-63.085522,NaN,NaN,NaN,8.286455,-158.182968,
NaN,NaN,92.639999,3.360000,29.000000,29.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.494303,-62.965519,NaN,NaN,NaN,8.406455,-158.062973,
NaN,NaN,92.519997,3.480000,29.000000,29.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.664011,-62.795815,NaN,NaN,NaN,8.576162,-157.893265,
NaN,NaN,92.639999,3.600000,29.000000,29.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.833718,-62.626106,NaN,NaN,NaN,8.745870,-157.723557,
NaN,NaN,92.639999,3.720000,29.000000,29.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.953718,-62.506104,NaN,NaN,NaN,8.865870,-157.603546,
NaN,NaN,92.639999,3.840000,28.000000,28.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,3.073718,-62.386105,NaN,NaN,NaN,9.873044,-156.596375,
NaN,NaN,92.760002,3.960000,28.000000,28.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,3.243426,-62.216396,NaN,NaN,NaN,10.042752,-156.426666,
NaN,NaN,92.879997,4.080000,28.000000,28.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.413128,-62.046696,NaN,NaN,NaN,10.212454,-156.256973,
NaN,NaN,93.000000,4.200000,28.000000,28.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.582836,-61.876987,NaN,NaN,NaN,10.382161,-156.087265,
NaN,NaN,92.879997,4.320000,27.000000,27.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.752543,-61.707279,NaN,NaN,NaN,11.396460,-155.072968,
NaN,NaN,92.879997,4.440000,27.000000,27.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.872543,-61.587280,NaN,NaN,NaN,11.516459,-154.952957,
