originalFile=C:MapManager:MapManagerMaps:Nancy:rr58b:raw:rr58b_s12_ch1.tif;stack=rr58b_s12;stackdb=rr58b_s12_db2;saveTime=3583986386.832000;version=20151224;numObjects=302;numSpines=228;condStr=None;pixelx=1024;pixely=1024;pixelz=55;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-10-30,19:35:55,2015-10-30,19:35:55,3529078555.999000,3529078555.999000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,77.88,52.92,23,1,,0,429,,0,,,,,,,,2015-11-01,13:46:41,2015-11-01,13:51:13,3529230401.794000,3529230673.042000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,93.367,5.7597,30,1,,0,0,0,-60.08,,,center,0,93.36,5.76,30,2015-11-01,13:46:52,2015-11-01,13:46:52,3529230412.227000,3529230412.228000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,94.468,11.084,30,1,,0,43,6.2947,-53.806,,,center,0,94.44,11.04,30,2015-11-01,13:46:53,2015-11-01,13:46:53,3529230413.089000,3529230413.090000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,92.908,14.774,31,1,,0,75,10.76,-49.341,,,center,0,92.88,14.76,31,2015-11-01,13:47:38,2015-11-01,13:47:38,3529230458.761000,3529230458.762000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,93.183,17.986,31,1,,0,103,14.348,-45.753,,,center,0,93.24,18,31,2015-11-01,13:47:39,2015-11-01,13:47:39,3529230459.950000,3529230459.950000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,91.623,20.74,32,1,,0,128,17.924,-42.177,,,center,0,91.68,20.76,32,2015-11-01,13:47:41,2015-11-01,13:47:41,3529230461.552000,3529230461.554000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,89.052,24.32,29,1,,0,165,23.238,-36.863,,,center,0,89.04,24.36,29,2015-11-01,13:47:46,2015-11-01,13:47:46,3529230466.459000,3529230466.459000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,87.033,28.359,29,1,,0,200,28.213,-31.888,,,center,0,87,28.32,29,2015-11-01,13:47:47,2015-11-01,13:47:47,3529230467.095000,3529230467.095000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,87.676,32.949,29,1,,0,240,33.688,-26.413,,,center,0,87.72,33,29,2015-11-01,13:47:47,2015-11-01,13:47:47,3529230467.668000,3529230467.668000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,85.564,36.437,29,1,,0,273,38.274,-21.827,,,center,0,85.56,36.48,29,2015-11-01,13:47:50,2015-11-01,13:47:50,3529230470.870000,3529230470.870000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,84.646,39.833,29,1,,0,303,42.201,-17.9,,,center,0,84.6,39.84,29,2015-11-01,13:47:51,2015-11-01,13:47:51,3529230471.724000,3529230471.724000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,84.096,44.056,26,1,,0,342,47.706,-12.396,,,center,0,84.12,44.04,26,2015-11-01,13:47:54,2015-11-01,13:47:54,3529230474.350000,3529230474.350000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,82.214,45.988,25,1,,0,364,50.971,-9.13,,,center,0,82.2,45.96,25,2015-11-01,13:48:05,2015-11-01,13:48:05,3529230485.405000,3529230485.405000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,80.63,49.086,25,1,,0,394,55.048,-5.0535,,,center,0,80.64,49.08,25,2015-11-01,13:48:06,2015-11-01,13:48:06,3529230486.240000,3529230486.240000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,79.116,51.702,25,1,,0,417,58.334,-1.7674,,,center,0,79.08,51.72,25,2015-11-01,13:48:06,2015-11-01,13:48:06,3529230486.802000,3529230486.802000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,77.051,53.836,25,1,,0,438,61.479,1.3782,,,center,0,77.04,53.88,25,2015-11-01,13:48:07,2015-11-01,13:48:07,3529230487.558000,3529230487.558000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,75.536,53.974,24,1,,0,452,63.089,2.9879,,,center,0,75.48,54,24,2015-11-01,13:48:09,2015-11-01,13:48:09,3529230489.260000,3529230489.260000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,74.09,56.039,25,1,,0,470,65.726,5.6244,,,center,0,74.04,56.04,25,2015-11-01,13:48:11,2015-11-01,13:48:11,3529230491.572000,3529230491.572000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,73.402,58.38,25,1,,0,491,68.573,8.4718,,,center,0,73.44,58.44,25,2015-11-01,13:48:12,2015-11-01,13:48:12,3529230492.417000,3529230492.417000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,71.818,60.927,26,1,,0,513,71.789,11.688,,,center,0,71.76,60.96,26,2015-11-01,13:48:14,2015-11-01,13:48:14,3529230494.968000,3529230494.968000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,70.51,63.406,28,1,,0,534,74.686,14.585,,,center,0,70.56,63.36,28,2015-11-01,13:48:19,2015-11-01,13:48:19,3529230499.964000,3529230499.964000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
22,controlPnt,2,70.786,65.953,28,1,,0,557,77.624,17.523,,,center,0,70.8,66,28,2015-11-01,13:48:20,2015-11-01,13:48:20,3529230500.576000,3529230500.576000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,69.409,68.913,30,1,,0,586,81.481,21.38,,,center,0,69.36,68.88,30,2015-11-01,13:48:22,2015-11-01,13:48:22,3529230502.268000,3529230502.268000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,69.478,71.185,30,1,,0,606,84.208,24.107,,,center,0,69.48,71.16,30,2015-11-01,13:48:23,2015-11-01,13:48:23,3529230503.116000,3529230503.116000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,68.789,74.076,31,1,,0,631,87.387,27.286,,,center,0,68.76,74.04,31,2015-11-01,13:48:28,2015-11-01,13:48:28,3529230508.392000,3529230508.392000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,68.996,77.147,34,1,,0,658,90.904,30.803,,,center,0,69,77.16,34,2015-11-01,13:48:35,2015-11-01,13:48:35,3529230515.522000,3529230515.522000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,69.202,80.589,36,1,,0,690,94.823,34.722,,,center,0,69.24,80.64,36,2015-11-01,13:48:36,2015-11-01,13:48:36,3529230516.925000,3529230516.925000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,68.307,82.861,36,1,,0,712,97.741,37.64,,,center,0,68.28,82.92,36,2015-11-01,13:48:37,2015-11-01,13:48:37,3529230517.682000,3529230517.682000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,69.133,85.821,37,1,,0,737,101.07,40.967,,,center,0,69.12,85.8,37,2015-11-01,13:48:40,2015-11-01,13:48:40,3529230520.101000,3529230520.101000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
30,controlPnt,2,69.891,88.231,37,1,,0,759,104.04,43.934,,,center,0,69.84,88.2,37,2015-11-01,13:48:40,2015-11-01,13:48:40,3529230520.793000,3529230520.793000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
31,controlPnt,2,69.547,90.847,37,1,,0,782,106.97,46.873,,,center,0,69.6,90.84,37,2015-11-01,13:48:41,2015-11-01,13:48:41,3529230521.566000,3529230521.566000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
32,controlPnt,2,68.514,93.807,41,1,,0,810,110.59,50.49,,,center,0,68.52,93.84,41,2015-11-01,13:48:48,2015-11-01,13:48:48,3529230528.323000,3529230528.323000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
33,controlPnt,2,68.996,96.837,43,1,,0,836,113.89,53.788,,,center,0,69,96.84,43,2015-11-01,13:48:49,2015-11-01,13:48:49,3529230529.996000,3529230529.997000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
34,controlPnt,2,67.757,99.59,43,1,,0,861,117.22,57.115,,,center,0,67.8,99.6,43,2015-11-01,13:48:50,2015-11-01,13:48:50,3529230530.818000,3529230530.818000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
35,controlPnt,2,67.481,103.31,47,1,,0,893,121.38,61.283,,,center,0,67.44,103.32,47,2015-11-01,13:49:07,2015-11-01,13:49:07,3529230547.450000,3529230547.450000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
36,controlPnt,2,67.963,106.13,47,1,,0,917,124.34,64.241,,,center,0,67.92,106.08,47,2015-11-01,13:49:08,2015-11-01,13:49:08,3529230548.429000,3529230548.429000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
37,pivotPnt,3,84.36,99.84,34,1,,1,1278,,0,,,,,,,,2015-11-01,13:49:10,2015-11-01,13:51:18,3529230550.314000,3529230678.448000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
38,controlPnt,2,122.69,79.901,33,1,,1,918,0,-49.751,,,center,0,122.64,79.92,33,2015-11-01,13:49:18,2015-11-01,13:49:18,3529230558.134000,3529230558.134000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
39,controlPnt,2,118.91,81.691,33,1,,1,950,4.6353,-45.115,,,center,0,118.92,81.72,33,2015-11-01,13:49:18,2015-11-01,13:49:18,3529230558.734000,3529230558.734000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
