stack=rr58c_s10;stackdb=rr58c_s10_db2;saveTime=3583986390.220000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,665,666,90.2,32,0.3,57,0,0,,,,
,1,1,NaN,666,1076,411,60,48,0.3,57,0,0,,,,
,2,2,NaN,1077,1288,212,28.9,20,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,3.480000,80.400002,90.000000,90.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-60.140034,NaN,NaN,NaN,0.000000,-200.148148,
NaN,NaN,3.240000,80.279999,91.000000,91.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.268329,-59.871704,NaN,NaN,NaN,1.035375,-199.112778,
NaN,NaN,3.360000,80.400002,92.000000,92.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.438037,-59.701996,NaN,NaN,NaN,2.049673,-198.098480,
NaN,NaN,3.480000,80.400002,93.000000,93.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.558037,-59.581997,NaN,NaN,NaN,3.056847,-197.091293,
NaN,NaN,3.600000,80.279999,94.000000,94.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.727745,-59.412289,NaN,NaN,NaN,4.071145,-196.076996,
NaN,NaN,3.720000,80.279999,94.000000,94.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.847745,-59.292290,NaN,NaN,NaN,4.191145,-195.957001,
NaN,NaN,3.840000,80.160004,93.000000,93.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,1.017447,-59.122585,NaN,NaN,NaN,5.205442,-194.942703,
NaN,NaN,3.960000,80.160004,93.000000,93.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.137447,-59.002586,NaN,NaN,NaN,5.325443,-194.822708,
NaN,NaN,4.080000,80.160004,94.000000,94.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.257447,-58.882587,NaN,NaN,NaN,6.332617,-193.815536,
NaN,NaN,4.200000,80.160004,94.000000,94.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.377447,-58.762589,NaN,NaN,NaN,6.452617,-193.695526,
NaN,NaN,4.320000,80.160004,94.000000,94.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.497447,-58.642586,NaN,NaN,NaN,6.572617,-193.575531,
NaN,NaN,4.440000,80.040001,93.000000,93.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.667154,-58.472878,NaN,NaN,NaN,7.586915,-192.561234,
NaN,NaN,4.560000,80.160004,93.000000,93.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.836862,-58.303173,NaN,NaN,NaN,7.756623,-192.391525,
NaN,NaN,4.680000,80.160004,92.000000,92.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.956862,-58.183170,NaN,NaN,NaN,8.763797,-191.384354,
NaN,NaN,4.800000,80.279999,91.000000,91.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.126564,-58.013470,NaN,NaN,NaN,9.778094,-190.370056,
NaN,NaN,4.920000,80.400002,91.000000,91.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.296272,-57.843761,NaN,NaN,NaN,9.947802,-190.200348,
NaN,NaN,5.040000,80.400002,91.000000,91.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.416272,-57.723763,NaN,NaN,NaN,10.067801,-190.080353,
NaN,NaN,5.160000,80.400002,91.000000,91.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.536272,-57.603764,NaN,NaN,NaN,10.187801,-189.960342,
NaN,NaN,5.280000,80.400002,91.000000,91.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.656272,-57.483761,NaN,NaN,NaN,10.307802,-189.840347,
NaN,NaN,5.400000,80.519997,92.000000,92.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.825974,-57.314060,NaN,NaN,NaN,11.322099,-188.826050,
NaN,NaN,5.520000,80.639999,92.000000,92.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.995682,-57.144352,NaN,NaN,NaN,11.491806,-188.656342,
NaN,NaN,5.640000,80.639999,92.000000,92.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,3.115681,-57.024353,NaN,NaN,NaN,11.611806,-188.536346,
NaN,NaN,5.760000,80.639999,92.000000,92.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.235682,-56.904350,NaN,NaN,NaN,11.731807,-188.416336,
NaN,NaN,5.880000,80.639999,92.000000,92.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.355682,-56.784351,NaN,NaN,NaN,11.851807,-188.296341,
NaN,NaN,6.000000,80.639999,92.000000,92.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.475682,-56.664352,NaN,NaN,NaN,11.971807,-188.176346,
NaN,NaN,6.120000,80.639999,92.000000,92.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.595681,-56.544353,NaN,NaN,NaN,12.091806,-188.056335,
