originalFile=C:MapManager:MapManagerMaps:Nancy:rr58c:raw:rr58c_s0_ch1.tif;stack=rr58c_s0;stackdb=rr58c_s0_db2;saveTime=3583986387.984000;version=20151224;numObjects=164;numSpines=110;condStr=None;pixelx=1024;pixely=1024;pixelz=120;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-11-06,08:52:15,2015-11-06,08:52:15,3529644735.732000,3529644735.733000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,52.32,74.88,100,1,,0,453,,0,,,,,,,,2015-11-18,14:59:57,2015-11-18,15:00:52,3530703597.592000,3530703652.457000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,0.6518,82.416,107,1,,0,0,0,-58.981,,,center,0,0.6,82.44,107,2015-11-18,15:00:00,2015-11-18,15:00:00,3530703600.665000,3530703600.666000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,3.1806,82.228,107,1,,0,22,2.8388,-56.142,,,center,0,3.24,82.2,107,2015-11-18,15:00:02,2015-11-18,15:00:02,3530703602.280000,3530703602.281000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,7.3952,81.011,107,1,,0,59,7.805,-51.176,,,center,0,7.44,81,107,2015-11-18,15:00:03,2015-11-18,15:00:03,3530703603.357000,3530703603.358000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,10.861,79.7,107,1,,0,90,12.031,-46.95,,,center,0,10.92,79.68,107,2015-11-18,15:00:04,2015-11-18,15:00:04,3530703604.468000,3530703604.468000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,14.794,78.482,107,1,,0,125,16.566,-42.414,,,center,0,14.76,78.48,107,2015-11-18,15:00:05,2015-11-18,15:00:05,3530703605.802000,3530703605.802000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,17.885,78.576,104,1,,0,153,20.034,-38.946,,,center,0,17.88,78.6,104,2015-11-18,15:00:09,2015-11-18,15:00:09,3530703609.357000,3530703609.358000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,22.1,78.388,104,1,,0,192,25.042,-33.939,,,center,0,22.08,78.36,104,2015-11-18,15:00:10,2015-11-18,15:00:10,3530703610.175000,3530703610.176000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,27.625,77.171,104,1,,0,239,31.258,-27.723,,,center,0,27.6,77.16,104,2015-11-18,15:00:11,2015-11-18,15:00:11,3530703611.179000,3530703611.180000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,32.496,76.89,105,1,,0,281,36.675,-22.306,,,center,0,32.52,76.92,105,2015-11-18,15:00:12,2015-11-18,15:00:12,3530703612.898000,3530703612.898000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,36.804,76.141,103,1,,0,319,41.661,-17.319,,,center,0,36.84,76.2,103,2015-11-18,15:00:14,2015-11-18,15:00:14,3530703614.887000,3530703614.888000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,39.426,75.017,101,1,,0,342,44.798,-14.182,,,center,0,39.48,75,101,2015-11-18,15:00:16,2015-11-18,15:00:16,3530703616.704000,3530703616.705000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,42.704,75.11,101,1,,0,370,48.386,-10.594,,,center,0,42.72,75.12,101,2015-11-18,15:00:17,2015-11-18,15:00:17,3530703617.670000,3530703617.671000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,46.638,74.923,101,1,,0,404,52.744,-6.2365,,,center,0,46.68,74.88,101,2015-11-18,15:00:19,2015-11-18,15:00:19,3530703619.028000,3530703619.029000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,50.853,75.391,100,1,,0,440,57.342,-1.6388,,,center,0,50.88,75.36,100,2015-11-18,15:00:20,2015-11-18,15:00:20,3530703620.918000,3530703620.919000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,53.569,74.642,100,1,,0,463,60.28,1.2994,,,center,0,53.52,74.64,100,2015-11-18,15:00:21,2015-11-18,15:00:21,3530703621.941000,3530703621.942000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,56.528,75.672,99,1,,0,489,63.727,4.7468,,,center,0,56.52,75.72,99,2015-11-18,15:00:26,2015-11-18,15:00:26,3530703626.026000,3530703626.026000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,59.713,77.264,99,1,,0,519,67.754,8.7735,,,center,0,59.76,77.28,99,2015-11-18,15:00:27,2015-11-18,15:00:27,3530703627.046000,3530703627.047000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,63.459,78.576,99,1,,0,551,72.021,13.04,,,center,0,63.48,78.6,99,2015-11-18,15:00:28,2015-11-18,15:00:28,3530703628.011000,3530703628.012000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
