originalFile=NGDG450-SCx-NG2-dnGluA2-roi1-zs-dps76-zm-2_ch1;stack=BD_NGDG450_s17;stackdb=BD_NGDG450_s17_db2;saveTime=3585745925.947000;version=20151224;numObjects=104;numSpines=0;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.25946;voxely=0.25946;voxelz=3;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,56.597,163.64,33,1,,NaN,,,,,,,,,,,2017-06-22,11:04:59,2017-06-22,11:04:59,3580974299.427000,3580974299.427000,Default User,,,,,,,,,,,,,,,,,,,,,,,,,
1,otherROI,4,33.522,26.792,30,1,,NaN,,,,,,,,,,,2017-06-26,14:37:40,2017-08-16,15:29:03,3581332660.631000,3585742143.676000,Default User,,,,1,,,,0,,,,,,3,,,,,,3,,,,,
2,otherROI,4,54.674,123.58,28,1,,NaN,,,,,,,,,,,2017-06-26,14:37:43,2017-08-16,15:29:03,3581332663.815000,3585742143.676000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
3,otherROI,4,156.27,129.35,29,1,,NaN,,,,,,,,,,,2017-06-26,14:37:46,2017-08-16,15:29:03,3581332666.315000,3585742143.676000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
4,otherROI,4,56.597,163.64,33,1,,NaN,,,,,,,,,,,2017-06-26,14:37:53,2017-08-16,15:29:03,3581332673.275000,3585742143.676000,Default User,,,,1,,,,0,,,,,,3,,,0,,,3,,,,,
5,otherROI,4,77.75,165.24,37,1,,NaN,,,,,,,,,,,2017-06-26,14:37:56,2017-08-16,15:29:03,3581332676.870000,3585742143.677000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
6,otherROI,4,83.839,21.664,32,1,,NaN,,,,,,,,,,,2017-06-26,14:38:02,2017-08-16,15:29:03,3581332682.911000,3585742143.677000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
7,otherROI,4,261.39,82.236,37,1,,NaN,,,,,,,,,,,2017-06-26,14:41:31,2017-08-16,15:29:03,3581332891.943000,3585742143.677000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
8,otherROI,4,241.2,125.82,37,1,,NaN,,,,,,,,,,,2017-06-26,14:41:34,2017-08-16,15:29:03,3581332894.028000,3585742143.677000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
9,otherROI,4,117.49,97.941,50,1,,NaN,,,,,,,,,,,2017-06-26,14:41:46,2017-08-16,15:29:03,3581332906.682000,3585742143.677000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
10,otherROI,4,81.595,32.56,50,1,,NaN,,,,,,,,,,,2017-06-26,14:41:50,2017-08-16,15:29:03,3581332910.619000,3585742143.677000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
11,otherROI,4,141.21,91.21,59,1,,NaN,,,,,,,,,,,2017-06-26,14:41:55,2017-08-16,15:29:03,3581332915.811000,3585742143.678000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
12,otherROI,4,243.12,97.3,66,1,,NaN,,,,,,,,,,,2017-06-26,14:42:00,2017-08-16,15:29:03,3581332920.059000,3585742143.678000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
13,otherROI,4,149.86,159.47,49,1,,NaN,,,,,,,,,,,2017-06-26,14:42:10,2017-08-16,15:29:03,3581332930.277000,3585742143.678000,Default User,,,,1,,,,0,,,,,,1,,,,,,1,,,,,
14,otherROI,4,132.87,173.9,53,1,,NaN,,,,,,,,,,,2017-06-26,14:42:15,2017-08-16,15:29:03,3581332935.278000,3585742143.678000,Default User,,,,1,,,,0,,,,,,3,,,,,,3,,,,,
15,otherROI,4,137.04,158.83,75,1,,NaN,,,,,,,,,,,2017-06-26,14:42:34,2017-08-16,15:29:03,3581332954.496000,3585742143.678000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
16,otherROI,4,151.14,130.31,100,1,,NaN,,,,,,,,,,,2017-06-26,14:42:53,2017-08-16,15:29:03,3581332973.652000,3585742143.678000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
17,otherROI,4,93.454,60.443,96,1,,NaN,,,,,,,,,,,2017-06-26,14:42:55,2017-08-16,15:29:03,3581332975.635000,3585742143.679000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
18,otherROI,4,76.468,72.301,95,1,,NaN,,,,,,,,,,,2017-06-26,14:42:59,2017-08-16,15:29:03,3581332979.739000,3585742143.679000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
19,otherROI,4,59.482,37.688,85,1,,NaN,,,,,,,,,,,2017-06-26,14:43:02,2017-08-16,15:29:03,3581332982.699000,3585742143.679000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
20,otherROI,4,94.415,90.89,82,1,,NaN,,,,,,,,,,,2017-06-26,14:43:06,2017-08-16,15:29:03,3581332986.521000,3585742143.679000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
21,otherROI,4,158.51,15.254,82,1,,NaN,,,,,,,,,,,2017-06-26,14:43:10,2017-08-16,15:29:03,3581332990.863000,3585742143.679000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
