originalFile=NGDG450-SCx-NG2-dnGluA2-roi1-zs-dps-82-zm-2_ch1;stack=BD_NGDG450_s19;stackdb=BD_NGDG450_s19_db2;saveTime=3585745926.080000;version=20151224;numObjects=102;numSpines=0;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.25946;voxely=0.25946;voxelz=3;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,52.424,165.97,33,1,,NaN,,,,,,,,,,,2017-06-22,11:05:06,2017-06-22,11:05:06,3580974306.760000,3580974306.761000,Default User,,,,,,,,,,,,,,,,,,,,,,,,,
1,otherROI,4,257.12,81.945,35,1,,NaN,,,,,,,,,,,2017-06-26,15:21:37,2017-08-16,15:29:03,3581335297.992000,3585742143.711000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
2,otherROI,4,236.69,126.39,35,1,,NaN,,,,,,,,,,,2017-06-26,15:21:39,2017-08-16,15:29:03,3581335299.176000,3585742143.711000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
3,otherROI,4,153.64,129.63,31,1,,NaN,,,,,,,,,,,2017-06-26,15:21:52,2017-08-16,15:29:03,3581335312.018000,3585742143.711000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
4,otherROI,4,78.7,99.138,33,1,,NaN,,,,,,,,,,,2017-06-26,15:21:58,2017-08-16,15:29:03,3581335318.892000,3585742143.711000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
5,otherROI,4,31.013,26.796,30,1,,NaN,,,,,,,,,,,2017-06-26,15:22:02,2017-08-16,15:29:03,3581335322.238000,3585742143.711000,Default User,,,,1,,,,0,,,,,,3,,,,,,3,,,,,
6,otherROI,4,53.397,112.76,30,1,,NaN,,,,,,,,,,,2017-06-26,15:22:04,2017-08-16,15:29:03,3581335324.298000,3585742143.712000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
7,otherROI,4,78.7,163.69,35,1,,NaN,,,,,,,,,,,2017-06-26,15:22:09,2017-08-16,15:29:03,3581335329.309000,3585742143.712000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
8,otherROI,4,52.424,165.97,33,1,,NaN,,,,,,,,,,,2017-06-26,15:22:10,2017-08-16,15:29:03,3581335330.718000,3585742143.712000,Default User,,,,1,,,,0,,,,,,3,,,1,,,3,,,,,
9,otherROI,4,214.3,201.33,27,1,,NaN,,,,,,,,,,,2017-06-26,15:22:22,2017-08-16,15:29:03,3581335342.798000,3585742143.712000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
11,otherROI,4,116.66,101.73,51,1,,NaN,,,,,,,,,,,2017-06-26,15:22:58,2017-08-16,15:29:03,3581335378.738000,3585742143.712000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
12,otherROI,4,140.99,94.921,59,1,,NaN,,,,,,,,,,,2017-06-26,15:23:01,2017-08-16,15:29:03,3581335381.491000,3585742143.712000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
13,otherROI,4,244.8,97.516,62,1,,NaN,,,,,,,,,,,2017-06-26,15:23:05,2017-08-16,15:29:03,3581335385.869000,3585742143.713000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
14,otherROI,4,83.242,31.662,52,1,,NaN,,,,,,,,,,,2017-06-26,15:23:08,2017-08-16,15:29:03,3581335388.701000,3585742143.713000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
15,otherROI,4,159.8,18.686,81,1,,NaN,,,,,,,,,,,2017-06-26,15:23:17,2017-08-16,15:29:03,3581335397.956000,3585742143.713000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
16,otherROI,4,257.45,93.947,81,1,,NaN,,,,,,,,,,,2017-06-26,15:23:19,2017-08-16,15:29:03,3581335399.613000,3585742143.713000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
17,otherROI,4,94.272,100.44,80,1,,NaN,,,,,,,,,,,2017-06-26,15:23:21,2017-08-16,15:29:03,3581335401.459000,3585742143.713000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
19,otherROI,4,96.867,63.778,96,1,,NaN,,,,,,,,,,,2017-06-26,15:24:00,2017-08-16,15:29:03,3581335440.276000,3585742143.713000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
20,otherROI,4,154.94,134.17,99,1,,NaN,,,,,,,,,,,2017-06-26,15:24:02,2017-08-16,15:29:03,3581335442.739000,3585742143.714000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
21,otherROI,4,203.27,31.013,101,1,,NaN,,,,,,,,,,,2017-06-26,15:24:05,2017-08-16,15:29:03,3581335445.116000,3585742143.714000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
22,otherROI,4,140.01,12.522,105,1,,NaN,,,,,,,,,,,2017-06-26,15:24:07,2017-08-16,15:29:03,3581335447.371000,3585742143.714000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
23,otherROI,4,151.69,84.215,111,1,,NaN,,,,,,,,,,,2017-06-26,15:24:09,2017-08-16,15:29:03,3581335449.508000,3585742143.714000,Default User,,,,,,,,0,,,,,,1,,,,,,1,,,,,
24,otherROI,4,244.47,133.52,108,1,,NaN,,,,,,,,,,,2017-06-26,15:24:13,2017-08-16,15:29:03,3581335453.804000,3585742143.714000,Default User,,,,,,,,0,,,,,,3,,,,,,3,,,,,
