stack=F27A_1_s6;stackdb=F27A_1_s6_db2;saveTime=3544528990.246000;version=20151224;numHeaderRow=6;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,576,577,75.5,0,0.3,62,0,0,,,,
,1,1,NaN,577,950,374,43.1,0,0.3,62,0,0,,,,
,2,2,NaN,951,1208,258,36.4,0,0.3,62,0,0,,,,
,3,3,NaN,1209,1467,259,30.1,0,0.3,62,0,0,,,,
,4,4,NaN,1468,1904,437,51,0,0.3,62,0,0,,,,
,5,5,NaN,1905,2045,141,19.5,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID,
NaN,NaN,32.939999,43.091999,35.000000,35.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,
NaN,NaN,33.048000,42.984001,35.000000,35.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.152735,0.152735,0.152735,0.152735,NaN,NaN,NaN,
NaN,NaN,33.155998,42.984001,35.000000,35.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.260733,0.260733,0.260733,0.260733,NaN,NaN,NaN,
NaN,NaN,33.264000,42.875999,35.000000,35.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.413470,0.413470,0.413470,0.413470,NaN,NaN,NaN,
NaN,NaN,33.372002,42.875999,35.000000,35.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.521472,0.521472,0.521472,0.521472,NaN,NaN,NaN,
NaN,NaN,33.480000,42.875999,35.000000,35.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.629470,0.629470,0.629470,0.629470,NaN,NaN,NaN,
NaN,NaN,33.588001,42.875999,35.000000,35.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.737471,0.737471,0.737471,0.737471,NaN,NaN,NaN,
NaN,NaN,33.695999,42.875999,35.000000,35.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.845469,0.845469,0.845469,0.845469,NaN,NaN,NaN,
NaN,NaN,33.804001,42.768002,35.000000,35.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.998204,0.998204,0.998204,0.998204,NaN,NaN,NaN,
NaN,NaN,33.911999,42.660000,35.000000,35.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.150939,1.150939,1.150939,1.150939,NaN,NaN,NaN,
NaN,NaN,34.020000,42.551998,35.000000,35.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.303676,1.303676,1.303676,1.303676,NaN,NaN,NaN,
NaN,NaN,34.127998,42.551998,35.000000,35.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.411674,1.411674,1.411674,1.411674,NaN,NaN,NaN,
NaN,NaN,34.236000,42.551998,35.000000,35.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.519676,1.519676,1.519676,1.519676,NaN,NaN,NaN,
