stack=F27A_1_s7;stackdb=F27A_1_s7_db2;saveTime=3544528990.837000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,577,578,76.6,15,0.3,62,0,0,,,,
,1,1,NaN,578,883,306,35.7,8,0.3,62,0,0,,,,
,2,2,NaN,884,1140,257,36.6,12,0.3,62,0,0,,,,
,3,3,NaN,1141,1422,282,33.5,10,0.3,62,0,0,,,,
,4,4,NaN,1423,1845,423,49.1,11,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID,
NaN,NaN,31.212000,44.928001,32.000000,32.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-38.079487,-49.322590,NaN,NaN,NaN,
NaN,NaN,31.320000,44.820000,32.000000,32.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.152736,0.152736,-37.926750,-49.169853,NaN,NaN,NaN,
NaN,NaN,31.427999,44.712002,32.000000,32.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.305470,0.305470,-37.774017,-49.017120,NaN,NaN,NaN,
NaN,NaN,31.535999,44.604000,32.000000,32.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.458206,0.458206,-37.621281,-48.864384,NaN,NaN,NaN,
NaN,NaN,31.643999,44.495998,32.000000,32.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.610942,0.610942,-37.468544,-48.711647,NaN,NaN,NaN,
NaN,NaN,31.752001,44.495998,32.000000,32.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.718944,0.718944,-37.360542,-48.603645,NaN,NaN,NaN,
NaN,NaN,31.860001,44.495998,32.000000,32.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.826943,0.826943,-37.252544,-48.495647,NaN,NaN,NaN,
NaN,NaN,31.968000,44.495998,32.000000,32.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.934943,0.934943,-37.144543,-48.387646,NaN,NaN,NaN,
NaN,NaN,32.076000,44.495998,32.000000,32.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.042943,1.042943,-37.036545,-48.279648,NaN,NaN,NaN,
NaN,NaN,32.183998,44.495998,32.000000,32.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.150941,1.150941,-36.928547,-48.171650,NaN,NaN,NaN,
NaN,NaN,32.292000,44.388000,32.000000,32.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.303676,1.303676,-36.775810,-48.018913,NaN,NaN,NaN,
NaN,NaN,32.400002,44.279999,32.000000,32.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.456413,1.456413,-36.623074,-47.866177,NaN,NaN,NaN,
NaN,NaN,32.507999,44.279999,32.000000,32.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.564411,1.564411,-36.515076,-47.758179,NaN,NaN,NaN,
NaN,NaN,32.616001,44.172001,32.000000,32.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.717146,1.717146,-36.362343,-47.605446,NaN,NaN,NaN,
NaN,NaN,32.723999,44.063999,32.000000,32.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.869881,1.869881,-36.209606,-47.452709,NaN,NaN,NaN,
NaN,NaN,32.832001,44.063999,32.000000,32.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.977882,1.977882,-36.101604,-47.344707,NaN,NaN,NaN,
NaN,NaN,32.939999,43.956001,32.000000,32.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.130614,2.130614,-35.948872,-47.191975,NaN,NaN,NaN,
NaN,NaN,33.048000,43.956001,32.000000,32.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.238616,2.238616,-35.840870,-47.083973,NaN,NaN,NaN,
NaN,NaN,33.155998,43.848000,32.000000,32.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.391351,2.391351,-35.688137,-46.931240,NaN,NaN,NaN,
NaN,NaN,33.264000,43.848000,32.000000,32.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.499352,2.499352,-35.580135,-46.823238,NaN,NaN,NaN,
NaN,NaN,33.372002,43.848000,32.000000,32.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.607354,2.607354,-35.472134,-46.715237,NaN,NaN,NaN,
NaN,NaN,33.480000,43.848000,32.000000,32.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.715352,2.715352,-35.364136,-46.607239,NaN,NaN,NaN,
NaN,NaN,33.588001,43.740002,32.000000,32.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,2.868087,2.868087,-35.211399,-46.454502,NaN,NaN,NaN,
NaN,NaN,33.695999,43.632000,32.000000,32.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.020822,3.020822,-35.058666,-46.301769,NaN,NaN,NaN,
NaN,NaN,33.804001,43.632000,32.000000,32.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.128824,3.128824,-34.950665,-46.193768,NaN,NaN,NaN,
NaN,NaN,33.911999,43.523998,32.000000,32.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.281558,3.281558,-34.797928,-46.041031,NaN,NaN,NaN,
NaN,NaN,34.020000,43.416000,32.000000,32.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.434293,3.434293,-34.645195,-45.888298,NaN,NaN,NaN,
NaN,NaN,34.127998,43.416000,32.000000,32.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.542291,3.542291,-34.537197,-45.780300,NaN,NaN,NaN,
NaN,NaN,34.236000,43.307999,32.000000,32.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.695028,3.695028,-34.384460,-45.627563,NaN,NaN,NaN,
NaN,NaN,34.344002,43.200001,32.000000,32.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.847763,3.847763,-34.231724,-45.474827,NaN,NaN,NaN,
NaN,NaN,34.452000,43.091999,32.000000,32.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,4.000498,4.000498,-34.078987,-45.322090,NaN,NaN,NaN,
NaN,NaN,34.560001,42.984001,32.000000,32.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.153233,4.153233,-33.926254,-45.169357,NaN,NaN,NaN,
NaN,NaN,34.667999,42.984001,32.000000,32.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.261230,4.261230,-33.818256,-45.061359,NaN,NaN,NaN,
NaN,NaN,34.776001,42.984001,32.000000,32.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.369232,4.369232,-33.710255,-44.953358,NaN,NaN,NaN,
NaN,NaN,34.883999,42.984001,32.000000,32.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.477230,4.477230,-33.602257,-44.845360,NaN,NaN,NaN,
NaN,NaN,34.992001,42.875999,32.000000,32.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.629968,4.629968,-33.449520,-44.692623,NaN,NaN,NaN,
NaN,NaN,35.099998,42.768002,32.000000,32.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.782700,4.782700,-33.296787,-44.539890,NaN,NaN,NaN,
NaN,NaN,35.208000,42.768002,32.000000,32.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.890701,4.890701,-33.188786,-44.431889,NaN,NaN,NaN,
NaN,NaN,35.316002,42.768002,32.000000,32.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,4.998703,4.998703,-33.080784,-44.323887,NaN,NaN,NaN,
NaN,NaN,35.424000,42.768002,32.000000,32.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,5.106701,5.106701,-32.972786,-44.215889,NaN,NaN,NaN,
NaN,NaN,35.532001,42.660000,32.000000,32.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.259439,5.259439,-32.820049,-44.063152,NaN,NaN,NaN,
NaN,NaN,35.639999,42.660000,32.000000,32.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.367436,5.367436,-32.712051,-43.955154,NaN,NaN,NaN,
NaN,NaN,35.748001,42.660000,32.000000,32.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,5.475438,5.475438,-32.604050,-43.847153,NaN,NaN,NaN,
NaN,NaN,35.855999,42.660000,32.000000,32.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,5.583436,5.583436,-32.496052,-43.739155,NaN,NaN,NaN,
NaN,NaN,35.964001,42.660000,32.000000,32.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,5.691438,5.691438,-32.388050,-43.631153,NaN,NaN,NaN,
NaN,NaN,36.071999,42.660000,32.000000,32.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,5.799436,5.799436,-32.280052,-43.523155,NaN,NaN,NaN,
NaN,NaN,36.180000,42.660000,32.000000,32.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,5.907437,5.907437,-32.172050,-43.415154,NaN,NaN,NaN,
NaN,NaN,36.287998,42.660000,32.000000,32.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,6.015435,6.015435,-32.064053,-43.307156,NaN,NaN,NaN,
NaN,NaN,36.396000,42.660000,32.000000,32.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,6.123437,6.123437,-31.956051,-43.199154,NaN,NaN,NaN,
NaN,NaN,36.504002,42.551998,32.000000,32.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,6.276175,6.276175,-31.803312,-43.046417,NaN,NaN,NaN,
NaN,NaN,36.612000,42.444000,32.000000,32.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,6.428906,6.428906,-31.650581,-42.893684,NaN,NaN,NaN,
NaN,NaN,36.720001,42.444000,32.000000,32.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,6.536908,6.536908,-31.542580,-42.785683,NaN,NaN,NaN,
NaN,NaN,36.827999,42.444000,32.000000,32.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,6.644906,6.644906,-31.434582,-42.677685,NaN,NaN,NaN,
NaN,NaN,36.936001,42.444000,32.000000,32.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,6.752908,6.752908,-31.326580,-42.569683,NaN,NaN,NaN,
NaN,NaN,37.043999,42.444000,32.000000,32.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,6.860906,6.860906,-31.218582,-42.461685,NaN,NaN,NaN,
NaN,NaN,37.152000,42.335999,32.000000,32.000000,NaN,NaN,54.000000,0.000000,NaN,NaN,NaN,NaN,7.013643,7.013643,-31.065844,-42.308945,NaN,NaN,NaN,
NaN,NaN,37.259998,42.228001,32.000000,32.000000,NaN,NaN,55.000000,0.000000,NaN,NaN,NaN,NaN,7.166375,7.166375,-30.913113,-42.156216,NaN,NaN,NaN,
NaN,NaN,37.368000,42.119999,32.000000,32.000000,NaN,NaN,56.000000,0.000000,NaN,NaN,NaN,NaN,7.319113,7.319113,-30.760374,-42.003479,NaN,NaN,NaN,
NaN,NaN,37.368000,42.119999,32.000000,32.000000,NaN,NaN,57.000000,0.000000,NaN,NaN,NaN,NaN,7.319113,7.319113,-30.760374,-42.003479,NaN,NaN,NaN,
NaN,NaN,37.476002,42.119999,33.000000,33.000000,NaN,NaN,58.000000,0.000000,NaN,NaN,NaN,NaN,7.427114,8.324928,-30.652372,-40.997662,NaN,NaN,NaN,
NaN,NaN,37.584000,42.012001,33.000000,33.000000,NaN,NaN,59.000000,0.000000,NaN,NaN,NaN,NaN,7.579847,8.477660,-30.499640,-40.844929,NaN,NaN,NaN,
NaN,NaN,37.692001,41.903999,33.000000,33.000000,NaN,NaN,60.000000,0.000000,NaN,NaN,NaN,NaN,7.732584,8.630398,-30.346903,-40.692192,NaN,NaN,NaN,
NaN,NaN,37.799999,41.796001,33.000000,33.000000,NaN,NaN,61.000000,0.000000,NaN,NaN,NaN,NaN,7.885316,8.783130,-30.194170,-40.539459,NaN,NaN,NaN,
NaN,NaN,37.908001,41.688000,33.000000,33.000000,NaN,NaN,62.000000,0.000000,NaN,NaN,NaN,NaN,8.038054,8.935867,-30.041433,-40.386723,NaN,NaN,NaN,
NaN,NaN,38.015999,41.580002,33.000000,33.000000,NaN,NaN,63.000000,0.000000,NaN,NaN,NaN,NaN,8.190785,9.088599,-29.888702,-40.233990,NaN,NaN,NaN,
NaN,NaN,38.124001,41.472000,33.000000,33.000000,NaN,NaN,64.000000,0.000000,NaN,NaN,NaN,NaN,8.343523,9.241337,-29.735964,-40.081253,NaN,NaN,NaN,
NaN,NaN,38.231998,41.363998,33.000000,33.000000,NaN,NaN,65.000000,0.000000,NaN,NaN,NaN,NaN,8.496258,9.394072,-29.583229,-39.928520,NaN,NaN,NaN,
NaN,NaN,38.340000,41.256001,33.000000,33.000000,NaN,NaN,66.000000,0.000000,NaN,NaN,NaN,NaN,8.648993,9.546806,-29.430494,-39.775784,NaN,NaN,NaN,
NaN,NaN,38.448002,41.147999,33.000000,33.000000,NaN,NaN,67.000000,0.000000,NaN,NaN,NaN,NaN,8.801730,9.699544,-29.277756,-39.623047,NaN,NaN,NaN,
NaN,NaN,38.556000,41.040001,33.000000,33.000000,NaN,NaN,68.000000,0.000000,NaN,NaN,NaN,NaN,8.954462,9.852276,-29.125025,-39.470314,NaN,NaN,NaN,
NaN,NaN,38.664001,40.931999,33.000000,33.000000,NaN,NaN,69.000000,0.000000,NaN,NaN,NaN,NaN,9.107200,10.005013,-28.972286,-39.317577,NaN,NaN,NaN,
NaN,NaN,38.664001,40.824001,33.000000,33.000000,NaN,NaN,70.000000,0.000000,NaN,NaN,NaN,NaN,9.215198,10.113011,-28.864288,-39.209579,NaN,NaN,NaN,
NaN,NaN,38.771999,40.716000,33.000000,33.000000,NaN,NaN,71.000000,0.000000,NaN,NaN,NaN,NaN,9.367932,10.265746,-28.711555,-39.056843,NaN,NaN,NaN,
NaN,NaN,38.880001,40.608002,33.000000,33.000000,NaN,NaN,72.000000,0.000000,NaN,NaN,NaN,NaN,9.520667,10.418481,-28.558819,-38.904110,NaN,NaN,NaN,
NaN,NaN,38.880001,40.500000,33.000000,33.000000,NaN,NaN,73.000000,0.000000,NaN,NaN,NaN,NaN,9.628669,10.526483,-28.450817,-38.796108,NaN,NaN,NaN,
NaN,NaN,38.880001,40.391998,33.000000,33.000000,NaN,NaN,74.000000,0.000000,NaN,NaN,NaN,NaN,9.736670,10.634484,-28.342815,-38.688107,NaN,NaN,NaN,
NaN,NaN,38.987999,40.284000,33.000000,33.000000,NaN,NaN,75.000000,0.000000,NaN,NaN,NaN,NaN,9.889402,10.787216,-28.190084,-38.535374,NaN,NaN,NaN,
NaN,NaN,39.096001,40.175999,33.000000,33.000000,NaN,NaN,76.000000,0.000000,NaN,NaN,NaN,NaN,10.042140,10.939954,-28.037346,-38.382637,NaN,NaN,NaN,
NaN,NaN,39.203999,40.068001,33.000000,33.000000,NaN,NaN,77.000000,0.000000,NaN,NaN,NaN,NaN,10.194873,11.092686,-27.884613,-38.229904,NaN,NaN,NaN,
NaN,NaN,39.312000,39.959999,33.000000,33.000000,NaN,NaN,78.000000,0.000000,NaN,NaN,NaN,NaN,10.347610,11.245423,-27.731876,-38.077168,NaN,NaN,NaN,
NaN,NaN,39.419998,39.852001,33.000000,33.000000,NaN,NaN,79.000000,0.000000,NaN,NaN,NaN,NaN,10.500342,11.398155,-27.579144,-37.924435,NaN,NaN,NaN,
NaN,NaN,39.528000,39.743999,33.000000,33.000000,NaN,NaN,80.000000,0.000000,NaN,NaN,NaN,NaN,10.653079,11.550893,-27.426407,-37.771698,NaN,NaN,NaN,
NaN,NaN,39.636002,39.636002,33.000000,33.000000,NaN,NaN,81.000000,0.000000,NaN,NaN,NaN,NaN,10.805814,11.703628,-27.273674,-37.618961,NaN,NaN,NaN,
NaN,NaN,39.743999,39.528000,32.000000,32.000000,NaN,NaN,82.000000,0.000000,NaN,NaN,NaN,NaN,10.958549,12.715224,-27.120937,-36.607365,NaN,NaN,NaN,
NaN,NaN,39.852001,39.419998,32.000000,32.000000,NaN,NaN,83.000000,0.000000,NaN,NaN,NaN,NaN,11.111286,12.867962,-26.968201,-36.454628,NaN,NaN,NaN,
NaN,NaN,39.959999,39.312000,32.000000,32.000000,NaN,NaN,84.000000,0.000000,NaN,NaN,NaN,NaN,11.264019,13.020694,-26.815468,-36.301895,NaN,NaN,NaN,
NaN,NaN,40.068001,39.203999,33.000000,33.000000,NaN,NaN,85.000000,0.000000,NaN,NaN,NaN,NaN,11.416756,14.032291,-26.662731,-35.290298,NaN,NaN,NaN,
NaN,NaN,40.068001,39.096001,33.000000,33.000000,NaN,NaN,86.000000,0.000000,NaN,NaN,NaN,NaN,11.524754,14.140289,-26.554733,-35.182301,NaN,NaN,NaN,
