stack=F27A_1_s5;stackdb=F27A_1_s5_db2;saveTime=3544528989.601000;version=20151224;numObjects=109;numSpines=68;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2016-03-28,14:53:21,2016-03-28,14:53:21,3542021601.514000,3542021601.514000,ZY,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,88.236,37.044,28,1,,0,0,,,,,,,,,,2016-04-04,13:42:12,2016-04-04,13:43:21,3542622132.959000,3542622201.923000,ZY,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,88.211,37.059,28,1,,0,0,0,0,,,center,0,88.236,37.044,28,2016-04-04,13:42:16,2016-04-04,13:42:16,3542622136.977000,3542622136.978000,ZY,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,81.51,34.9,27,1,,0,62,7.5907,7.5907,,,center,0,81.54,34.884,27,2016-04-04,13:42:20,2016-04-04,13:42:20,3542622140.783000,3542622140.784000,ZY,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,78.874,34.227,26,1,,0,88,10.559,10.559,,,center,0,78.84,34.236,26,2016-04-04,13:42:22,2016-04-04,13:42:22,3542622142.687000,3542622142.688000,ZY,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,76.939,33.975,26,1,,0,107,12.682,12.682,,,center,0,76.896,34.02,26,2016-04-04,13:42:25,2016-04-04,13:42:25,3542622145.268000,3542622145.269000,ZY,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,69.705,32.629,26,1,,0,175,20.5,20.5,,,center,0,69.66,32.616,26,2016-04-04,13:42:28,2016-04-04,13:42:28,3542622148.275000,3542622148.275000,ZY,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,59.079,28.732,25,1,,0,274,32.784,32.784,,,center,0,59.076,28.728,25,2016-04-04,13:42:31,2016-04-04,13:42:31,3542622151.769000,3542622151.770000,ZY,,,,,,,,0,,,,,,,,,,,,,,,,,
8,pivotPnt,3,108.65,187.49,21,1,,1,275,,,,,,,,,,2016-04-04,13:44:10,2016-04-04,13:45:01,3542622250.671000,3542622301.208000,ZY,,,,,,,,,,,,,,,,,,,,,,,,,
9,controlPnt,2,108.62,187.54,21,1,,1,275,0,0,,,center,0,108.65,187.49,21,2016-04-04,13:44:15,2016-04-04,13:44:15,3542622255.389000,3542622255.389000,ZY,,,,,,,,0,,,,,,,,,,,,,,,,,
