stack=THet2a_s13;stackdb=THet2a_s13_db2;saveTime=3577359595.571000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,731,732,90,0,0.3,62,0,0,,,,
,1,1,NaN,732,1748,1017,131.4,29,0.3,62,0,0,,,,
,2,2,NaN,1749,2551,803,94,27,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,45.576000,94.608002,10.000000,10.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-29.838154,-50.797428,NaN,NaN,NaN,
NaN,NaN,45.576000,94.391998,11.000000,11.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.216003,0.865738,-29.622150,-49.931690,NaN,NaN,NaN,
NaN,NaN,45.576000,94.176003,11.000000,11.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.431999,1.081734,-29.406155,-49.715694,NaN,NaN,NaN,
NaN,NaN,45.576000,94.068001,11.000000,11.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.540001,1.189736,-29.298153,-49.607693,NaN,NaN,NaN,
NaN,NaN,45.576000,93.959999,11.000000,11.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.648003,1.297737,-29.190151,-49.499691,NaN,NaN,NaN,
NaN,NaN,45.576000,93.851997,11.000000,11.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.756004,1.405739,-29.082150,-49.391689,NaN,NaN,NaN,
NaN,NaN,45.683998,93.744003,11.000000,11.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.908734,1.558468,-28.929420,-49.238960,NaN,NaN,NaN,
NaN,NaN,45.683998,93.636002,11.000000,11.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.016735,1.666470,-28.821419,-49.130959,NaN,NaN,NaN,
NaN,NaN,45.683998,93.528000,11.000000,11.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.124737,1.774472,-28.713417,-49.022957,NaN,NaN,NaN,
NaN,NaN,45.683998,93.419998,11.000000,11.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.232739,1.882473,-28.605415,-48.914955,NaN,NaN,NaN,
