stack=THet2a_s2;stackdb=THet2a_s2_db2;saveTime=3574342122.333000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,739,740,91.1,29,0.3,62,0,0,,,,
,1,1,NaN,740,1587,848,114.5,0,0.3,62,0,0,,,,
,2,2,NaN,1588,2391,804,94.7,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID,
NaN,NaN,46.764000,96.012001,14.000000,14.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-31.052359,-35.340977,NaN,NaN,NaN,
NaN,NaN,46.764000,95.795998,14.000000,14.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.216003,0.216003,-30.836355,-35.124973,NaN,NaN,NaN,
NaN,NaN,46.980000,95.580002,15.000000,15.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.521470,1.134132,-30.530888,-34.206844,NaN,NaN,NaN,
NaN,NaN,47.088001,95.472000,16.000000,16.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.674208,1.899526,-30.378151,-33.441452,NaN,NaN,NaN,
NaN,NaN,47.195999,95.363998,16.000000,16.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.826943,2.052261,-30.225416,-33.288715,NaN,NaN,NaN,
NaN,NaN,47.304001,95.255997,16.000000,16.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.979680,2.204998,-30.072678,-33.135979,NaN,NaN,NaN,
NaN,NaN,47.304001,95.148003,16.000000,16.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.087674,2.312993,-29.964684,-33.027985,NaN,NaN,NaN,
NaN,NaN,47.304001,95.040001,16.000000,16.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.195676,2.420994,-29.856682,-32.919983,NaN,NaN,NaN,
NaN,NaN,47.411999,94.931999,16.000000,16.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.348411,2.573729,-29.703949,-32.767246,NaN,NaN,NaN,
NaN,NaN,47.520000,94.823997,16.000000,16.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.501148,2.726466,-29.551210,-32.614510,NaN,NaN,NaN,
