stack=THet2a_s3;stackdb=THet2a_s3_db2;saveTime=3574339836.229000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,741,742,92.7,27,0.3,62,0,0,,,,
,1,1,NaN,742,1683,942,125.6,0,0.3,62,0,0,,,,
,2,2,NaN,1684,2455,772,90,8,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID,
NaN,NaN,44.820000,98.820000,9.000000,9.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-33.451389,-43.977825,NaN,NaN,NaN,
NaN,NaN,44.820000,98.603996,9.000000,9.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.216003,0.216003,-33.235386,-43.761822,NaN,NaN,NaN,
NaN,NaN,44.820000,98.388000,9.000000,9.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.431999,0.431999,-33.019390,-43.545826,NaN,NaN,NaN,
NaN,NaN,44.820000,98.279999,9.000000,9.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.540001,0.540001,-32.911388,-43.437824,NaN,NaN,NaN,
NaN,NaN,44.928001,98.171997,9.000000,9.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.692738,0.692738,-32.758652,-43.285088,NaN,NaN,NaN,
NaN,NaN,45.035999,98.064003,9.000000,9.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.845468,0.845468,-32.605923,-43.132359,NaN,NaN,NaN,
NaN,NaN,45.144001,97.956001,10.000000,10.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.998205,1.610862,-32.453182,-42.366962,NaN,NaN,NaN,
NaN,NaN,45.251999,97.848000,10.000000,10.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.150940,1.763597,-32.300449,-42.214230,NaN,NaN,NaN,
NaN,NaN,45.360001,97.739998,10.000000,10.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.303678,1.916335,-32.147713,-42.061489,NaN,NaN,NaN,
NaN,NaN,45.467999,97.632004,11.000000,11.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.456407,2.681727,-31.994982,-41.296097,NaN,NaN,NaN,
