stack=THet2a_s7;stackdb=THet2a_s7_db2;saveTime=3574335448.379000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,687,688,86.8,17,0.3,62,0,0,,,,
,1,1,NaN,688,1657,970,129.2,0,0.3,62,0,0,,,,
,2,2,NaN,1658,2459,802,93.8,0,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,40.500000,97.956001,9.000000,9.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-31.328442,-43.766998,NaN,NaN,NaN,
NaN,NaN,40.608002,97.739998,9.000000,9.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.260739,0.260739,-31.067703,-43.506260,NaN,NaN,NaN,
NaN,NaN,40.824001,97.524002,10.000000,10.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.566206,1.178863,-30.762236,-42.588135,NaN,NaN,NaN,
NaN,NaN,40.931999,97.416000,11.000000,11.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.718941,1.944257,-30.609501,-41.822742,NaN,NaN,NaN,
NaN,NaN,41.040001,97.307999,11.000000,11.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.871678,2.096995,-30.456764,-41.670002,NaN,NaN,NaN,
NaN,NaN,41.040001,97.199997,11.000000,11.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.979680,2.204996,-30.348763,-41.562000,NaN,NaN,NaN,
NaN,NaN,41.147999,97.092003,11.000000,11.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.132409,2.357726,-30.196032,-41.409271,NaN,NaN,NaN,
NaN,NaN,41.147999,96.984001,11.000000,11.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.240411,2.465727,-30.088030,-41.301270,NaN,NaN,NaN,
NaN,NaN,41.256001,96.875999,12.000000,12.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.393149,3.231122,-29.935293,-40.535877,NaN,NaN,NaN,
NaN,NaN,41.256001,96.767998,11.000000,11.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.501150,3.988858,-29.827291,-39.778141,NaN,NaN,NaN,
NaN,NaN,41.256001,96.660004,10.000000,10.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.609144,4.746593,-29.719297,-39.020405,NaN,NaN,NaN,
NaN,NaN,41.256001,96.552002,10.000000,10.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.717146,4.854595,-29.611296,-38.912403,NaN,NaN,NaN,
NaN,NaN,41.256001,96.444000,10.000000,10.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.825148,4.962597,-29.503294,-38.804401,NaN,NaN,NaN,
NaN,NaN,41.363998,96.335999,10.000000,10.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.977883,5.115332,-29.350559,-38.651665,NaN,NaN,NaN,
NaN,NaN,41.472000,96.227997,10.000000,10.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.130620,5.268069,-29.197823,-38.498928,NaN,NaN,NaN,
NaN,NaN,41.580002,96.120003,10.000000,10.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.283352,5.420801,-29.045090,-38.346199,NaN,NaN,NaN,
NaN,NaN,41.688000,96.012001,11.000000,11.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.436087,6.186195,-28.892355,-37.580803,NaN,NaN,NaN,
NaN,NaN,41.688000,95.903999,11.000000,11.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.544089,6.294197,-28.784353,-37.472801,NaN,NaN,NaN,
NaN,NaN,41.688000,95.795998,11.000000,11.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.652090,6.402199,-28.676352,-37.364799,NaN,NaN,NaN,
NaN,NaN,41.688000,95.688004,11.000000,11.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.760084,6.510193,-28.568357,-37.256805,NaN,NaN,NaN,
NaN,NaN,41.688000,95.580002,10.000000,10.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,2.868086,7.267929,-28.460356,-36.499069,NaN,NaN,NaN,
NaN,NaN,41.688000,95.472000,10.000000,10.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,2.976088,7.375931,-28.352354,-36.391068,NaN,NaN,NaN,
NaN,NaN,41.580002,95.363998,10.000000,10.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.128823,7.528666,-28.199619,-36.238335,NaN,NaN,NaN,
NaN,NaN,41.580002,95.255997,10.000000,10.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.236824,7.636667,-28.091618,-36.130333,NaN,NaN,NaN,
NaN,NaN,41.580002,95.148003,10.000000,10.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.344818,7.744661,-27.983624,-36.022339,NaN,NaN,NaN,
NaN,NaN,41.580002,95.040001,10.000000,10.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.452820,7.852663,-27.875622,-35.914337,NaN,NaN,NaN,
NaN,NaN,41.580002,94.931999,10.000000,10.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.560822,7.960665,-27.767620,-35.806335,NaN,NaN,NaN,
NaN,NaN,41.580002,94.823997,10.000000,10.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.668823,8.068666,-27.659618,-35.698334,NaN,NaN,NaN,
NaN,NaN,41.472000,94.716003,9.000000,9.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.821556,8.834060,-27.506886,-34.932938,NaN,NaN,NaN,
