stack=THet2a_s9;stackdb=THet2a_s9_db2;saveTime=3574855878.907000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,734,735,90.8,0,0.3,62,0,0,,,,
,1,1,NaN,735,1728,994,132,0,0.3,62,0,0,,,,
,2,2,NaN,1729,2489,761,88.3,21,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,39.419998,95.040001,13.000000,13.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,0.000000,-31.320761,-53.821381,NaN,NaN,NaN,
NaN,NaN,39.419998,94.823997,14.000000,14.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.216003,0.865738,-31.104757,-52.955643,NaN,NaN,NaN,
NaN,NaN,39.528000,94.608002,14.000000,14.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.476735,1.126470,-30.844027,-52.694912,NaN,NaN,NaN,
NaN,NaN,39.636002,94.500000,14.000000,14.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.629472,1.279207,-30.691288,-52.542175,NaN,NaN,NaN,
NaN,NaN,39.636002,94.391998,14.000000,14.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.737474,1.387209,-30.583286,-52.434174,NaN,NaN,NaN,
NaN,NaN,39.636002,94.283997,14.000000,14.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.845476,1.495211,-30.475285,-52.326172,NaN,NaN,NaN,
NaN,NaN,39.636002,94.176003,14.000000,14.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.953470,1.603205,-30.367290,-52.218178,NaN,NaN,NaN,
NaN,NaN,39.636002,94.068001,14.000000,14.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.061472,1.711206,-30.259289,-52.110176,NaN,NaN,NaN,
NaN,NaN,39.743999,93.959999,14.000000,14.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.214206,1.863941,-30.106554,-51.957439,NaN,NaN,NaN,
NaN,NaN,39.636002,93.851997,13.000000,13.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.366941,2.629335,-29.953819,-51.192047,NaN,NaN,NaN,
NaN,NaN,39.743999,93.744003,13.000000,13.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.519671,2.782064,-29.801090,-51.039314,NaN,NaN,NaN,
NaN,NaN,39.743999,93.636002,13.000000,13.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.627672,2.890066,-29.693089,-50.931313,NaN,NaN,NaN,
