originalFile=2weeks_005;stack=THet2a_s10;stackdb=THet2a_s10_db2;saveTime=3578305722.256000;version=20151224;numObjects=142;numSpines=64;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-19,12:27:11,2017-04-19,12:27:11,3575449631.148000,3575449631.151000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,34.452,67.5,12,1,,0,214,,0,,,,,,,,2017-04-20,08:31:47,2017-04-20,08:32:20,3575521907.098000,3575521940.304000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,41.442,90.324,12,1,,0,0,0,-26.233,,,center,0,41.472,90.288,12,2017-04-20,08:31:49,2017-04-20,08:31:49,3575521909.305000,3575521909.306000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,41.831,84.202,12,1,,0,56,6.3612,-19.871,,,center,0,41.796,84.24,12,2017-04-20,08:31:50,2017-04-20,08:31:50,3575521910.068000,3575521910.071000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,39.79,76.525,12,1,,0,128,14.879,-11.353,,,center,0,39.744,76.572,12,2017-04-20,08:31:50,2017-04-20,08:31:50,3575521910.943000,3575521910.946000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,36.195,71.277,12,1,,0,178,21.737,-4.4958,,,center,0,36.18,71.28,12,2017-04-20,08:31:52,2017-04-20,08:31:52,3575521912.939000,3575521912.942000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,34.154,66.904,12,1,,0,220,27.015,0.78221,,,center,0,34.128,66.852,12,2017-04-20,08:31:53,2017-04-20,08:31:53,3575521913.829000,3575521913.831000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,35.611,64.085,12,1,,0,247,30.539,4.306,,,center,0,35.64,64.044,12,2017-04-20,08:31:54,2017-04-20,08:31:54,3575521914.439000,3575521914.442000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,37.555,60.587,12,1,,0,280,34.8,8.5672,,,center,0,37.584,60.588,12,2017-04-20,08:31:55,2017-04-20,08:31:55,3575521915.145000,3575521915.147000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,37.555,55.922,12,1,,0,324,39.623,13.39,,,center,0,37.584,55.944,12,2017-04-20,08:31:55,2017-04-20,08:31:55,3575521915.895000,3575521915.898000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,37.458,52.424,12,1,,0,358,43.231,16.999,,,center,0,37.476,52.38,12,2017-04-20,08:31:56,2017-04-20,08:31:56,3575521916.658000,3575521916.661000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,34.931,47.856,14,1,,0,401,48.931,22.698,,,center,0,34.884,47.844,14,2017-04-20,08:32:00,2017-04-20,08:32:00,3575521920.556000,3575521920.557000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,32.113,43.483,14,1,,0,442,54.503,28.271,,,center,0,32.076,43.524,14,2017-04-20,08:32:01,2017-04-20,08:32:01,3575521921.085000,3575521921.087000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,30.364,40.47,14,1,,0,471,58.243,32.01,,,center,0,30.348,40.5,14,2017-04-20,08:32:01,2017-04-20,08:32:01,3575521921.877000,3575521921.878000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,26.574,38.43,14,1,,0,507,62.962,36.73,,,center,0,26.568,38.448,14,2017-04-20,08:32:02,2017-04-20,08:32:02,3575521922.565000,3575521922.567000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,23.269,36.292,14,1,,0,539,67.295,41.062,,,center,0,23.22,36.288,14,2017-04-20,08:32:03,2017-04-20,08:32:03,3575521923.411000,3575521923.413000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,20.548,34.057,14,1,,0,566,71.087,44.854,,,center,0,20.52,34.02,14,2017-04-20,08:32:04,2017-04-20,08:32:04,3575521924.127000,3575521924.129000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,18.896,32.599,14,1,,0,587,73.873,47.64,,,center,0,18.9,32.616,14,2017-04-20,08:32:04,2017-04-20,08:32:04,3575521924.645000,3575521924.647000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,18.119,29.781,14,1,,0,616,77.3,51.067,,,center,0,18.144,29.808,14,2017-04-20,08:32:05,2017-04-20,08:32:05,3575521925.800000,3575521925.802000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,15.689,27.254,18,1,,0,641,80.921,54.688,,,center,0,15.66,27.216,18,2017-04-20,08:32:09,2017-04-20,08:32:09,3575521929.397000,3575521929.400000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,14.134,24.241,18,1,,0,670,84.571,58.338,,,center,0,14.148,24.192,18,2017-04-20,08:32:10,2017-04-20,08:32:10,3575521930.307000,3575521930.309000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,14.329,22.784,18,1,,0,684,86.064,59.832,,,center,0,14.364,22.788,18,2017-04-20,08:32:10,2017-04-20,08:32:10,3575521930.696000,3575521930.698000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
22,pivotPnt,3,34.992,39.42,20,1,,1,1467,,0,,,,,,,,2017-04-20,08:37:22,2017-04-20,08:38:05,3575522242.577000,3575522285.807000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
23,controlPnt,2,104.8,98.196,21,1,,1,685,0,-102.48,,,center,0,104.76,98.172,21,2017-04-20,08:37:24,2017-04-20,08:37:24,3575522244.299000,3575522244.302000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,103.15,94.503,21,1,,1,719,4.343,-98.136,,,center,0,103.14,94.5,21,2017-04-20,08:37:25,2017-04-20,08:37:25,3575522245.145000,3575522245.148000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,100.43,91.393,21,1,,1,750,8.6567,-93.823,,,center,0,100.44,91.368,21,2017-04-20,08:37:25,2017-04-20,08:37:25,3575522245.725000,3575522245.727000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,99.654,88.769,20,1,,1,776,11.625,-90.854,,,center,0,99.684,88.776,20,2017-04-20,08:37:27,2017-04-20,08:37:27,3575522247.481000,3575522247.484000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,98.196,87.312,20,1,,1,794,13.953,-88.526,,,center,0,98.172,87.264,20,2017-04-20,08:37:28,2017-04-20,08:37:28,3575522248.030000,3575522248.032000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,93.823,84.882,21,1,,1,835,19.257,-83.222,,,center,0,93.852,84.888,21,2017-04-20,08:37:30,2017-04-20,08:37:30,3575522250.376000,3575522250.378000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,87.409,83.036,21,1,,1,896,26.498,-75.981,,,center,0,87.372,83.052,21,2017-04-20,08:37:31,2017-04-20,08:37:31,3575522251.027000,3575522251.029000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
30,controlPnt,2,84.882,82.939,21,1,,1,920,29.027,-73.453,,,center,0,84.888,82.944,21,2017-04-20,08:37:31,2017-04-20,08:37:31,3575522251.544000,3575522251.546000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
31,controlPnt,2,82.453,82.647,20,1,,1,944,31.824,-70.655,,,center,0,82.404,82.62,20,2017-04-20,08:37:34,2017-04-20,08:37:34,3575522254.938000,3575522254.941000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
32,controlPnt,2,78.954,81.481,20,1,,1,977,35.772,-66.707,,,center,0,78.948,81.432,20,2017-04-20,08:37:35,2017-04-20,08:37:35,3575522255.387000,3575522255.388000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
