originalFile=051017w5_009;stack=THet2a_s13;stackdb=THet2a_s13_db2;saveTime=3577360338.899000;version=20151224;numObjects=175;numSpines=79;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-05-11,14:36:10,2017-05-11,14:36:10,3577358170.275000,3577358170.277000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,39.096,69.444,9,1,,0,245,,0,,,,,,,,2017-05-11,14:36:46,2017-05-11,14:38:49,3577358206.738000,3577358329.056000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,37.908,40.176,18,1,,1,1549,,0,,,,,,,,2017-05-11,14:36:46,2017-05-11,14:41:13,3577358206.894000,3577358473.748000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,69.228,19.98,13,1,,2,1991,,0,,,,,,,,2017-05-11,14:36:47,2017-05-11,14:42:25,3577358207.083000,3577358545.528000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,45.529,94.574,10,1,,0,0,0,-29.838,,,center,0,45.576,94.608,10,2017-05-11,14:38:24,2017-05-11,14:38:24,3577358304.639000,3577358304.639000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,47.164,88.323,10,1,,0,56,6.935,-22.903,,,center,0,47.196,88.344,10,2017-05-11,14:38:25,2017-05-11,14:38:25,3577358305.752000,3577358305.753000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,46.683,86.015,10,1,,0,79,9.5347,-20.303,,,center,0,46.656,85.968,10,2017-05-11,14:38:26,2017-05-11,14:38:26,3577358306.139000,3577358306.140000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,45.241,82.169,10,1,,0,115,13.896,-15.942,,,center,0,45.252,82.188,10,2017-05-11,14:38:26,2017-05-11,14:38:26,3577358306.920000,3577358306.921000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,44.567,78.899,10,1,,0,146,17.494,-12.344,,,center,0,44.604,78.948,10,2017-05-11,14:38:27,2017-05-11,14:38:27,3577358307.367000,3577358307.368000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,43.51,75.533,10,1,,0,179,21.397,-8.4407,,,center,0,43.524,75.492,10,2017-05-11,14:38:27,2017-05-11,14:38:27,3577358307.850000,3577358307.851000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
