originalFile=4wks_007;stack=THet2a_s1;stackdb=THet2a_s1_db2;saveTime=3578296166.510000;version=20151224;numObjects=49;numSpines=25;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-03,16:35:39,2017-04-03,16:35:39,3574082139.269000,3574082139.272000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,96.552,84.456,21,1,,0,241,,0,,,,,,,,2017-04-05,16:16:00,2017-04-05,16:16:35,3574253760.775000,3574253795.823000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,101.23,109.87,22,1,,0,0,0,-29.809,,,center,0,101.2,109.84,22,2017-04-05,16:16:05,2017-04-05,16:16:05,3574253765.080000,3574253765.081000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,102.08,106.55,22,1,,0,30,3.5979,-26.211,,,center,0,102.06,106.6,22,2017-04-05,16:16:05,2017-04-05,16:16:05,3574253765.750000,3574253765.753000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,103.7,103.6,22,1,,0,59,7.2929,-22.516,,,center,0,103.68,103.57,22,2017-04-05,16:16:06,2017-04-05,16:16:06,3574253766.403000,3574253766.406000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,101.7,98.567,22,1,,0,106,13.066,-16.743,,,center,0,101.74,98.604,22,2017-04-05,16:16:07,2017-04-05,16:16:07,3574253767.045000,3574253767.047000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,101.7,94.481,20,1,,0,145,17.617,-12.191,,,center,0,101.74,94.5,20,2017-04-05,16:16:09,2017-04-05,16:16:09,3574253769.229000,3574253769.232000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,99.517,90.396,20,1,,0,184,22.661,-7.1478,,,center,0,99.468,90.396,20,2017-04-05,16:16:09,2017-04-05,16:16:09,3574253769.885000,3574253769.888000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,97.522,87.165,20,1,,0,215,26.706,-3.1026,,,center,0,97.524,87.156,20,2017-04-05,16:16:10,2017-04-05,16:16:10,3574253770.639000,3574253770.641000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,96.096,83.84,20,1,,0,247,30.636,0.82694,,,center,0,96.12,83.808,20,2017-04-05,16:16:11,2017-04-05,16:16:11,3574253771.262000,3574253771.264000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,97.427,80.705,20,1,,0,277,34.305,4.4958,,,center,0,97.416,80.676,20,2017-04-05,16:16:12,2017-04-05,16:16:12,3574253772.981000,3574253772.984000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,99.042,75.384,20,1,,0,327,40.268,10.459,,,center,0,99.036,75.384,20,2017-04-05,16:16:13,2017-04-05,16:16:13,3574253773.791000,3574253773.793000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,97.902,72.439,20,1,,0,355,43.631,13.822,,,center,0,97.956,72.468,20,2017-04-05,16:16:14,2017-04-05,16:16:14,3574253774.345000,3574253774.347000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,98.947,69.209,21,1,,0,388,47.668,17.86,,,center,0,98.928,69.228,21,2017-04-05,16:16:16,2017-04-05,16:16:16,3574253776.425000,3574253776.426000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,97.142,65.218,22,1,,0,426,52.514,22.706,,,center,0,97.092,65.232,22,2017-04-05,16:16:17,2017-04-05,16:16:17,3574253777.858000,3574253777.860000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,95.241,60.563,22,1,,0,471,58.251,28.442,,,center,0,95.256,60.588,22,2017-04-05,16:16:18,2017-04-05,16:16:18,3574253778.932000,3574253778.934000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,93.151,56.382,22,1,,0,513,63.439,33.63,,,center,0,93.204,56.376,22,2017-04-05,16:16:19,2017-04-05,16:16:19,3574253779.666000,3574253779.667000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,86.785,52.392,21,1,,0,573,71.466,41.658,,,center,0,86.832,52.38,21,2017-04-05,16:16:21,2017-04-05,16:16:21,3574253781.357000,3574253781.358000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,83.365,50.016,21,1,,0,607,76.059,46.25,,,center,0,83.376,50.004,21,2017-04-05,16:16:22,2017-04-05,16:16:22,3574253782.104000,3574253782.107000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,81.75,48.591,22,1,,0,625,78.387,48.579,,,center,0,81.756,48.6,22,2017-04-05,16:16:24,2017-04-05,16:16:24,3574253784.007000,3574253784.009000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,80.99,44.791,22,1,,0,662,82.48,52.672,,,center,0,81,44.82,22,2017-04-05,16:16:24,2017-04-05,16:16:24,3574253784.778000,3574253784.779000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,78.425,42.131,22,1,,0,690,86.317,56.509,,,center,0,78.408,42.12,22,2017-04-05,16:16:25,2017-04-05,16:16:25,3574253785.739000,3574253785.742000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
22,controlPnt,2,78.425,39.85,25,1,,0,712,88.854,59.045,,,center,0,78.408,39.852,25,2017-04-05,16:16:27,2017-04-05,16:16:27,3574253787.594000,3574253787.595000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,77.664,37.76,27,1,,0,732,91.219,61.41,,,center,0,77.652,37.8,27,2017-04-05,16:16:29,2017-04-05,16:16:29,3574253789.064000,3574253789.066000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
26,spineROI,0,81.802,40.895,26,1,,0,669,83.199,53.391,0,239.51,radius1,1,80.791,44.079,24.8,2017-04-05,16:20:50,2017-04-05,16:20:52,3574254050.208000,3574254052.450000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
27,spineROI,0,83.267,44.638,25,1,,0,657,82.048,52.24,1,252.66,radius1,1,81.3,45.252,24,2017-04-05,16:20:55,2017-04-05,16:20:55,3574254055.930000,3574254055.963000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
28,spineROI,0,83.538,46.577,25,1,,0,639,79.925,50.117,1,251.43,radius1,1,81.732,47.196,24,2017-04-05,16:20:56,2017-04-05,16:20:56,3574254056.803000,3574254056.828000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
29,spineROI,0,79.683,48.425,23,1,,0,631,78.927,49.119,1,83.615,radius2,2,81.425,48.146,24,2017-04-05,16:20:58,2017-04-05,16:20:58,3574254058.760000,3574254058.777000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
30,spineROI,0,81.982,51.785,23,1,,0,610,76.275,46.466,1,121.15,radius2,2,83.049,49.934,22.8,2017-04-05,16:21:00,2017-05-22,10:45:44,3574254060.899000,3578294744.856000,Default_User,,,,1,,,,0,,,,,,,,,,,,,,,,,
31,spineROI,0,85.454,55.234,22,1,,0,570,71.053,41.244,1,96.103,radius2,2,86.969,52.852,20.6,2017-04-05,16:21:02,2017-05-22,10:45:33,3574254062.956000,3578294733.147000,Default_User,,,,1,,,,0,,,,,,,,,,,,,,,,,
32,spineROI,0,96.173,59.613,21,1,,0,477,58.88,29.071,1,257.4,radius1,1,95.133,60.178,21,2017-04-05,16:21:11,2017-04-05,16:21:11,3574254071.394000,3574254071.424000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
34,spineROI,0,95.7,71.612,22,1,,0,356,43.631,13.822,1,89.796,radius2,2,97.764,72.357,20.2,2017-04-05,16:21:22,2017-04-05,16:21:22,3574254082.458000,3574254082.489000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
35,spineROI,0,100.3,72.334,21,1,,0,362,44.458,14.649,1,311.69,radius1,1,98.816,72.248,21.8,2017-04-05,16:21:27,2017-04-05,16:21:27,3574254087.305000,3574254087.341000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
36,spineROI,0,96.308,76.189,21,1,,0,318,39.161,9.3526,1,85.462,radius2,2,98.412,76.356,20.2,2017-04-05,16:21:30,2017-04-05,16:21:30,3574254090.561000,3574254090.574000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
37,spineROI,0,96.376,77.722,21,1,,0,286,35.258,5.4492,0,47.308,radius2,2,97.31,79.701,21,2017-04-05,16:21:31,2017-04-05,16:21:33,3574254091.414000,3574254093.947000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
38,spineROI,0,99.623,80.225,21,1,,0,286,35.258,5.4492,1,281.77,radius1,1,97.867,79.923,21,2017-04-05,16:21:34,2017-04-05,16:21:34,3574254094.896000,3574254094.926000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
