originalFile=session2_002;stack=THet2a_s2;stackdb=THet2a_s2_db2;saveTime=3578299806.987000;version=20151224;numObjects=158;numSpines=77;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-03,16:36:52,2017-04-03,16:36:52,3574082212.129000,3574082212.131000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,41.904,69.12,13,1,,0,255,,0,,,,,,,,2017-04-05,16:04:20,2017-04-05,16:05:27,3574253060.611000,3574253127.748000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,40.824,40.284,23,1,,1,1439,,0,,,,,,,,2017-04-05,16:04:20,2017-04-06,16:47:15,3574253060.938000,3574342035.062000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,71.388,18.252,21,1,,2,1862,,0,,,,,,,,2017-04-05,16:04:21,2017-04-06,16:48:12,3574253061.303000,3574342092.929000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,46.79,95.983,14,1,,0,0,0,-31.052,,,center,0,46.764,96.012,14,2017-04-05,16:04:38,2017-04-05,16:04:38,3574253078.722000,3574253078.724000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,48.252,92.527,14,1,,0,30,4.0823,-26.97,,,center,0,48.276,92.556,14,2017-04-05,16:04:39,2017-04-05,16:04:39,3574253079.582000,3574253079.584000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,48.983,87.875,14,1,,0,74,9.0394,-22.013,,,center,0,49.032,87.912,14,2017-04-05,16:04:40,2017-04-05,16:04:40,3574253080.231000,3574253080.233000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,48.185,84.153,14,1,,0,110,13.177,-17.875,,,center,0,48.168,84.132,14,2017-04-05,16:04:41,2017-04-05,16:04:41,3574253081.049000,3574253081.051000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,47.454,80.83,14,1,,0,142,16.838,-14.214,,,center,0,47.412,80.784,14,2017-04-05,16:04:41,2017-04-05,16:04:41,3574253081.784000,3574253081.785000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,46.391,78.371,14,1,,0,165,19.617,-11.435,,,center,0,46.44,78.408,14,2017-04-05,16:04:44,2017-04-05,16:04:44,3574253084.204000,3574253084.206000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,44.397,76.044,14,1,,0,188,22.933,-8.1198,,,center,0,44.388,76.032,14,2017-04-05,16:04:44,2017-04-05,16:04:44,3574253084.987000,3574253084.990000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,43.599,74.782,14,1,,0,201,24.631,-6.4212,,,center,0,43.632,74.736,14,2017-04-05,16:04:45,2017-04-05,16:04:45,3574253085.761000,3574253085.763000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,43.4,71.924,13,1,,0,228,27.529,-3.5238,,,center,0,43.416,71.928,13,2017-04-05,16:04:48,2017-04-05,16:04:48,3574253088.571000,3574253088.572000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,41.34,68.534,13,1,,0,260,31.816,0.76368,,,center,0,41.364,68.58,13,2017-04-05,16:04:49,2017-04-05,16:04:49,3574253089.841000,3574253089.844000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,42.071,66.142,13,1,,0,284,34.613,3.5608,,,center,0,42.12,66.096,13,2017-04-05,16:04:50,2017-04-05,16:04:50,3574253090.649000,3574253090.652000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,43.466,64.347,13,1,,0,301,36.967,5.9151,,,center,0,43.416,64.368,13,2017-04-05,16:04:51,2017-04-05,16:04:51,3574253091.347000,3574253091.349000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,44.131,60.227,14,1,,0,340,41.385,10.332,,,center,0,44.172,60.264,14,2017-04-05,16:04:53,2017-04-05,16:04:53,3574253093.967000,3574253093.968000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
