originalFile=Tmin1_006;stack=THet2a_s5;stackdb=THet2a_s5_db2;saveTime=3578300871.279000;version=20151224;numObjects=187;numSpines=80;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-05,15:43:10,2017-04-05,15:43:10,3574251790.477000,3574251790.480000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,40.5,68.364,9,1,,0,260,,0,,,,,,,,2017-04-05,16:06:02,2017-04-05,16:08:38,3574253162.072000,3574253318.608000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,40.392,39.96,21,1,,1,1474,,0,,,,,,,,2017-04-05,16:06:02,2017-04-06,16:26:19,3574253162.322000,3574340779.397000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,70.632,17.82,17,1,,2,1914,,0,,,,,,,,2017-04-05,16:06:02,2017-04-06,16:28:03,3574253162.548000,3574340883.728000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,45.527,95.369,12,1,,0,0,0,-31.697,,,center,0,45.576,95.364,12,2017-04-05,16:06:04,2017-04-05,16:06:04,3574253164.802000,3574253164.804000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,47.037,91.75,12,1,,0,31,4.1903,-27.507,,,center,0,47.088,91.8,12,2017-04-05,16:06:05,2017-04-05,16:06:05,3574253165.959000,3574253165.962000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,47.167,89.485,12,1,,0,53,6.503,-25.194,,,center,0,47.196,89.532,12,2017-04-05,16:06:06,2017-04-05,16:06:06,3574253166.624000,3574253166.625000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,48,87.741,12,1,,0,71,8.6522,-23.045,,,center,0,47.952,87.696,12,2017-04-05,16:06:07,2017-04-05,16:06:07,3574253167.459000,3574253167.462000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,47.766,86.699,12,1,,0,81,9.7136,-21.984,,,center,0,47.736,86.724,12,2017-04-05,16:06:07,2017-04-05,16:06:07,3574253167.852000,3574253167.854000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,47.792,84.981,12,1,,0,98,11.486,-20.211,,,center,0,47.844,84.996,12,2017-04-05,16:06:08,2017-04-05,16:06:08,3574253168.449000,3574253168.451000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,46.881,84.043,10,1,,0,108,12.861,-18.836,,,center,0,46.872,84.024,10,2017-04-05,16:06:11,2017-04-05,16:06:11,3574253171.063000,3574253171.065000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,46.438,82.221,10,1,,0,126,14.876,-16.821,,,center,0,46.44,82.188,10,2017-04-05,16:07:44,2017-04-05,16:07:44,3574253264.693000,3574253264.695000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
