originalFile=torpor3_024;stack=THet2a_s6;stackdb=THet2a_s6_db2;saveTime=3578304250.668000;version=20151224;numObjects=139;numSpines=75;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-05,19:44:59,2017-04-05,19:44:59,3574266299.206000,3574266299.208000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,36.936,71.82,10,1,,0,276,,0,,,,,,,,2017-04-05,19:45:46,2017-04-05,19:46:26,3574266346.552000,3574266386.289000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,37.908,42.66,19,1,,1,1557,,0,,,,,,,,2017-04-05,19:45:46,2017-04-06,13:18:30,3574266346.684000,3574329510.243000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,68.364,21.816,13,1,,2,2001,,0,,,,,,,,2017-04-05,19:45:46,2017-04-06,13:19:22,3574266346.906000,3574329562.239000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,40.695,100.49,10,1,,0,0,0,-33.939,,,center,0,40.716,100.44,10,2017-04-05,19:45:51,2017-04-05,19:45:51,3574266351.962000,3574266351.964000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,43.917,93.67,10,1,,0,67,8.6151,-25.324,,,center,0,43.956,93.636,10,2017-04-05,19:45:53,2017-04-05,19:45:53,3574266353.041000,3574266353.044000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,43.444,90.353,10,1,,0,98,12.258,-21.681,,,center,0,43.416,90.396,10,2017-04-05,19:45:53,2017-04-05,19:45:53,3574266353.755000,3574266353.757000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,41.643,87.131,9,1,,0,130,16.277,-17.662,,,center,0,41.688,87.156,9,2017-04-05,19:45:56,2017-04-05,19:45:56,3574266356.174000,3574266356.177000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,41.169,83.53,9,1,,0,165,20.351,-13.588,,,center,0,41.148,83.484,9,2017-04-05,19:45:56,2017-04-05,19:45:56,3574266356.752000,3574266356.755000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,38.611,78.223,9,1,,0,215,26.672,-7.2667,,,center,0,38.664,78.192,9,2017-04-05,19:45:57,2017-04-05,19:45:57,3574266357.385000,3574266357.386000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,38.421,75.001,9,1,,0,246,30.181,-3.7583,,,center,0,38.448,74.952,9,2017-04-05,19:45:58,2017-04-05,19:45:58,3574266358.986000,3574266358.989000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,36.62,70.831,9,1,,0,285,35.045,1.1062,,,center,0,36.612,70.848,9,2017-04-05,19:45:59,2017-04-05,19:45:59,3574266359.667000,3574266359.669000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
