originalFile=onedayafter_006;stack=THet2a_s7;stackdb=THet2a_s7_db2;saveTime=3578304329.583000;version=20151224;numObjects=157;numSpines=59;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-06,14:46:07,2017-04-06,14:46:07,3574334767.359000,3574334767.361000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,35.532,71.28,9,1,,0,254,,0,,,,,,,,2017-04-06,14:46:26,2017-04-06,14:47:42,3574334786.773000,3574334862.055000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,34.56,39.96,19,1,,1,1491,,0,,,,,,,,2017-04-06,14:46:26,2017-04-06,14:50:53,3574334786.936000,3574335053.936000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,67.716,18.9,13,1,,2,1909,,0,,,,,,,,2017-04-06,14:46:27,2017-04-06,14:52:41,3574334787.154000,3574335161.184000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,40.535,97.932,9,1,,0,0,0,-31.328,,,center,0,40.5,97.956,9,2017-04-06,14:46:56,2017-04-06,14:46:56,3574334816.759000,3574334816.762000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,41.519,94.714,9,1,,0,28,3.8216,-27.507,,,center,0,41.472,94.716,9,2017-04-06,14:46:57,2017-04-06,14:46:57,3574334817.708000,3574334817.711000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,43.217,91.137,9,1,,0,62,8.1013,-23.227,,,center,0,43.2,91.152,9,2017-04-06,14:46:58,2017-04-06,14:46:58,3574334818.503000,3574334818.505000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,43.217,89.528,10,1,,0,78,9.8108,-21.518,,,center,0,43.2,89.532,10,2017-04-06,14:47:01,2017-04-06,14:47:01,3574334821.756000,3574334821.758000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,42.591,87.561,10,1,,0,97,12.023,-19.305,,,center,0,42.552,87.588,10,2017-04-06,14:47:02,2017-04-06,14:47:02,3574334822.348000,3574334822.350000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,41.25,83.896,10,1,,0,132,16.232,-15.096,,,center,0,41.256,83.916,10,2017-04-06,14:47:02,2017-04-06,14:47:03,3574334822.998000,3574334823.000000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,39.909,79.962,10,1,,0,170,20.765,-10.564,,,center,0,39.96,79.92,10,2017-04-06,14:47:03,2017-04-06,14:47:03,3574334823.867000,3574334823.868000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,38.211,77.548,9,1,,0,193,23.946,-7.3824,,,center,0,38.232,77.544,9,2017-04-06,14:47:05,2017-04-06,14:47:05,3574334825.852000,3574334825.854000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,37.048,74.955,9,1,,0,218,27.03,-4.2983,,,center,0,37.044,74.952,9,2017-04-06,14:47:12,2017-04-06,14:47:12,3574334832.621000,3574334832.623000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,36.87,72.989,9,1,,0,237,29.064,-2.2648,,,center,0,36.828,73.008,9,2017-04-06,14:47:13,2017-04-06,14:47:13,3574334833.288000,3574334833.289000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,35.082,70.038,9,1,,0,267,32.803,1.4749,,,center,0,35.1,69.984,9,2017-04-06,14:47:14,2017-04-06,14:47:14,3574334834.030000,3574334834.033000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,36.154,66.82,9,1,,0,296,36.383,5.0543,,,center,0,36.18,66.852,9,2017-04-06,14:47:17,2017-04-06,14:47:17,3574334837.443000,3574334837.446000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
