originalFile=twodaysafter_005;stack=THet2a_s8;stackdb=THet2a_s8_db2;saveTime=3578304443.523000;version=20151224;numObjects=194;numSpines=58;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-07,12:34:54,2017-04-07,12:34:54,3574413294.551000,3574413294.553000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,34.56,68.472,14,1,,0,264,,0,,,,,,,,2017-04-07,13:35:41,2017-04-07,13:36:44,3574416941.035000,3574417004.861000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,39.781,95.873,16,1,,0,0,0,-32.263,,,center,0,39.744,95.904,16,2017-04-07,13:35:50,2017-04-07,13:35:50,3574416950.769000,3574416950.772000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,41.021,93.538,16,1,,0,22,3.0023,-29.261,,,center,0,41.04,93.528,16,2017-04-07,13:35:51,2017-04-07,13:35:51,3574416951.732000,3574416951.735000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,41.568,91.837,16,1,,0,39,4.954,-27.309,,,center,0,41.58,91.8,16,2017-04-07,13:35:52,2017-04-07,13:35:52,3574416952.172000,3574416952.173000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,42.519,89.445,16,1,,0,62,7.7326,-24.531,,,center,0,42.552,89.424,16,2017-04-07,13:35:52,2017-04-07,13:35:52,3574416952.613000,3574416952.614000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,42.404,85.294,16,1,,0,101,12.06,-20.203,,,center,0,42.444,85.32,16,2017-04-07,13:35:53,2017-04-07,13:35:53,3574416953.732000,3574416953.735000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,41.683,84.17,15,1,,0,113,13.561,-18.702,,,center,0,41.688,84.132,15,2017-04-07,13:35:55,2017-04-07,13:35:55,3574416955.981000,3574416955.983000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,40.79,81.663,15,1,,0,137,16.403,-15.86,,,center,0,40.824,81.648,15,2017-04-07,13:35:56,2017-04-07,13:35:56,3574416956.507000,3574416956.510000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,39.205,78.06,15,1,,0,171,20.638,-11.625,,,center,0,39.204,78.084,15,2017-04-07,13:35:57,2017-04-07,13:35:57,3574416957.655000,3574416957.656000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
