originalFile=OneWeekAfterT_005;stack=THet2a_s9;stackdb=THet2a_s9_db2;saveTime=3578305005.625000;version=20151224;numObjects=167;numSpines=68;condStr=None;pixelx=NaN;pixely=NaN;pixelz=NaN;voxelx=0.108;voxely=0.108;voxelz=0.75;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2017-04-12,15:14:36,2017-04-12,15:14:36,3574854876.275000,3574854876.277000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,33.156,69.12,15,1,,0,257,,0,,,,,,,,2017-04-12,15:15:52,2017-04-12,15:16:35,3574854952.726000,3574854995.666000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
2,pivotPnt,3,33.372,40.176,21,1,,1,1524,,0,,,,,,,,2017-04-12,15:15:53,2017-04-12,15:18:51,3574854953.054000,3574855131.833000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
3,pivotPnt,3,65.988,18.252,14,1,,2,1966,,0,,,,,,,,2017-04-12,15:15:53,2017-04-12,15:20:10,3574854953.757000,3574855210.981000,Default_User,,,,,,,,,,,,,,,,,,,,,,,,,
4,controlPnt,2,39.386,94.993,13,1,,0,0,0,-31.321,,,center,0,39.42,95.04,13,2017-04-12,15:16:00,2017-04-12,15:16:00,3574854960.263000,3574854960.265000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,40.008,92.772,13,1,,0,19,2.5811,-28.74,,,center,0,39.96,92.772,13,2017-04-12,15:16:00,2017-04-12,15:16:00,3574854960.936000,3574854960.938000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,40.185,90.374,13,1,,0,42,5.1361,-26.185,,,center,0,40.176,90.396,13,2017-04-12,15:16:01,2017-04-12,15:16:01,3574854961.511000,3574854961.513000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,40.807,88.064,13,1,,0,65,7.9594,-23.361,,,center,0,40.824,88.02,13,2017-04-12,15:16:02,2017-04-12,15:16:02,3574854962.237000,3574854962.238000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,40.896,86.288,13,1,,0,83,10.064,-21.257,,,center,0,40.932,86.292,13,2017-04-12,15:16:02,2017-04-12,15:16:02,3574854962.807000,3574854962.809000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,40.008,83.8,13,1,,0,107,12.95,-18.37,,,center,0,39.96,83.808,13,2017-04-12,15:16:03,2017-04-12,15:16:03,3574854963.338000,3574854963.340000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,39.475,81.846,13,1,,0,126,15.073,-16.247,,,center,0,39.528,81.864,13,2017-04-12,15:16:03,2017-04-12,15:16:03,3574854963.886000,3574854963.887000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,38.675,78.115,13,1,,0,162,19.301,-12.02,,,center,0,38.664,78.084,13,2017-04-12,15:16:04,2017-04-12,15:16:04,3574854964.612000,3574854964.613000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,37.076,75.451,13,1,,0,188,22.627,-8.6937,,,center,0,37.044,75.492,13,2017-04-12,15:16:06,2017-04-12,15:16:06,3574854966.692000,3574854966.694000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,35.389,74.473,13,1,,0,204,24.739,-6.5816,,,center,0,35.424,74.52,13,2017-04-12,15:16:07,2017-04-12,15:16:07,3574854967.307000,3574854967.309000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,34.589,71.897,13,1,,0,230,27.752,-3.5685,,,center,0,34.56,71.928,13,2017-04-12,15:16:07,2017-04-12,15:16:07,3574854967.973000,3574854967.975000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,32.724,68.522,13,1,,0,263,32.148,0.82694,,,center,0,32.724,68.472,13,2017-04-12,15:16:08,2017-04-12,15:16:08,3574854968.793000,3574854968.795000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,33.168,66.301,13,1,,0,284,34.576,3.2554,,,center,0,33.156,66.312,13,2017-04-12,15:16:09,2017-04-12,15:16:09,3574854969.436000,3574854969.439000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,35.478,64.436,13,1,,0,307,37.713,6.3919,,,center,0,35.532,64.476,13,2017-04-12,15:16:10,2017-04-12,15:16:10,3574854970.107000,3574854970.109000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,36.277,60.971,13,1,,0,340,41.571,10.25,,,center,0,36.288,61.02,13,2017-04-12,15:16:10,2017-04-12,15:16:10,3574854970.819000,3574854970.821000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,36.277,56.264,13,1,,0,385,46.323,15.002,,,center,0,36.288,56.268,13,2017-04-12,15:16:13,2017-04-12,15:16:13,3574854973.808000,3574854973.810000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,36.455,53.332,13,1,,0,413,49.329,18.008,,,center,0,36.504,53.352,13,2017-04-12,15:16:14,2017-04-12,15:16:14,3574854974.474000,3574854974.476000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,36.277,51.378,13,1,,0,433,51.362,20.041,,,center,0,36.288,51.408,13,2017-04-12,15:16:14,2017-04-12,15:16:14,3574854974.989000,3574854974.990000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
22,controlPnt,2,35.211,50.046,13,1,,0,447,53.303,21.982,,,center,0,35.208,50.004,13,2017-04-12,15:16:15,2017-04-12,15:16:15,3574854975.546000,3574854975.548000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,33.168,47.825,13,1,,0,469,56.376,25.055,,,center,0,33.156,47.844,13,2017-04-12,15:16:16,2017-04-12,15:16:16,3574854976.126000,3574854976.129000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,31.924,44.627,14,1,,0,500,60.108,28.788,,,center,0,31.968,44.604,14,2017-04-12,15:16:19,2017-04-12,15:16:19,3574854979.808000,3574854979.810000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,29.526,42.14,14,1,,0,524,63.621,32.3,,,center,0,29.484,42.12,14,2017-04-12,15:16:20,2017-04-12,15:16:20,3574854980.437000,3574854980.440000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,27.216,39.741,14,1,,0,547,66.937,35.616,,,center,0,27.216,39.744,14,2017-04-12,15:16:21,2017-04-12,15:16:21,3574854981.021000,3574854981.023000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,23.93,38.32,14,1,,0,578,70.758,39.437,,,center,0,23.976,38.34,14,2017-04-12,15:16:21,2017-04-12,15:16:21,3574854981.618000,3574854981.620000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,21.62,35.389,14,1,,0,606,74.748,43.427,,,center,0,21.6,35.424,14,2017-04-12,15:16:23,2017-04-12,15:16:23,3574854983.837000,3574854983.838000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,18.422,33.435,14,1,,0,636,78.775,47.454,,,center,0,18.468,33.48,14,2017-04-12,15:16:24,2017-04-12,15:16:24,3574854984.446000,3574854984.448000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
30,controlPnt,2,18.334,31.036,15,1,,0,660,81.303,49.983,,,center,0,18.36,30.996,15,2017-04-12,15:16:26,2017-04-12,15:16:26,3574854986.706000,3574854986.708000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
31,controlPnt,2,17.179,28.815,15,1,,0,681,84.045,52.724,,,center,0,17.172,28.836,15,2017-04-12,15:16:27,2017-04-12,15:16:27,3574854987.407000,3574854987.409000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
32,controlPnt,2,14.869,26.772,15,1,,0,703,87.252,55.932,,,center,0,14.904,26.784,15,2017-04-12,15:16:28,2017-04-12,15:16:28,3574854988.037000,3574854988.038000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
33,controlPnt,2,14.159,23.574,18,1,,0,734,90.805,59.485,,,center,0,14.148,23.544,18,2017-04-12,15:16:30,2017-04-12,15:16:30,3574854990.018000,3574854990.019000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
34,controlPnt,2,104.41,100.77,21,1,,1,735,0,-104.65,,,center,0,104.44,100.76,21,2017-04-12,15:17:17,2017-04-12,15:17:17,3574855037.700000,3574855037.702000,Default_User,,,,,,,,0,,,,,,,,,,,,,,,,,
