stack=rr30a_s1;stackdb=rr30a_s1_db2;saveTime=3583947939.166000;version=20151224;numHeaderRow=5;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,672,673,84.1,50,0.35,57,0,0,,,,
,1,1,NaN,673,1110,438,58.2,22,0.35,57,0,0,,,,
,2,2,NaN,1111,1653,543,69.1,39,0.35,57,0,0,,,,
,3,3,NaN,1654,1867,214,27,8,0.3,57,0,0,,,,
,4,4,NaN,1868,2117,250,32.5,14,0.3,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,43.799999,29.280001,27.000000,27.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-41.584694,NaN,NaN,NaN,0.000000,-51.045532,
NaN,NaN,43.919998,29.160000,27.000000,27.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.169705,-41.414989,NaN,NaN,NaN,0.169705,-50.875828,
NaN,NaN,44.040001,29.160000,28.000000,28.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.289708,-41.294987,NaN,NaN,NaN,1.176880,-49.868652,
NaN,NaN,44.160000,29.160000,28.000000,28.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.409707,-41.174988,NaN,NaN,NaN,1.296879,-49.748653,
NaN,NaN,44.279999,29.160000,28.000000,28.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.529706,-41.054989,NaN,NaN,NaN,1.416878,-49.628654,
NaN,NaN,44.400002,29.160000,28.000000,28.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.649709,-40.934986,NaN,NaN,NaN,1.536881,-49.508652,
NaN,NaN,44.520000,29.160000,28.000000,28.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.769708,-40.814987,NaN,NaN,NaN,1.656880,-49.388653,
NaN,NaN,44.639999,29.160000,28.000000,28.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.889707,-40.694988,NaN,NaN,NaN,1.776878,-49.268654,
NaN,NaN,44.759998,29.160000,28.000000,28.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.009706,-40.574989,NaN,NaN,NaN,1.896877,-49.148655,
NaN,NaN,44.880001,29.160000,28.000000,28.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.129708,-40.454987,NaN,NaN,NaN,2.016880,-49.028652,
NaN,NaN,45.000000,29.160000,28.000000,28.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.249707,-40.334988,NaN,NaN,NaN,2.136879,-48.908653,
NaN,NaN,45.119999,29.160000,28.000000,28.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.369706,-40.214989,NaN,NaN,NaN,2.256878,-48.788654,
NaN,NaN,45.240002,29.160000,28.000000,28.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.489709,-40.094986,NaN,NaN,NaN,2.376881,-48.668652,
NaN,NaN,45.360001,29.040001,28.000000,28.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.659413,-39.925282,NaN,NaN,NaN,2.546585,-48.498947,
NaN,NaN,45.480000,28.920000,28.000000,28.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.829119,-39.755577,NaN,NaN,NaN,2.716290,-48.329243,
NaN,NaN,45.599998,28.920000,28.000000,28.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.949118,-39.635578,NaN,NaN,NaN,2.836289,-48.209244,
NaN,NaN,45.720001,28.799999,28.000000,28.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.118826,-39.465870,NaN,NaN,NaN,3.005997,-48.039536,
NaN,NaN,45.840000,28.799999,28.000000,28.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.238825,-39.345871,NaN,NaN,NaN,3.125996,-47.919537,
NaN,NaN,45.959999,28.680000,28.000000,28.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.408529,-39.176167,NaN,NaN,NaN,3.295701,-47.749832,
NaN,NaN,46.080002,28.680000,28.000000,28.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.528532,-39.056164,NaN,NaN,NaN,3.415703,-47.629829,
NaN,NaN,46.200001,28.680000,28.000000,28.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.648530,-38.936165,NaN,NaN,NaN,3.535702,-47.509830,
NaN,NaN,46.320000,28.680000,28.000000,28.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.768529,-38.816166,NaN,NaN,NaN,3.655701,-47.389832,
NaN,NaN,46.439999,28.680000,28.000000,28.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,2.888528,-38.696167,NaN,NaN,NaN,3.775700,-47.269833,
NaN,NaN,46.560001,28.680000,28.000000,28.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.008531,-38.576164,NaN,NaN,NaN,3.895703,-47.149830,
NaN,NaN,46.680000,28.680000,28.000000,28.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.128530,-38.456165,NaN,NaN,NaN,4.015702,-47.029831,
NaN,NaN,46.799999,28.559999,28.000000,28.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.298235,-38.286457,NaN,NaN,NaN,4.185407,-46.860126,
NaN,NaN,46.919998,28.559999,28.000000,28.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.418234,-38.166458,NaN,NaN,NaN,4.305406,-46.740128,
NaN,NaN,47.040001,28.559999,28.000000,28.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.538237,-38.046455,NaN,NaN,NaN,4.425409,-46.620125,
NaN,NaN,47.160000,28.440001,28.000000,28.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.707941,-37.876751,NaN,NaN,NaN,4.595113,-46.450420,
NaN,NaN,47.279999,28.440001,28.000000,28.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.827940,-37.756752,NaN,NaN,NaN,4.715112,-46.330421,
NaN,NaN,47.400002,28.440001,28.000000,28.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,3.947943,-37.636749,NaN,NaN,NaN,4.835114,-46.210419,
NaN,NaN,47.520000,28.440001,28.000000,28.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.067942,-37.516754,NaN,NaN,NaN,4.955113,-46.090420,
NaN,NaN,47.639999,28.320000,29.000000,29.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.237647,-37.347046,NaN,NaN,NaN,5.969411,-45.076122,
NaN,NaN,47.759998,28.200001,29.000000,29.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.407351,-37.177341,NaN,NaN,NaN,6.139115,-44.906418,
NaN,NaN,47.880001,28.200001,29.000000,29.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.527354,-37.057339,NaN,NaN,NaN,6.259118,-44.786415,
NaN,NaN,48.000000,28.200001,29.000000,29.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.647353,-36.937340,NaN,NaN,NaN,6.379117,-44.666416,
NaN,NaN,48.119999,28.200001,29.000000,29.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.767352,-36.817341,NaN,NaN,NaN,6.499116,-44.546417,
NaN,NaN,48.240002,28.200001,29.000000,29.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.887355,-36.697338,NaN,NaN,NaN,6.619119,-44.426414,
NaN,NaN,48.360001,28.200001,29.000000,29.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,5.007354,-36.577339,NaN,NaN,NaN,6.739118,-44.306416,
NaN,NaN,48.480000,28.080000,29.000000,29.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,5.177059,-36.407635,NaN,NaN,NaN,6.908823,-44.136707,
NaN,NaN,48.599998,28.080000,29.000000,29.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.297058,-36.287636,NaN,NaN,NaN,7.028822,-44.016708,
NaN,NaN,48.720001,28.080000,29.000000,29.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.417061,-36.167633,NaN,NaN,NaN,7.148825,-43.896706,
NaN,NaN,48.840000,28.080000,29.000000,29.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,5.537060,-36.047634,NaN,NaN,NaN,7.268824,-43.776707,
NaN,NaN,48.959999,28.080000,29.000000,29.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,5.657059,-35.927635,NaN,NaN,NaN,7.388823,-43.656708,
NaN,NaN,49.080002,28.080000,29.000000,29.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,5.777061,-35.807632,NaN,NaN,NaN,7.508826,-43.536705,
