stack=rr50b_s3;stackdb=rr50b_s3_db2;saveTime=3583986374.894000;version=20151224;numHeaderRow=4;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,435,436,57.8,20,0.3,57,0,0,,,,
,1,1,NaN,436,907,472,65.8,26,0.3,57,0,0,,,,
,2,2,NaN,908,1936,1029,135.9,73,0.3,57,0,0,,,,
,3,3,NaN,1937,2440,504,75.4,34,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,0.240000,40.439999,7.000000,7.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-25.959785,NaN,NaN,NaN,0.000000,-42.142403,
NaN,NaN,0.480000,40.560001,6.000000,6.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.268329,-25.691456,NaN,NaN,NaN,1.035375,-41.107029,
NaN,NaN,0.600000,40.560001,6.000000,6.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.388329,-25.571457,NaN,NaN,NaN,1.155375,-40.987026,
NaN,NaN,0.720000,40.560001,6.000000,6.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.508329,-25.451456,NaN,NaN,NaN,1.275375,-40.867027,
NaN,NaN,0.840000,40.560001,6.000000,6.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.628329,-25.331455,NaN,NaN,NaN,1.395375,-40.747028,
NaN,NaN,0.960000,40.560001,6.000000,6.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.748329,-25.211456,NaN,NaN,NaN,1.515375,-40.627029,
NaN,NaN,1.080000,40.560001,6.000000,6.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.868329,-25.091455,NaN,NaN,NaN,1.635375,-40.507027,
NaN,NaN,1.200000,40.439999,6.000000,6.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.038037,-24.921749,NaN,NaN,NaN,1.805082,-40.337318,
NaN,NaN,1.320000,40.439999,6.000000,6.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.158037,-24.801748,NaN,NaN,NaN,1.925082,-40.217319,
NaN,NaN,1.440000,40.560001,6.000000,6.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.327745,-24.632040,NaN,NaN,NaN,2.094790,-40.047611,
