stack=rr50b_s6;stackdb=rr50b_s6_db2;saveTime=3583986376.228000;version=20151224;numHeaderRow=4;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,429,430,58,17,0.3,57,0,0,,,,
,1,1,NaN,430,915,486,68.5,21,0.3,57,0,0,,,,
,2,2,NaN,916,1901,986,130.8,72,0.3,57,0,0,,,,
,3,3,NaN,1902,2419,518,76.3,36,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,0.840000,40.439999,9.000000,9.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-27.177635,NaN,NaN,NaN,0.000000,-72.060883,
NaN,NaN,1.080000,40.439999,9.000000,9.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.240000,-26.937635,NaN,NaN,NaN,0.240000,-71.820885,
NaN,NaN,1.320000,40.439999,9.000000,9.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.480000,-26.697636,NaN,NaN,NaN,0.480000,-71.580879,
NaN,NaN,1.440000,40.439999,9.000000,9.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.600000,-26.577635,NaN,NaN,NaN,0.600000,-71.460884,
NaN,NaN,1.560000,40.439999,9.000000,9.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.720000,-26.457636,NaN,NaN,NaN,0.720000,-71.340881,
NaN,NaN,1.680000,40.439999,10.000000,10.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.840000,-26.337635,NaN,NaN,NaN,1.727174,-70.333710,
NaN,NaN,1.800000,40.439999,10.000000,10.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,0.960000,-26.217636,NaN,NaN,NaN,1.847174,-70.213707,
NaN,NaN,1.920000,40.560001,10.000000,10.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.129708,-26.047928,NaN,NaN,NaN,2.016882,-70.043999,
NaN,NaN,2.040000,40.560001,9.000000,9.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.249708,-25.927927,NaN,NaN,NaN,3.024056,-69.036827,
NaN,NaN,2.160000,40.560001,9.000000,9.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.369708,-25.807928,NaN,NaN,NaN,3.144056,-68.916824,
NaN,NaN,2.280000,40.439999,8.000000,8.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.539415,-25.638220,NaN,NaN,NaN,4.158354,-67.902527,
NaN,NaN,2.400000,40.439999,8.000000,8.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.659415,-25.518219,NaN,NaN,NaN,4.278355,-67.782532,
NaN,NaN,2.520000,40.439999,9.000000,9.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.779415,-25.398220,NaN,NaN,NaN,5.285529,-66.775352,
NaN,NaN,2.640000,40.439999,9.000000,9.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,1.899415,-25.278219,NaN,NaN,NaN,5.405529,-66.655350,
NaN,NaN,2.760000,40.439999,9.000000,9.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.019415,-25.158220,NaN,NaN,NaN,5.525529,-66.535355,
NaN,NaN,2.880000,40.439999,9.000000,9.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.139415,-25.038219,NaN,NaN,NaN,5.645529,-66.415352,
NaN,NaN,3.000000,40.560001,8.000000,8.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.309123,-24.868513,NaN,NaN,NaN,6.659827,-65.401054,
NaN,NaN,3.120000,40.560001,8.000000,8.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.429123,-24.748512,NaN,NaN,NaN,6.779827,-65.281059,
NaN,NaN,3.240000,40.680000,9.000000,9.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.598828,-24.578808,NaN,NaN,NaN,7.794125,-64.266754,
