stack=rr52c_s2;stackdb=rr52c_s2_db2;saveTime=3583986378.599000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,1143,1144,158.8,30,0.35,57,0,0,,,,
,1,1,NaN,1144,1927,784,112.7,41,0.35,57,0,0,,,,
,2,2,NaN,1928,2429,502,71.3,23,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,19.320000,1.800000,21.000000,21.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-92.709320,NaN,NaN,NaN,0.000000,-375.852966,
NaN,NaN,19.440001,1.920000,20.000000,20.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.169706,-92.539612,NaN,NaN,NaN,1.014298,-374.838654,
NaN,NaN,19.559999,2.040000,20.000000,20.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.339411,-92.369911,NaN,NaN,NaN,1.184003,-374.668976,
NaN,NaN,19.559999,2.160000,20.000000,20.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.459411,-92.249908,NaN,NaN,NaN,1.304003,-374.548950,
NaN,NaN,19.680000,2.280000,20.000000,20.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.629117,-92.080200,NaN,NaN,NaN,1.473709,-374.379272,
NaN,NaN,19.799999,2.280000,20.000000,20.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.749116,-91.960205,NaN,NaN,NaN,1.593708,-374.259247,
NaN,NaN,19.920000,2.400000,20.000000,20.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.918823,-91.790497,NaN,NaN,NaN,1.763414,-374.089539,
NaN,NaN,20.040001,2.520000,19.000000,19.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,1.088529,-91.620789,NaN,NaN,NaN,2.777712,-373.075256,
NaN,NaN,20.160000,2.640000,20.000000,20.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.258234,-91.451088,NaN,NaN,NaN,3.792010,-372.060944,
NaN,NaN,20.280001,2.640000,20.000000,20.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.378235,-91.331085,NaN,NaN,NaN,3.912011,-371.940948,
NaN,NaN,20.400000,2.760000,19.000000,19.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.547939,-91.161377,NaN,NaN,NaN,4.926308,-370.926666,
NaN,NaN,20.400000,2.880000,20.000000,20.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.667939,-91.041382,NaN,NaN,NaN,5.933483,-369.919495,
NaN,NaN,20.400000,3.000000,20.000000,20.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.787939,-90.921379,NaN,NaN,NaN,6.053483,-369.799469,
NaN,NaN,20.400000,3.120000,20.000000,20.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.907939,-90.801384,NaN,NaN,NaN,6.173482,-369.679474,
NaN,NaN,20.520000,3.240000,19.000000,19.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,2.077646,-90.631676,NaN,NaN,NaN,7.187780,-368.665192,
NaN,NaN,20.400000,3.360000,20.000000,20.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.247352,-90.461967,NaN,NaN,NaN,8.202078,-367.650879,
NaN,NaN,20.400000,3.480000,20.000000,20.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.367352,-90.341965,NaN,NaN,NaN,8.322079,-367.530884,
NaN,NaN,20.520000,3.600000,20.000000,20.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.537058,-90.172264,NaN,NaN,NaN,8.491784,-367.361176,
NaN,NaN,20.520000,3.720000,20.000000,20.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.657058,-90.052261,NaN,NaN,NaN,8.611785,-367.241180,
