stack=rr52c_s9;stackdb=rr52c_s9_db2;saveTime=3583986380.987000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,1032,1033,135.9,46,0.35,57,0,0,,,,
,1,1,NaN,1033,1557,525,74.7,19,0.35,57,0,0,,,,
,2,2,NaN,1558,2378,821,116,34,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,20.400000,1.320000,29.000000,29.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-77.698486,NaN,NaN,NaN,0.000000,-180.546967,
NaN,NaN,20.520000,1.320000,30.000000,30.000000,NaN,NaN,0.000000,0.000000,NaN,NaN,NaN,NaN,0.120001,-77.578484,NaN,NaN,NaN,1.007174,-179.539795,
NaN,NaN,20.639999,1.440000,31.000000,31.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.289706,-77.408783,NaN,NaN,NaN,2.021472,-178.525497,
NaN,NaN,20.760000,1.560000,31.000000,31.000000,NaN,NaN,2.000000,0.000000,NaN,NaN,NaN,NaN,0.459412,-77.239075,NaN,NaN,NaN,2.191178,-178.355789,
NaN,NaN,20.879999,1.560000,31.000000,31.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.579411,-77.119072,NaN,NaN,NaN,2.311177,-178.235794,
NaN,NaN,21.000000,1.680000,32.000000,32.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.749117,-76.949371,NaN,NaN,NaN,3.325475,-177.221497,
NaN,NaN,21.000000,1.800000,32.000000,32.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.869117,-76.829369,NaN,NaN,NaN,3.445475,-177.101486,
NaN,NaN,21.000000,1.920000,32.000000,32.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.989117,-76.709366,NaN,NaN,NaN,3.565475,-176.981491,
NaN,NaN,21.000000,2.040000,32.000000,32.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.109117,-76.589371,NaN,NaN,NaN,3.685475,-176.861496,
NaN,NaN,21.000000,2.160000,32.000000,32.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.229117,-76.469368,NaN,NaN,NaN,3.805475,-176.741486,
NaN,NaN,21.000000,2.280000,32.000000,32.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.349117,-76.349373,NaN,NaN,NaN,3.925475,-176.621490,
NaN,NaN,21.120001,2.400000,31.000000,31.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.518823,-76.179665,NaN,NaN,NaN,4.939773,-175.607193,
NaN,NaN,21.240000,2.520000,32.000000,32.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.688528,-76.009956,NaN,NaN,NaN,5.954071,-174.592896,
NaN,NaN,21.360001,2.640000,33.000000,33.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.858234,-75.840256,NaN,NaN,NaN,6.968369,-173.578598,
NaN,NaN,21.480000,2.760000,32.000000,32.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,2.027939,-75.670547,NaN,NaN,NaN,7.982666,-172.564301,
NaN,NaN,21.600000,2.880000,33.000000,33.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.197645,-75.500839,NaN,NaN,NaN,8.996964,-171.550003,
NaN,NaN,21.719999,2.880000,32.000000,32.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.317644,-75.380844,NaN,NaN,NaN,10.004138,-170.542831,
NaN,NaN,21.840000,2.880000,32.000000,32.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.437645,-75.260841,NaN,NaN,NaN,10.124139,-170.422821,
NaN,NaN,21.959999,2.880000,32.000000,32.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.557644,-75.140839,NaN,NaN,NaN,10.244138,-170.302826,
NaN,NaN,22.080000,3.000000,32.000000,32.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.727350,-74.971138,NaN,NaN,NaN,10.413844,-170.133118,
NaN,NaN,22.200001,3.000000,32.000000,32.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.847351,-74.851135,NaN,NaN,NaN,10.533845,-170.013123,
NaN,NaN,22.320000,3.120000,31.000000,31.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,3.017056,-74.681427,NaN,NaN,NaN,11.548142,-168.998825,
NaN,NaN,22.440001,3.240000,31.000000,31.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,3.186762,-74.511726,NaN,NaN,NaN,11.717849,-168.829117,
NaN,NaN,22.559999,3.360000,30.000000,30.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.356467,-74.342018,NaN,NaN,NaN,12.732146,-167.814819,
NaN,NaN,22.680000,3.360000,30.000000,30.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.476468,-74.222015,NaN,NaN,NaN,12.852147,-167.694824,
NaN,NaN,22.799999,3.480000,29.000000,29.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.646173,-74.052315,NaN,NaN,NaN,13.866445,-166.680527,
NaN,NaN,22.799999,3.600000,29.000000,29.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.766173,-73.932312,NaN,NaN,NaN,13.986444,-166.560516,
NaN,NaN,22.799999,3.720000,29.000000,29.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.886173,-73.812317,NaN,NaN,NaN,14.106445,-166.440521,
NaN,NaN,22.920000,3.840000,30.000000,30.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,4.055879,-73.642609,NaN,NaN,NaN,15.120743,-165.426224,
NaN,NaN,22.920000,3.960000,31.000000,31.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,4.175879,-73.522606,NaN,NaN,NaN,16.127916,-164.419052,
NaN,NaN,22.920000,4.080000,32.000000,32.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,4.295879,-73.402611,NaN,NaN,NaN,17.135092,-163.411880,
NaN,NaN,22.799999,4.200000,33.000000,33.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.465585,-73.232903,NaN,NaN,NaN,18.149389,-162.397583,
NaN,NaN,22.799999,4.320000,33.000000,33.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.585586,-73.112900,NaN,NaN,NaN,18.269390,-162.277573,
NaN,NaN,22.920000,4.440000,33.000000,33.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.755292,-72.943192,NaN,NaN,NaN,18.439096,-162.107864,
NaN,NaN,22.920000,4.560000,34.000000,34.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.875292,-72.823196,NaN,NaN,NaN,19.446270,-161.100693,
NaN,NaN,23.040001,4.680000,33.000000,33.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,5.044998,-72.653488,NaN,NaN,NaN,20.460567,-160.086395,
NaN,NaN,23.160000,4.800000,33.000000,33.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,5.214703,-72.483780,NaN,NaN,NaN,20.630274,-159.916687,
NaN,NaN,23.160000,4.920000,32.000000,32.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,5.334703,-72.363785,NaN,NaN,NaN,21.637447,-158.909515,
NaN,NaN,23.160000,5.040000,31.000000,31.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,5.454703,-72.243782,NaN,NaN,NaN,22.644621,-157.902344,
NaN,NaN,23.160000,5.160000,31.000000,31.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,5.574703,-72.123787,NaN,NaN,NaN,22.764622,-157.782349,
NaN,NaN,23.040001,5.280000,30.000000,30.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.744408,-71.954079,NaN,NaN,NaN,23.778919,-156.768051,
NaN,NaN,22.920000,5.400000,30.000000,30.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.914114,-71.784370,NaN,NaN,NaN,23.948626,-156.598343,
NaN,NaN,22.920000,5.520000,30.000000,30.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,6.034114,-71.664375,NaN,NaN,NaN,24.068624,-156.478348,
NaN,NaN,22.920000,5.640000,30.000000,30.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,6.154114,-71.544373,NaN,NaN,NaN,24.188625,-156.358337,
NaN,NaN,22.799999,5.640000,30.000000,30.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,6.274115,-71.424370,NaN,NaN,NaN,24.308626,-156.238342,
