originalFile=C:Users:Richard:Desktop:MapManagerMaps:Nancy:rr52c:raw:rr52c_s6_ch1.tif;stack=rr52c_s6;stackdb=rr52c_s6_db2;saveTime=3583986379.862000;version=20151224;numObjects=149;numSpines=84;condStr=None;pixelx=1024;pixely=1024;pixelz=60;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-10-16,09:09:58,2015-10-16,09:09:58,3527831398.186000,3527831398.187000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,33.72,70.8,36,1,,0,616,,0,,,,,,,,2015-10-21,20:21:56,2015-10-21,20:23:18,3528303716.774000,3528303798.288000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,21.107,1.0354,26,1,,0,0,0,-83.006,,,center,0,21.12,1.08,26,2015-10-21,20:22:16,2015-10-21,20:22:16,3528303736.234000,3528303736.234000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,21.934,5.625,26,1,,0,40,5.5747,-77.431,,,center,0,21.96,5.64,26,2015-10-21,20:22:17,2015-10-21,20:22:17,3528303737.566000,3528303737.567000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,24.871,9.7557,26,1,,0,84,11.779,-71.227,,,center,0,24.84,9.72,26,2015-10-21,20:22:18,2015-10-21,20:22:18,3528303738.457000,3528303738.457000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,27.992,14.254,26,1,,0,124,17.701,-65.304,,,center,0,27.96,14.28,26,2015-10-21,20:22:20,2015-10-21,20:22:20,3528303740.547000,3528303740.547000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,29.461,19.119,27,1,,0,168,23.557,-59.448,,,center,0,29.52,19.08,27,2015-10-21,20:22:26,2015-10-21,20:22:26,3528303746.206000,3528303746.208000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,31.021,23.433,27,1,,0,205,28.722,-54.283,,,center,0,31.08,23.4,27,2015-10-21,20:22:26,2015-10-21,20:22:26,3528303746.985000,3528303746.985000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,31.572,28.94,30,1,,0,253,35.108,-47.898,,,center,0,31.56,28.92,30,2015-10-21,20:22:32,2015-10-21,20:22:32,3528303752.680000,3528303752.681000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,33.224,34.448,30,1,,0,300,41.522,-41.483,,,center,0,33.24,34.44,30,2015-10-21,20:22:33,2015-10-21,20:22:33,3528303753.758000,3528303753.758000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
