stack=rr58b_s0;stackdb=rr58b_s0_db2;saveTime=3583986382.639000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,940,941,127,97,0.35,57,0,0,,,,
,1,1,NaN,941,1425,485,66.9,63,0.35,57,0,0,,,,
,2,2,NaN,1426,1997,572,78.8,57,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,90.239998,1.200000,23.000000,23.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-64.391228,NaN,NaN,NaN,0.000000,-169.821259,
NaN,NaN,90.480003,1.440000,22.000000,22.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.339415,-64.051811,NaN,NaN,NaN,1.056032,-168.765228,
NaN,NaN,90.599998,1.680000,21.000000,21.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.607741,-63.783485,NaN,NaN,NaN,2.091405,-167.729858,
NaN,NaN,90.720001,1.680000,21.000000,21.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.727744,-63.663483,NaN,NaN,NaN,2.211408,-167.609848,
NaN,NaN,90.720001,1.800000,21.000000,21.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.847744,-63.543484,NaN,NaN,NaN,2.331408,-167.489853,
NaN,NaN,90.720001,1.920000,21.000000,21.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.967744,-63.423485,NaN,NaN,NaN,2.451408,-167.369858,
NaN,NaN,90.839996,2.040000,22.000000,22.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.137446,-63.253780,NaN,NaN,NaN,3.465705,-166.355560,
NaN,NaN,90.959999,2.160000,22.000000,22.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.307154,-63.084076,NaN,NaN,NaN,3.635413,-166.185852,
NaN,NaN,90.959999,2.280000,21.000000,21.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.427153,-62.964073,NaN,NaN,NaN,4.642587,-165.178665,
NaN,NaN,90.839996,2.400000,20.000000,20.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.596861,-62.794365,NaN,NaN,NaN,5.656885,-164.164368,
NaN,NaN,90.839996,2.520000,20.000000,20.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.716861,-62.674366,NaN,NaN,NaN,5.776885,-164.044373,
NaN,NaN,90.959999,2.640000,21.000000,21.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.886569,-62.504658,NaN,NaN,NaN,6.791183,-163.030075,
NaN,NaN,90.959999,2.760000,21.000000,21.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,2.006569,-62.384659,NaN,NaN,NaN,6.911183,-162.910080,
NaN,NaN,90.959999,2.880000,22.000000,22.000000,NaN,NaN,14.000000,0.000000,NaN,NaN,NaN,NaN,2.126569,-62.264660,NaN,NaN,NaN,7.918357,-161.902908,
NaN,NaN,90.959999,3.000000,22.000000,22.000000,NaN,NaN,15.000000,0.000000,NaN,NaN,NaN,NaN,2.246569,-62.144661,NaN,NaN,NaN,8.038358,-161.782898,
NaN,NaN,90.959999,3.120000,23.000000,23.000000,NaN,NaN,16.000000,0.000000,NaN,NaN,NaN,NaN,2.366569,-62.024658,NaN,NaN,NaN,9.045531,-160.775726,
NaN,NaN,91.080002,3.240000,24.000000,24.000000,NaN,NaN,17.000000,0.000000,NaN,NaN,NaN,NaN,2.536276,-61.854950,NaN,NaN,NaN,10.059830,-159.761429,
NaN,NaN,91.080002,3.360000,25.000000,25.000000,NaN,NaN,18.000000,0.000000,NaN,NaN,NaN,NaN,2.656276,-61.734951,NaN,NaN,NaN,11.067004,-158.754257,
NaN,NaN,91.080002,3.480000,26.000000,26.000000,NaN,NaN,19.000000,0.000000,NaN,NaN,NaN,NaN,2.776276,-61.614952,NaN,NaN,NaN,12.074179,-157.747086,
NaN,NaN,91.080002,3.600000,26.000000,26.000000,NaN,NaN,20.000000,0.000000,NaN,NaN,NaN,NaN,2.896276,-61.494953,NaN,NaN,NaN,12.194179,-157.627075,
NaN,NaN,91.080002,3.720000,26.000000,26.000000,NaN,NaN,21.000000,0.000000,NaN,NaN,NaN,NaN,3.016276,-61.374950,NaN,NaN,NaN,12.314178,-157.507080,
NaN,NaN,91.080002,3.840000,25.000000,25.000000,NaN,NaN,22.000000,0.000000,NaN,NaN,NaN,NaN,3.136276,-61.254951,NaN,NaN,NaN,13.321353,-156.499908,
NaN,NaN,91.199997,3.960000,25.000000,25.000000,NaN,NaN,23.000000,0.000000,NaN,NaN,NaN,NaN,3.305978,-61.085251,NaN,NaN,NaN,13.491055,-156.330200,
NaN,NaN,91.199997,4.080000,25.000000,25.000000,NaN,NaN,24.000000,0.000000,NaN,NaN,NaN,NaN,3.425978,-60.965248,NaN,NaN,NaN,13.611054,-156.210205,
NaN,NaN,91.199997,4.200000,25.000000,25.000000,NaN,NaN,25.000000,0.000000,NaN,NaN,NaN,NaN,3.545978,-60.845249,NaN,NaN,NaN,13.731054,-156.090210,
NaN,NaN,91.199997,4.320000,24.000000,24.000000,NaN,NaN,26.000000,0.000000,NaN,NaN,NaN,NaN,3.665978,-60.725250,NaN,NaN,NaN,14.738229,-155.083023,
NaN,NaN,91.199997,4.440000,24.000000,24.000000,NaN,NaN,27.000000,0.000000,NaN,NaN,NaN,NaN,3.785978,-60.605247,NaN,NaN,NaN,14.858229,-154.963028,
NaN,NaN,91.199997,4.560000,24.000000,24.000000,NaN,NaN,28.000000,0.000000,NaN,NaN,NaN,NaN,3.905978,-60.485249,NaN,NaN,NaN,14.978229,-154.843033,
NaN,NaN,91.320000,4.680000,24.000000,24.000000,NaN,NaN,29.000000,0.000000,NaN,NaN,NaN,NaN,4.075686,-60.315544,NaN,NaN,NaN,15.147936,-154.673325,
NaN,NaN,91.440002,4.800000,24.000000,24.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,4.245394,-60.145836,NaN,NaN,NaN,15.317644,-154.503616,
NaN,NaN,91.440002,4.920000,24.000000,24.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,4.365394,-60.025833,NaN,NaN,NaN,15.437644,-154.383621,
NaN,NaN,91.320000,5.040000,23.000000,23.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,4.535101,-59.856125,NaN,NaN,NaN,16.451942,-153.369324,
NaN,NaN,91.320000,5.040000,23.000000,23.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,4.535101,-59.856125,NaN,NaN,NaN,16.451942,-153.369324,
NaN,NaN,91.440002,5.160000,24.000000,24.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,4.704808,-59.686420,NaN,NaN,NaN,17.466240,-152.355011,
NaN,NaN,91.559998,5.280000,24.000000,24.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,4.874511,-59.516716,NaN,NaN,NaN,17.635942,-152.185318,
NaN,NaN,91.559998,5.400000,24.000000,24.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,4.994511,-59.396717,NaN,NaN,NaN,17.755943,-152.065308,
NaN,NaN,91.559998,5.520000,23.000000,23.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,5.114511,-59.276718,NaN,NaN,NaN,18.763117,-151.058136,
NaN,NaN,91.559998,5.640000,23.000000,23.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,5.234510,-59.156715,NaN,NaN,NaN,18.883116,-150.938141,
NaN,NaN,91.559998,5.760000,23.000000,23.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,5.354511,-59.036716,NaN,NaN,NaN,19.003117,-150.818146,
NaN,NaN,91.680000,5.880000,23.000000,23.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,5.524219,-58.867008,NaN,NaN,NaN,19.172825,-150.648438,
NaN,NaN,91.680000,6.000000,23.000000,23.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,5.644218,-58.747009,NaN,NaN,NaN,19.292824,-150.528442,
NaN,NaN,91.680000,6.120000,23.000000,23.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,5.764218,-58.627010,NaN,NaN,NaN,19.412825,-150.408432,
NaN,NaN,91.800003,6.240000,22.000000,22.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,5.933926,-58.457302,NaN,NaN,NaN,20.427122,-149.394135,
NaN,NaN,91.919998,6.240000,22.000000,22.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,6.053921,-58.337307,NaN,NaN,NaN,20.547117,-149.274139,
NaN,NaN,92.040001,6.360000,22.000000,22.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,6.223629,-58.167599,NaN,NaN,NaN,20.716825,-149.104431,
NaN,NaN,92.040001,6.480000,22.000000,22.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,6.343628,-58.047600,NaN,NaN,NaN,20.836824,-148.984436,
NaN,NaN,92.040001,6.600000,22.000000,22.000000,NaN,NaN,47.000000,0.000000,NaN,NaN,NaN,NaN,6.463628,-57.927601,NaN,NaN,NaN,20.956825,-148.864441,
NaN,NaN,92.160004,6.720000,23.000000,23.000000,NaN,NaN,48.000000,0.000000,NaN,NaN,NaN,NaN,6.633336,-57.757893,NaN,NaN,NaN,21.971123,-147.850128,
NaN,NaN,92.279999,6.840000,24.000000,24.000000,NaN,NaN,49.000000,0.000000,NaN,NaN,NaN,NaN,6.803038,-57.588188,NaN,NaN,NaN,22.985420,-146.835846,
NaN,NaN,92.279999,6.960000,24.000000,24.000000,NaN,NaN,50.000000,0.000000,NaN,NaN,NaN,NaN,6.923038,-57.468189,NaN,NaN,NaN,23.105421,-146.715836,
NaN,NaN,92.160004,7.080000,23.000000,23.000000,NaN,NaN,51.000000,0.000000,NaN,NaN,NaN,NaN,7.092740,-57.298489,NaN,NaN,NaN,24.119717,-145.701538,
NaN,NaN,92.160004,7.200000,23.000000,23.000000,NaN,NaN,52.000000,0.000000,NaN,NaN,NaN,NaN,7.212740,-57.178490,NaN,NaN,NaN,24.239717,-145.581543,
NaN,NaN,92.040001,7.320000,24.000000,24.000000,NaN,NaN,53.000000,0.000000,NaN,NaN,NaN,NaN,7.382448,-57.008781,NaN,NaN,NaN,25.254015,-144.567245,
NaN,NaN,92.040001,7.440000,25.000000,25.000000,NaN,NaN,54.000000,0.000000,NaN,NaN,NaN,NaN,7.502448,-56.888779,NaN,NaN,NaN,26.261190,-143.560074,
NaN,NaN,92.040001,7.560000,25.000000,25.000000,NaN,NaN,55.000000,0.000000,NaN,NaN,NaN,NaN,7.622447,-56.768780,NaN,NaN,NaN,26.381189,-143.440063,
NaN,NaN,92.040001,7.680000,25.000000,25.000000,NaN,NaN,56.000000,0.000000,NaN,NaN,NaN,NaN,7.742447,-56.648781,NaN,NaN,NaN,26.501190,-143.320068,
NaN,NaN,92.040001,7.800000,25.000000,25.000000,NaN,NaN,57.000000,0.000000,NaN,NaN,NaN,NaN,7.862448,-56.528778,NaN,NaN,NaN,26.621189,-143.200073,
NaN,NaN,92.040001,7.920000,25.000000,25.000000,NaN,NaN,58.000000,0.000000,NaN,NaN,NaN,NaN,7.982448,-56.408779,NaN,NaN,NaN,26.741190,-143.080063,
NaN,NaN,92.160004,8.040000,25.000000,25.000000,NaN,NaN,59.000000,0.000000,NaN,NaN,NaN,NaN,8.152155,-56.239075,NaN,NaN,NaN,26.910896,-142.910370,
NaN,NaN,92.279999,8.160000,25.000000,25.000000,NaN,NaN,60.000000,0.000000,NaN,NaN,NaN,NaN,8.321857,-56.069370,NaN,NaN,NaN,27.080599,-142.740662,
NaN,NaN,92.400002,8.280000,26.000000,26.000000,NaN,NaN,61.000000,0.000000,NaN,NaN,NaN,NaN,8.491565,-55.899662,NaN,NaN,NaN,28.094898,-141.726364,
NaN,NaN,92.400002,8.400000,25.000000,25.000000,NaN,NaN,62.000000,0.000000,NaN,NaN,NaN,NaN,8.611565,-55.779663,NaN,NaN,NaN,29.102072,-140.719193,
