stack=rr58b_s12;stackdb=rr58b_s12_db2;saveTime=3583986386.990000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,917,918,124.3,93,0.35,57,0,0,,,,
,1,1,NaN,918,1427,510,70,74,0.35,57,0,0,,,,
,2,2,NaN,1428,1931,504,70.1,61,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,93.360001,5.760000,30.000000,30.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-60.079777,NaN,NaN,NaN,0.000000,-141.508102,
NaN,NaN,93.599998,6.000000,29.000000,29.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.339410,-59.740368,NaN,NaN,NaN,1.056030,-140.452072,
NaN,NaN,93.720001,6.240000,29.000000,29.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.607739,-59.472038,NaN,NaN,NaN,1.324359,-140.183746,
NaN,NaN,93.720001,6.360000,29.000000,29.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.727739,-59.352039,NaN,NaN,NaN,1.444359,-140.063736,
NaN,NaN,93.720001,6.480000,29.000000,29.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.847739,-59.232037,NaN,NaN,NaN,1.564359,-139.943741,
NaN,NaN,93.839996,6.600000,30.000000,30.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,1.017441,-59.062336,NaN,NaN,NaN,2.578656,-138.929443,
NaN,NaN,93.839996,6.720000,30.000000,30.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.137441,-58.942337,NaN,NaN,NaN,2.698656,-138.809448,
NaN,NaN,93.839996,6.840000,30.000000,30.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.257441,-58.822334,NaN,NaN,NaN,2.818657,-138.689453,
NaN,NaN,93.959999,6.960000,30.000000,30.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.427149,-58.652626,NaN,NaN,NaN,2.988364,-138.519745,
NaN,NaN,93.959999,7.080000,30.000000,30.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.547149,-58.532627,NaN,NaN,NaN,3.108364,-138.399734,
NaN,NaN,93.959999,7.200000,30.000000,30.000000,NaN,NaN,11.000000,0.000000,NaN,NaN,NaN,NaN,1.667149,-58.412628,NaN,NaN,NaN,3.228364,-138.279739,
NaN,NaN,93.959999,7.320000,30.000000,30.000000,NaN,NaN,12.000000,0.000000,NaN,NaN,NaN,NaN,1.787149,-58.292629,NaN,NaN,NaN,3.348364,-138.159744,
NaN,NaN,93.959999,7.440000,30.000000,30.000000,NaN,NaN,13.000000,0.000000,NaN,NaN,NaN,NaN,1.907149,-58.172626,NaN,NaN,NaN,3.468364,-138.039734,
