stack=rr58b_s9;stackdb=rr58b_s9_db2;saveTime=3583986385.905000;version=20151224;numHeaderRow=3;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs,
,0,0,NaN,0,936,937,125.7,88,0.35,57,0,0,,,,
,1,1,NaN,937,1450,514,69.5,64,0.35,57,0,0,,,,
,2,2,NaN,1451,1966,516,71.5,61,0.35,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,sDist3d,pDist3d,
NaN,NaN,96.360001,3.480000,38.000000,38.000000,NaN,NaN,-1.000000,0.000000,NaN,NaN,NaN,NaN,0.000000,-62.222702,NaN,NaN,NaN,0.000000,-183.060944,
NaN,NaN,96.480003,3.720000,38.000000,38.000000,NaN,NaN,1.000000,0.000000,NaN,NaN,NaN,NaN,0.268329,-61.954372,NaN,NaN,NaN,0.268329,-182.792618,
NaN,NaN,96.480003,3.960000,38.000000,38.000000,NaN,NaN,3.000000,0.000000,NaN,NaN,NaN,NaN,0.508329,-61.714371,NaN,NaN,NaN,0.508329,-182.552612,
NaN,NaN,96.480003,4.080000,37.000000,37.000000,NaN,NaN,4.000000,0.000000,NaN,NaN,NaN,NaN,0.628329,-61.594372,NaN,NaN,NaN,1.515504,-181.545441,
NaN,NaN,96.480003,4.200000,38.000000,38.000000,NaN,NaN,5.000000,0.000000,NaN,NaN,NaN,NaN,0.748329,-61.474373,NaN,NaN,NaN,2.522678,-180.538269,
NaN,NaN,96.480003,4.320000,38.000000,38.000000,NaN,NaN,6.000000,0.000000,NaN,NaN,NaN,NaN,0.868330,-61.354374,NaN,NaN,NaN,2.642678,-180.418259,
NaN,NaN,96.599998,4.440000,39.000000,39.000000,NaN,NaN,7.000000,0.000000,NaN,NaN,NaN,NaN,1.038032,-61.184669,NaN,NaN,NaN,3.656976,-179.403961,
NaN,NaN,96.599998,4.560000,39.000000,39.000000,NaN,NaN,8.000000,0.000000,NaN,NaN,NaN,NaN,1.158031,-61.064671,NaN,NaN,NaN,3.776975,-179.283966,
NaN,NaN,96.599998,4.680000,39.000000,39.000000,NaN,NaN,9.000000,0.000000,NaN,NaN,NaN,NaN,1.278031,-60.944672,NaN,NaN,NaN,3.896975,-179.163971,
NaN,NaN,96.720001,4.800000,39.000000,39.000000,NaN,NaN,10.000000,0.000000,NaN,NaN,NaN,NaN,1.447739,-60.774963,NaN,NaN,NaN,4.066683,-178.994263,
