originalFile=C:MapManager:MapManagerMaps:Nancy:rr58b:raw:rr58b_s5_ch1.tif;stack=rr58b_s5;stackdb=rr58b_s5_db2;saveTime=3583986384.292000;version=20151224;numObjects=293;numSpines=225;condStr=None;pixelx=1024;pixely=1024;pixelz=60;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-10-30,19:34:51,2015-10-30,19:34:51,3529078491.108000,3529078491.108000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,77.52,54.36,25,1,,0,461,,0,,,,,,,,2015-11-01,13:15:01,2015-11-01,13:18:05,3529228501.060000,3529228685.916000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,92.712,3.8932,34,1,,0,0,0,-64.185,,,center,0,92.76,3.84,34,2015-11-01,13:15:10,2015-11-01,13:15:10,3529228510.976000,3529228510.976000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,93.905,6.9224,34,1,,0,27,4.0268,-60.201,,,center,0,93.96,6.96,34,2015-11-01,13:15:11,2015-11-01,13:15:11,3529228511.756000,3529228511.757000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,96.292,10.135,34,1,,0,60,8.542,-55.685,,,center,0,96.24,10.08,34,2015-11-01,13:15:12,2015-11-01,13:15:12,3529228512.647000,3529228512.647000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,94.456,14.541,34,1,,0,100,13.868,-50.359,,,center,0,94.44,14.52,34,2015-11-01,13:15:13,2015-11-01,13:15:13,3529228513.561000,3529228513.561000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,95.099,17.938,34,1,,0,130,17.646,-46.581,,,center,0,95.04,17.88,34,2015-11-01,13:15:14,2015-11-01,13:15:14,3529228514.429000,3529228514.430000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,93.079,21.517,31,1,,0,165,22.551,-41.676,,,center,0,93.12,21.48,31,2015-11-01,13:15:20,2015-11-01,13:15:20,3529228520.431000,3529228520.431000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,90.234,25.648,32,1,,0,207,28.465,-35.762,,,center,0,90.24,25.68,32,2015-11-01,13:15:22,2015-11-01,13:15:22,3529228522.913000,3529228522.913000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,88.398,30.146,29,1,,0,246,34.019,-30.208,,,center,0,88.44,30.12,29,2015-11-01,13:15:26,2015-11-01,13:15:26,3529228526.298000,3529228526.298000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,87.939,33.267,29,1,,0,273,37.437,-26.79,,,center,0,87.96,33.24,29,2015-11-01,13:15:27,2015-11-01,13:15:27,3529228527.315000,3529228527.315000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,86.562,39.417,27,1,,0,325,44.75,-19.477,,,center,0,86.52,39.36,27,2015-11-01,13:15:31,2015-11-01,13:15:31,3529228531.417000,3529228531.417000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,84.634,43.089,27,1,,0,359,49.506,-14.722,,,center,0,84.6,43.08,27,2015-11-01,13:15:32,2015-11-01,13:15:32,3529228532.444000,3529228532.444000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,82.064,47.036,24,1,,0,394,54.609,-9.6185,,,center,0,82.08,47.04,24,2015-11-01,13:15:34,2015-11-01,13:15:34,3529228534.584000,3529228534.584000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
14,controlPnt,2,80.045,50.34,24,1,,0,424,59.083,-5.1444,,,center,0,80.04,50.4,24,2015-11-01,13:15:35,2015-11-01,13:15:35,3529228535.454000,3529228535.454000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
15,controlPnt,2,77.933,53.461,24,1,,0,453,63.238,-0.98912,,,center,0,77.88,53.52,24,2015-11-01,13:15:38,2015-11-01,13:15:38,3529228538.484000,3529228538.484000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
16,controlPnt,2,74.904,56.307,24,1,,0,484,67.733,3.5056,,,center,0,74.88,56.28,24,2015-11-01,13:15:39,2015-11-01,13:15:39,3529228539.379000,3529228539.379000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
17,controlPnt,2,73.068,59.336,25,1,,0,510,71.578,7.3506,,,center,0,73.08,59.28,25,2015-11-01,13:15:41,2015-11-01,13:15:41,3529228541.164000,3529228541.164000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
18,controlPnt,2,72.04,62.384,28,1,,0,537,75.245,11.017,,,center,0,72,62.4,28,2015-11-01,13:15:49,2015-11-01,13:15:49,3529228549.749000,3529228549.751000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
19,controlPnt,2,69.837,66.331,28,1,,0,575,80.48,16.253,,,center,0,69.84,66.36,28,2015-11-01,13:15:50,2015-11-01,13:15:50,3529228550.671000,3529228550.671000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
20,controlPnt,2,69.286,69.084,30,1,,0,599,83.787,19.559,,,center,0,69.24,69.12,30,2015-11-01,13:15:56,2015-11-01,13:15:56,3529228556.749000,3529228556.751000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
21,controlPnt,2,68.736,72.205,32,1,,0,626,87.205,22.978,,,center,0,68.76,72.24,32,2015-11-01,13:15:58,2015-11-01,13:15:58,3529228558.441000,3529228558.441000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
22,controlPnt,2,68.001,75.51,32,1,,0,656,91.281,27.054,,,center,0,68.04,75.48,32,2015-11-01,13:15:59,2015-11-01,13:15:59,3529228559.217000,3529228559.217000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
23,controlPnt,2,68.644,78.264,33,1,,0,681,94.658,30.431,,,center,0,68.64,78.24,33,2015-11-01,13:16:03,2015-11-01,13:16:03,3529228563.007000,3529228563.007000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
24,controlPnt,2,68.185,82.394,34,1,,0,719,99.496,35.269,,,center,0,68.16,82.44,34,2015-11-01,13:16:04,2015-11-01,13:16:04,3529228564.258000,3529228564.258000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
25,controlPnt,2,67.91,87.535,36,1,,0,762,104.83,40.607,,,center,0,67.92,87.48,36,2015-11-01,13:16:05,2015-11-01,13:16:05,3529228565.782000,3529228565.782000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
26,controlPnt,2,68.277,91.298,38,1,,0,795,108.82,44.596,,,center,0,68.28,91.32,38,2015-11-01,13:16:07,2015-11-01,13:16:07,3529228567.500000,3529228567.500000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
27,controlPnt,2,67.175,94.419,41,1,,0,822,112.39,48.163,,,center,0,67.2,94.44,41,2015-11-01,13:16:09,2015-11-01,13:16:09,3529228569.248000,3529228569.248000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
28,controlPnt,2,67.175,97.907,43,1,,0,853,116.27,52.041,,,center,0,67.2,97.92,43,2015-11-01,13:16:11,2015-11-01,13:16:11,3529228571.527000,3529228571.527000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
29,controlPnt,2,66.257,101.12,46,1,,0,881,120.01,55.778,,,center,0,66.24,101.16,46,2015-11-01,13:16:13,2015-11-01,13:16:13,3529228573.745000,3529228573.745000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
