originalFile=C:MapManager:MapManagerMaps:Nancy:rr58c:raw:rr58c_s6_ch1.tif;stack=rr58c_s6;stackdb=rr58c_s6_db2;saveTime=3583986389.228000;version=20151224;numObjects=151;numSpines=110;condStr=None;pixelx=1024;pixely=1024;pixelz=110;voxelx=0.12;voxely=0.12;voxelz=1;
Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-11-06,08:53:35,2015-11-06,08:53:35,3529644815.159000,3529644815.159000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
1,pivotPnt,3,51.96,75.24,97,1,,0,429,,0,,,,,,,,2015-11-18,15:23:10,2015-11-18,15:25:34,3530704990.121000,3530705134.995000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,
2,controlPnt,2,2.0157,78.677,99,1,,0,0,0,-57.321,,,center,0,2.04,78.72,99,2015-11-18,15:23:53,2015-11-18,15:23:53,3530705033.819000,3530705033.820000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
3,controlPnt,2,9.3497,78.124,99,1,,0,61,8.5335,-48.887,,,center,0,9.36,78.12,99,2015-11-18,15:23:54,2015-11-18,15:23:54,3530705034.824000,3530705034.824000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
4,controlPnt,2,14.885,77.294,99,1,,0,110,15.139,-42.282,,,center,0,14.88,77.28,99,2015-11-18,15:23:55,2015-11-18,15:23:55,3530705035.825000,3530705035.826000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
5,controlPnt,2,20.974,76.878,99,1,,0,163,22.373,-35.048,,,center,0,21,76.92,99,2015-11-18,15:23:56,2015-11-18,15:23:56,3530705036.545000,3530705036.546000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
6,controlPnt,2,28.584,76.325,99,1,,0,228,31.146,-26.274,,,center,0,28.56,76.32,99,2015-11-18,15:23:57,2015-11-18,15:23:57,3530705037.552000,3530705037.553000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
7,controlPnt,2,34.258,75.633,99,1,,0,276,37.482,-19.939,,,center,0,34.2,75.6,99,2015-11-18,15:23:58,2015-11-18,15:23:58,3530705038.572000,3530705038.573000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
8,controlPnt,2,40.07,74.941,97,1,,0,327,44.277,-13.143,,,center,0,40.08,75,97,2015-11-18,15:24:01,2015-11-18,15:24:01,3530705041.100000,3530705041.101000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
9,controlPnt,2,45.051,75.079,97,1,,0,370,49.814,-7.6062,,,center,0,45,75.12,97,2015-11-18,15:24:02,2015-11-18,15:24:02,3530705042.136000,3530705042.137000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
10,controlPnt,2,51.97,75.218,97,1,,0,429,57.421,0,,,center,0,51.96,75.24,97,2015-11-18,15:24:04,2015-11-18,15:24:04,3530705044.725000,3530705044.726000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
11,controlPnt,2,56.952,77.155,97,1,,0,472,63.355,5.9347,,,center,0,57,77.16,97,2015-11-18,15:24:06,2015-11-18,15:24:06,3530705046.043000,3530705046.044000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
12,controlPnt,2,62.072,79.646,97,1,,0,518,69.65,12.229,,,center,0,62.04,79.68,97,2015-11-18,15:24:07,2015-11-18,15:24:07,3530705047.761000,3530705047.762000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
13,controlPnt,2,65.808,80.199,95,1,,0,550,73.867,16.446,,,center,0,65.76,80.16,95,2015-11-18,15:24:10,2015-11-18,15:24:10,3530705050.643000,3530705050.644000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,
